,Epoch,Iteration,Accuracy,Loss,Top3
0,0,0,0.375,4.279044151306152,0.5
0,0,1,0.125,4.23491096496582,0.5
0,0,2,0.125,3.954030752182007,0.375
0,0,3,0.125,3.990246057510376,0.625
0,0,4,0.0,3.2043585777282715,0.5
0,0,5,0.25,4.124837398529053,0.625
0,0,6,0.125,3.263401746749878,0.5
0,0,7,0.0,3.4305148124694824,0.25
0,0,8,0.0,5.498401641845703,0.25
0,0,9,0.0,3.8514249324798584,0.25
0,0,10,0.0,3.047727346420288,0.625
0,0,11,0.125,3.389462947845459,0.75
0,0,12,0.125,3.236762285232544,0.5
0,0,13,0.125,3.8076703548431396,0.375
0,0,14,0.125,4.219637393951416,0.5
0,0,15,0.125,4.404354572296143,0.25
0,0,16,0.125,4.072566032409668,0.25
0,0,17,0.25,3.66152286529541,0.5
0,0,18,0.375,5.300364017486572,0.625
0,0,19,0.0,3.8256924152374268,0.375
0,0,20,0.0,4.489617347717285,0.0
0,0,21,0.25,3.798197031021118,0.5
0,0,22,0.0,3.4767212867736816,0.625
0,0,23,0.125,3.752638101577759,0.5
0,0,24,0.125,3.8332507610321045,0.5
0,0,25,0.125,3.6548609733581543,0.375
0,0,26,0.0,3.2368009090423584,0.5
0,0,27,0.25,5.081579208374023,0.375
0,0,28,0.25,3.2399260997772217,0.625
0,0,29,0.125,4.920942306518555,0.125
0,0,30,0.25,4.135282039642334,0.5
0,1,0,0.375,1.7699918746948242,0.625
0,1,1,0.125,1.6715389490127563,0.875
0,1,2,0.0,2.1369636058807373,0.625
0,1,3,0.125,1.9048948287963867,0.625
0,1,4,0.125,1.9018383026123047,0.75
0,1,5,0.125,1.8312499523162842,0.875
0,1,6,0.0,2.114698886871338,0.5
0,1,7,0.0,2.1135079860687256,0.5
0,1,8,0.0,2.2676470279693604,0.25
0,1,9,0.125,2.0255260467529297,0.375
0,1,10,0.0,2.057776927947998,0.625
0,1,11,0.0,2.0930280685424805,0.875
0,1,12,0.25,1.7919642925262451,0.625
0,1,13,0.125,1.8489344120025635,0.75
0,1,14,0.25,1.6168144941329956,0.625
0,1,15,0.0,2.001919984817505,0.75
0,1,16,0.125,1.9649590253829956,0.5
0,1,17,0.0,2.2428746223449707,0.625
0,1,18,0.25,1.4354301691055298,1.0
0,1,19,0.0,2.1027960777282715,0.5
0,1,20,0.0,1.7844983339309692,0.75
0,1,21,0.0,1.886124610900879,0.875
0,1,22,0.0,2.4337825775146484,0.625
0,1,23,0.125,2.0330240726470947,0.5
0,1,24,0.125,1.6765371561050415,0.875
0,1,25,0.0,2.1557629108428955,0.625
0,1,26,0.0,2.068913459777832,0.5
0,1,27,0.0,2.1015982627868652,0.5
0,1,28,0.125,2.0562703609466553,0.5
0,1,29,0.0,2.129845142364502,0.75
0,1,30,0.0,2.1463236808776855,0.5
0,2,0,0.5,0.9392508268356323,0.625
0,2,1,0.5,0.9557002782821655,0.875
0,2,2,0.5,0.9795860052108765,0.75
0,2,3,0.375,0.9666802883148193,0.875
0,2,4,0.5,0.892920732498169,0.75
0,2,5,0.625,0.8759274482727051,0.625
0,2,6,0.5,0.8075647354125977,0.875
0,2,7,0.5,1.007434606552124,0.625
0,2,8,0.5,0.8184016346931458,0.875
0,2,9,0.5,1.0646302700042725,0.875
0,2,10,0.5,0.8551470041275024,0.875
0,2,11,0.375,0.9169642329216003,0.75
0,2,12,0.875,0.5287989974021912,1.0
0,2,13,0.625,0.7203176021575928,0.875
0,2,14,0.375,0.9778501987457275,0.875
0,2,15,0.625,1.0126618146896362,0.625
0,2,16,0.625,0.8866830468177795,0.875
0,2,17,0.625,0.7265065312385559,1.0
