,Epoch,Iteration,Accuracy,Loss,Top3
0,0,0,0.125,7.745855331420898,0.5
0,0,1,0.0,7.7414231300354,0.25
0,0,2,0.375,7.697109699249268,0.375
0,0,3,0.375,7.51472282409668,0.875
0,0,4,0.125,7.5764288902282715,0.25
0,0,5,0.5,7.474102973937988,0.5
0,0,6,0.625,7.342168807983398,0.625
0,0,7,0.375,7.330300331115723,0.625
0,0,8,0.125,7.313129425048828,0.25
0,0,9,0.25,7.219222545623779,0.625
0,0,10,0.375,7.26088809967041,0.375
0,0,11,0.5,7.19550895690918,0.5
0,0,12,0.5,7.169120788574219,0.625
0,0,13,0.25,7.190594673156738,0.375
0,0,14,0.375,7.129405498504639,0.375
0,0,15,0.375,7.119139671325684,0.375
0,0,16,0.25,7.122621059417725,0.25
0,0,17,0.375,7.07160758972168,0.5
0,0,18,0.125,7.098757266998291,0.25
0,0,19,0.375,7.091005802154541,0.5
0,0,20,0.125,7.084949493408203,0.25
0,0,21,0.25,7.050333499908447,0.25
0,0,22,0.5,7.032641887664795,0.75
0,0,23,0.375,7.027185916900635,0.375
0,0,24,0.5,7.047351360321045,0.625
0,0,25,0.25,6.963061332702637,0.375
0,0,26,0.25,6.974078178405762,0.375
0,0,27,0.375,6.99492073059082,0.375
0,0,28,0.375,6.95979118347168,0.375
0,0,29,0.25,6.919649124145508,0.625
0,0,30,0.5,6.910163402557373,0.625
0,0,31,0.125,6.924322128295898,0.25
0,0,32,0.375,6.873465538024902,0.625
0,0,33,0.125,6.8789191246032715,0.25
0,0,34,0.0,6.839991569519043,0.25
0,0,35,0.25,6.80920934677124,0.625
0,0,36,0.125,6.857785224914551,0.25
0,0,37,0.375,6.783080101013184,0.75
0,0,38,0.125,6.774974822998047,0.25
0,0,39,0.125,6.758790493011475,0.5
0,0,40,0.0,6.7592453956604,0.625
0,0,41,0.125,6.757236480712891,0.5
0,0,42,0.0,6.7585625648498535,0.375
0,0,43,0.125,6.756065845489502,0.25
0,0,44,0.0,6.759754657745361,0.125
0,0,45,0.25,6.756895542144775,0.5
0,0,46,0.0,6.758924961090088,0.5
0,0,47,0.25,6.761250972747803,0.375
0,0,48,0.125,6.757708549499512,0.375
0,0,49,0.25,6.75527286529541,0.375
0,0,50,0.25,6.755688190460205,0.5
0,0,51,0.375,6.756434917449951,0.5
0,0,52,0.125,6.758523464202881,0.25
0,0,53,0.125,6.756877899169922,0.375
0,0,54,0.25,6.7548933029174805,0.625
0,0,55,0.125,6.757686614990234,0.5
0,0,56,0.25,6.7544732093811035,0.375
0,0,57,0.0,6.7572855949401855,0.375
0,0,58,0.0,6.758103370666504,0.375
0,0,59,0.0,6.755685806274414,0.125
0,0,60,0.25,6.754444599151611,0.75
0,0,61,0.0,6.756900787353516,0.125
0,0,62,0.125,6.758131980895996,0.375
0,0,63,0.125,6.7548723220825195,0.25
0,0,64,0.125,6.754866123199463,0.125
0,0,65,0.0,6.756477355957031,0.125
0,0,66,0.125,6.754451751708984,0.25
0,0,67,0.25,6.754848480224609,0.75
0,0,68,0.0,6.756538391113281,0.125
0,0,69,0.0,6.755697727203369,0.5
0,0,70,0.125,6.755277633666992,0.125
0,0,71,0.0,6.756496429443359,0.375
0,0,72,0.0,6.755702018737793,0.0
0,0,73,0.0,6.756062030792236,0.125
0,0,74,0.0,6.755702495574951,0.25
0,0,75,0.125,6.75895881652832,0.25
0,0,76,0.0,6.755316734313965,0.625
0,0,77,0.25,6.755277633666992,0.25
0,0,78,0.125,6.754445552825928,0.25
0,0,79,0.0,6.756502151489258,0.375
0,0,80,0.25,6.753674030303955,0.375
0,0,81,0.0,6.755308628082275,0.25
0,0,82,0.0,6.756507873535156,0.125
0,0,83,0.375,6.755254745483398,0.375
0,0,84,0.125,6.7560930252075195,0.375
0,0,85,0.0,6.7544732093811035,0.625
0,0,86,0.125,6.754466533660889,0.375
0,0,87,0.125,6.754482746124268,0.5
0,0,88,0.125,6.754465579986572,0.125
0,0,89,0.0,6.753683090209961,0.375
0,0,90,0.125,6.755686283111572,0.375
0,0,91,0.125,6.757319450378418,0.125
0,0,92,0.125,6.755309104919434,0.25
0,0,93,0.0,6.756100177764893,0.375
0,0,94,0.125,6.755289077758789,0.625
0,0,95,0.0,6.7560906410217285,0.375
0,0,96,0.0,6.75407075881958,0.25
0,0,97,0.375,6.754411697387695,0.5
0,0,98,0.125,6.754457950592041,0.125
0,0,99,0.0,6.754483222961426,0.625
0,0,100,0.125,6.757699966430664,0.375
0,0,101,0.0,6.755308628082275,0.375
0,0,102,0.375,6.755684852600098,0.625
0,0,103,0.0,6.755704402923584,0.375
0,0,104,0.25,6.754484176635742,0.375
0,0,105,0.0,6.754868030548096,0.75
