,Epoch,Iteration,Accuracy,Loss,Top3
0,0,0,0.0,207.63247680664062,0.375
0,0,1,0.125,209.35540771484375,0.375
0,0,2,0.125,153.39659118652344,0.125
0,0,3,0.375,104.9742202758789,0.5
0,0,4,0.0,55.693992614746094,0.0
0,0,5,0.0,49.368141174316406,0.125
0,0,6,0.25,32.57548904418945,0.375
0,0,7,0.125,36.9112663269043,0.375
0,0,8,0.125,28.07655143737793,0.125
0,0,9,0.125,28.179738998413086,0.375
0,0,10,0.25,24.420024871826172,0.5
0,0,11,0.0,21.736730575561523,0.5
0,0,12,0.25,17.78973960876465,0.75
0,0,13,0.125,17.91651725769043,0.375
0,0,14,0.125,18.767086029052734,0.375
0,0,15,0.25,9.79092025756836,0.375
0,0,16,0.125,13.321145057678223,0.375
0,0,17,0.0,13.30840015411377,0.25
0,0,18,0.0,6.890716552734375,0.125
0,0,19,0.25,8.26043701171875,0.25
0,0,20,0.0,9.251180648803711,0.0
0,0,21,0.0,10.3580904006958,0.25
0,0,22,0.125,7.2795233726501465,0.625
0,0,23,0.125,4.828276634216309,0.25
0,0,24,0.0,3.9524595737457275,0.375
0,0,25,0.5,4.580235481262207,0.75
0,0,26,0.125,3.0315744876861572,0.25
0,0,27,0.0,3.130171060562134,0.125
0,0,28,0.125,2.8862295150756836,0.375
0,0,29,0.0,1.9578430652618408,0.125
0,0,30,0.125,1.6754902601242065,0.125
0,0,31,0.125,1.3132328987121582,0.375
0,0,32,0.125,3.115879535675049,0.5
0,0,33,0.5,1.9537458419799805,0.5
0,0,34,0.125,2.5918145179748535,0.625
0,0,35,0.125,1.8906453847885132,0.25
0,0,36,0.0,2.7570724487304688,0.375
0,0,37,0.0,1.9625000953674316,0.25
0,0,38,0.125,2.7955210208892822,0.375
0,0,39,0.0,2.236274480819702,0.0
0,0,40,0.125,1.8976384401321411,0.25
0,0,41,0.0,1.8675986528396606,0.125
0,0,42,0.0,1.7056007385253906,0.125
0,0,43,0.0,1.8352750539779663,0.375
0,0,44,0.125,2.1720468997955322,0.75
0,0,45,0.125,1.6644822359085083,0.125
0,0,46,0.0,1.8108305931091309,0.125
0,0,47,0.25,2.1950488090515137,0.5
0,0,48,0.125,1.9338186979293823,0.25
0,0,49,0.125,1.8627009391784668,0.25
0,0,50,0.0,1.5793689489364624,0.125
0,0,51,0.0,2.2706167697906494,0.375
0,0,52,0.125,1.8821661472320557,0.25
0,0,53,0.25,2.0234527587890625,0.5
0,0,54,0.0,1.751225471496582,0.0
0,0,55,0.125,2.451143741607666,0.75
0,0,56,0.0,1.8465502262115479,0.5
0,0,57,0.125,1.7708064317703247,0.5
0,0,58,0.125,2.3445260524749756,0.5
0,0,59,0.25,1.894444465637207,0.375
0,0,60,0.125,1.4015322923660278,0.375
0,0,61,0.125,2.3512215614318848,0.375
