,Epoch,Iteration,Accuracy,Loss,Top3
0,0,0,0.5,2.1422319412231445,0.5
0,0,1,0.0,2.364718437194824,0.125
0,0,2,0.125,2.319080114364624,0.125
0,0,3,0.5,2.1053807735443115,0.5
0,0,4,0.25,2.2850794792175293,0.5
0,0,5,0.25,2.2511701583862305,0.375
0,0,6,0.375,2.15366530418396,0.375
0,0,7,0.5,2.113179922103882,0.5
0,0,8,0.125,2.3133881092071533,0.25
0,0,9,0.125,2.314893960952759,0.125
0,0,10,0.125,2.340195894241333,0.125
0,0,11,0.375,2.234405279159546,0.375
0,0,12,0.25,2.2511041164398193,0.25
0,0,13,0.125,2.339387893676758,0.125
0,0,14,0.25,2.233106851577759,0.25
0,0,15,0.25,2.267502784729004,0.25
0,0,16,0.375,2.2240936756134033,0.375
0,0,17,0.125,2.3359506130218506,0.25
0,0,18,0.75,1.9559365510940552,0.75
0,0,19,0.375,2.1548917293548584,0.375
0,0,20,0.375,2.193429470062256,0.375
0,0,21,0.5,2.065502882003784,0.5
0,0,22,0.125,2.3314924240112305,0.125
0,0,23,0.25,2.2901246547698975,0.375
0,0,24,0.25,2.252216339111328,0.375
0,0,25,0.0,2.393632650375366,0.0
0,0,26,0.5,2.093355417251587,0.5
0,0,27,0.5,2.1168081760406494,0.5
0,0,28,0.5,2.1705470085144043,0.5
0,0,29,0.25,2.262613534927368,0.25
0,0,30,0.375,2.199526071548462,0.375
0,1,0,0.5,2.114753246307373,0.5
0,1,1,0.25,2.2504568099975586,0.25
0,1,2,0.25,2.237511396408081,0.25
0,1,3,0.375,2.186972141265869,0.5
0,1,4,0.5,2.1200802326202393,0.5
0,1,5,0.5,2.1811344623565674,0.5
0,1,6,0.5,2.1151068210601807,0.625
0,1,7,0.0,2.362799882888794,0.0
0,1,8,0.625,2.103651523590088,0.625
0,1,9,0.125,2.278320074081421,0.25
0,1,10,0.625,2.0945074558258057,0.625
0,1,11,0.25,2.2418746948242188,0.25
0,1,12,0.25,2.240349769592285,0.25
0,1,13,0.375,2.2480130195617676,0.375
0,1,14,0.375,2.170666217803955,0.375
0,1,15,0.25,2.2641818523406982,0.25
0,1,16,0.25,2.2942159175872803,0.25
0,1,17,0.625,2.1126885414123535,0.625
0,1,18,0.625,2.0911314487457275,0.75
0,1,19,0.25,2.2356178760528564,0.375
0,1,20,0.5,2.1661322116851807,0.5
0,1,21,0.125,2.3431203365325928,0.125
0,1,22,0.625,2.1438519954681396,0.625
0,1,23,0.25,2.2830841541290283,0.25
0,1,24,0.5,2.1787185668945312,0.5
0,1,25,0.125,2.2788474559783936,0.25
0,1,26,0.25,2.27130126953125,0.25
