,Epoch,Iteration,Accuracy,Loss,Top3
0,0,0,0.25,1.97590172290802,0.375
0,0,1,0.0,2.1945724487304688,0.125
0,0,2,0.25,1.6445388793945312,0.375
0,0,3,0.125,1.4153354167938232,0.25
0,0,4,0.0,1.8994741439819336,0.25
0,0,5,0.0,2.2638392448425293,0.0
0,0,6,0.375,1.7211191654205322,0.5
0,0,7,0.125,1.8851715326309204,0.5
0,0,8,0.25,1.3438106775283813,0.625
0,0,9,0.125,1.5734578371047974,0.375
0,0,10,0.125,2.081512928009033,0.125
0,0,11,0.25,1.520873785018921,0.25
0,0,12,0.0,2.0421512126922607,0.375
0,0,13,0.125,2.1078479290008545,0.375
0,0,14,0.125,1.3578795194625854,0.625
0,0,15,0.125,1.81085205078125,0.375
0,0,16,0.0,2.3180556297302246,0.25
0,0,17,0.125,1.5126644372940063,0.5
0,0,18,0.0,1.658672571182251,0.25
0,0,19,0.25,2.459745168685913,0.375
0,0,20,0.0,1.7424837350845337,0.375
0,0,21,0.125,1.3159836530685425,0.375
0,0,22,0.0,1.6494706869125366,0.5
0,0,23,0.0,1.9691557884216309,0.375
0,0,24,0.0,1.7960097789764404,0.25
0,0,25,0.0,1.9388889074325562,0.0
0,0,26,0.125,1.9423701763153076,0.375
0,0,27,0.0,1.5569218397140503,0.125
0,0,28,0.25,1.6579951047897339,0.375
0,0,29,0.0,1.7856210470199585,0.125
0,0,30,0.125,1.79927659034729,0.5
0,1,0,0.125,1.6558847427368164,0.125
0,1,1,0.25,1.6611520051956177,0.375
0,1,2,0.0,1.5882736444473267,0.25
0,1,3,0.0,1.4003688097000122,0.25
0,1,4,0.125,1.3765323162078857,0.125
0,1,5,0.0,1.984580636024475,0.25
0,1,6,0.0,1.9296417236328125,0.25
0,1,7,0.0,1.4791531562805176,0.375
0,1,8,0.0,1.9918159246444702,0.0
0,1,9,0.25,1.6153630018234253,0.5
0,1,10,0.125,1.7087748050689697,0.625
0,1,11,0.125,3.1043548583984375,0.375
0,1,12,0.125,1.449342131614685,0.25
0,1,13,0.0,1.6090725660324097,0.0
0,1,14,0.25,1.5906351804733276,0.5
0,1,15,0.25,1.8877859115600586,0.375
0,1,16,0.25,1.42556631565094,0.5
0,1,17,0.0,1.950453758239746,0.5
0,1,18,0.125,1.5933035612106323,0.25
0,1,19,0.125,1.9344462156295776,0.5
0,1,20,0.0,1.4757760763168335,0.25
0,1,21,0.0,1.3204139471054077,0.25
0,1,22,0.0,1.4335246086120605,0.25
0,1,23,0.0,1.8662052154541016,0.375
0,1,24,0.375,1.445778727531433,0.625
0,1,25,0.0,1.5560050010681152,0.25
0,1,26,0.125,1.9598619937896729,0.375
0,1,27,0.125,1.6341745853424072,0.375
0,1,28,0.125,1.685457468032837,0.625
0,1,29,0.25,1.4342637062072754,0.5
0,1,30,0.0,1.3963592052459717,0.25
0,2,0,0.125,1.5307003259658813,0.375
0,2,1,0.125,1.877361536026001,0.25
0,2,2,0.0,1.5700081586837769,0.375
0,2,3,0.125,1.493019461631775,0.375
0,2,4,0.125,1.3666532039642334,0.375
0,2,5,0.25,1.9963405132293701,0.75
0,2,6,0.0,1.8096591234207153,0.375
0,2,7,0.25,1.749147653579712,0.25
0,2,8,0.125,1.5982787609100342,0.5
0,2,9,0.125,1.4689950942993164,0.25
0,2,10,0.125,1.715604543685913,0.125
0,2,11,0.25,1.3771103620529175,0.25
