,Epoch,Iteration,Accuracy,Loss,Top3
0,0,0,0.625,1.9100515842437744,0.75
0,0,1,0.5,1.917672872543335,0.75
0,0,2,0.375,2.053189516067505,0.75
0,0,3,0.625,1.8438764810562134,0.875
0,0,4,0.625,1.9422940015792847,0.875
0,0,5,0.75,1.757111668586731,0.875
0,0,6,0.75,1.8410093784332275,0.875
0,0,7,1.0,1.747419834136963,1.0
0,0,8,0.5,1.8419193029403687,1.0
0,0,9,0.375,1.9303685426712036,0.875
0,0,10,0.375,2.0171895027160645,0.75
0,0,11,0.5,1.9870316982269287,0.875
0,0,12,0.75,1.7944566011428833,0.875
0,0,13,0.5,1.9742494821548462,0.75
0,0,14,0.875,1.7867226600646973,0.875
0,0,15,0.625,1.8563052415847778,0.875
0,0,16,0.5,1.8249378204345703,0.875
0,0,17,0.5,1.9143881797790527,0.75
0,0,18,0.5,2.0199129581451416,0.75
0,0,19,0.375,2.0804076194763184,0.625
0,0,20,0.5,1.9781192541122437,0.875
0,0,21,0.25,2.129115581512451,0.75
0,0,22,0.5,2.0327415466308594,0.75
0,0,23,0.375,2.006457805633545,0.75
0,0,24,0.625,1.874720573425293,0.75
0,0,25,0.5,1.9911465644836426,0.625
0,0,26,0.875,1.745906949043274,0.875
0,0,27,0.625,1.887826919555664,0.875
0,0,28,0.125,2.121845006942749,0.75
0,0,29,0.75,1.7818197011947632,1.0
0,0,30,0.5,1.9405088424682617,0.75
0,1,0,0.625,1.9032065868377686,0.625
0,1,1,0.625,1.809945821762085,0.75
0,1,2,0.375,1.991117238998413,0.625
0,1,3,0.625,1.7947453260421753,0.875
0,1,4,0.5,2.0880630016326904,0.625
0,1,5,0.625,1.740389347076416,1.0
0,1,6,0.625,1.7801867723464966,0.875
0,1,7,0.75,1.7966347932815552,0.875
0,1,8,0.5,1.8286421298980713,0.875
0,1,9,0.5,1.9169203042984009,0.625
0,1,10,0.625,1.7881934642791748,0.875
0,1,11,0.375,2.0773253440856934,0.625
0,1,12,0.5,1.9025202989578247,0.875
0,1,13,0.625,1.8525680303573608,0.75
0,1,14,0.625,1.8279242515563965,0.875
0,1,15,0.75,1.8994357585906982,0.75
0,1,16,0.625,1.8961673974990845,0.625
0,1,17,0.625,1.9465707540512085,0.625
0,1,18,0.75,1.7322921752929688,1.0
0,1,19,0.75,1.8021986484527588,0.875
0,1,20,0.25,2.0639686584472656,0.625
0,1,21,0.625,1.7827047109603882,0.875
0,1,22,0.5,2.0288493633270264,0.875
0,1,23,0.625,1.8982954025268555,0.75
0,1,24,0.625,1.8923357725143433,0.625
0,1,25,0.625,1.8116663694381714,0.875
0,1,26,0.625,1.9040086269378662,0.75
0,1,27,0.625,1.939165472984314,0.625
0,1,28,0.875,1.6183985471725464,1.0
0,1,29,0.625,1.864763855934143,0.875
0,1,30,0.75,1.8231195211410522,0.875
0,2,0,0.625,1.946157693862915,0.625
0,2,1,0.375,2.095353603363037,0.75
0,2,2,0.5,1.8205556869506836,0.875
0,2,3,0.375,2.04140043258667,0.625
0,2,4,0.75,1.7873002290725708,0.875
0,2,5,0.75,1.8174430131912231,0.875
0,2,6,1.0,1.6149613857269287,1.0
0,2,7,0.5,1.7670284509658813,0.875
0,2,8,0.5,2.0383877754211426,0.625
0,2,9,0.5,2.0357139110565186,0.75
0,2,10,0.875,1.7003849744796753,0.875
0,2,11,0.75,1.8030658960342407,0.875
0,2,12,0.375,2.0081114768981934,0.75
0,2,13,0.625,1.7748714685440063,0.875
0,2,14,0.625,1.8581275939941406,0.75
0,2,15,0.75,1.8355355262756348,0.75
0,2,16,0.375,2.0964860916137695,0.625
0,2,17,0.75,1.7334387302398682,0.875
0,2,18,0.625,1.8253211975097656,0.75
0,2,19,0.625,1.692406415939331,1.0
0,2,20,0.75,1.701399803161621,1.0
0,2,21,0.625,1.8476688861846924,0.75
0,2,22,0.625,1.66147780418396,1.0
0,2,23,0.5,1.958860158920288,0.875
0,2,24,0.625,1.8693972826004028,0.75
0,2,25,0.875,1.742391586303711,0.875
0,2,26,1.0,1.5555845499038696,1.0
0,2,27,0.625,1.713517427444458,1.0
0,2,28,0.5,1.9905741214752197,0.625
0,2,29,0.5,1.9895762205123901,0.75
0,2,30,0.75,1.7273261547088623,0.875
0,3,0,0.875,1.6339269876480103,1.0
0,3,1,0.5,2.0986475944519043,0.5
0,3,2,0.875,1.659877061843872,1.0
0,3,3,0.5,1.9717621803283691,0.75
0,3,4,0.75,1.7512342929840088,1.0
0,3,5,0.625,1.9965847730636597,0.625
0,3,6,0.75,1.767892599105835,0.875
0,3,7,0.25,2.211872100830078,0.5
0,3,8,0.25,2.1300292015075684,0.5
0,3,9,1.0,1.699142575263977,1.0
0,3,10,0.25,2.1079936027526855,0.625
0,3,11,0.375,2.1247739791870117,0.5
0,3,12,0.5,1.6951333284378052,1.0
0,3,13,0.625,1.879002332687378,0.75
0,3,14,0.75,1.8478238582611084,0.875
0,3,15,0.625,1.893580675125122,0.75
0,3,16,0.5,1.9312803745269775,0.75
0,3,17,0.75,1.826037883758545,0.875
0,3,18,0.625,1.6851089000701904,1.0
0,3,19,0.75,1.8873742818832397,0.75
0,3,20,0.625,1.9271031618118286,0.75
0,3,21,0.625,1.9723058938980103,0.75
0,3,22,0.5,1.938685417175293,0.625
0,3,23,0.25,2.140496253967285,0.5
0,3,24,0.75,1.8670159578323364,0.75
0,3,25,0.125,2.203542709350586,0.5
0,3,26,0.75,1.7708449363708496,0.875
0,3,27,0.625,1.756480097770691,0.875
0,3,28,0.625,1.9302064180374146,0.75
0,3,29,0.75,1.815918207168579,0.875
0,3,30,0.875,1.8190795183181763,0.875
0,4,0,0.75,1.8536608219146729,0.75
0,4,1,0.875,1.7269219160079956,0.875
0,4,2,0.5,1.8761612176895142,0.875
0,4,3,0.5,1.922417402267456,0.625
0,4,4,0.375,2.0451457500457764,0.75
0,4,5,0.75,1.7612816095352173,1.0
0,4,6,0.75,1.829005479812622,0.75
0,4,7,0.625,1.8404266834259033,0.75
0,4,8,0.75,1.6919426918029785,0.875
0,4,9,0.625,1.7069021463394165,1.0
0,4,10,0.625,1.8001257181167603,0.875
0,4,11,0.75,1.7565491199493408,0.875
0,4,12,0.625,1.8375740051269531,0.75
0,4,13,0.75,1.6943837404251099,0.875
0,4,14,0.375,1.917436957359314,0.625
0,4,15,0.25,2.087597131729126,0.625
0,4,16,0.875,1.6591371297836304,1.0
0,4,17,0.625,1.8667024374008179,0.75
0,4,18,0.375,1.998212456703186,0.5
0,4,19,0.625,1.9421268701553345,0.625
0,4,20,0.625,1.9662914276123047,0.625
0,4,21,0.375,2.013124942779541,0.5
0,4,22,0.625,1.9561970233917236,0.75
0,4,23,0.625,1.7140356302261353,0.875
0,4,24,0.625,1.9111509323120117,0.75
0,4,25,0.875,1.6570879220962524,1.0
0,4,26,0.5,2.0095207691192627,0.5
0,4,27,0.75,1.694035530090332,0.875
0,4,28,0.75,1.8687124252319336,0.875
