,Epoch,Iteration,Accuracy,Loss,Top3
0,0,0,0.0,2.3025906085968018,0.5
0,0,1,0.125,2.2958171367645264,0.375
0,0,2,0.25,2.2667298316955566,0.25
0,0,3,0.125,2.3212039470672607,0.375
0,0,4,0.0,2.331427812576294,0.125
0,0,5,0.0,2.329509735107422,0.0
0,0,6,0.0,2.3023104667663574,0.25
0,0,7,0.125,2.3042850494384766,0.5
0,0,8,0.125,2.302590847015381,0.125
0,0,9,0.25,2.289870023727417,0.375
0,0,10,0.125,2.3080005645751953,0.25
0,0,11,0.0,2.307497501373291,0.0
0,0,12,0.375,2.218306064605713,0.5
0,0,13,0.125,2.3025906085968018,0.25
0,0,14,0.25,2.1926681995391846,0.25
0,0,15,0.125,2.306300163269043,0.25
0,0,16,0.125,2.206655502319336,0.125
0,0,17,0.125,2.305043935775757,0.5
0,0,18,0.125,2.3155272006988525,0.25
0,0,19,0.375,2.250856876373291,0.5
0,0,20,0.375,2.086554527282715,0.375
0,0,21,0.125,2.281200885772705,0.625
0,0,22,0.125,2.276381492614746,0.375
0,0,23,0.25,2.171902894973755,0.375
0,0,24,0.375,2.054959535598755,0.375
0,0,25,0.125,2.284471273422241,0.25
0,0,26,0.0,2.3443551063537598,0.0
0,0,27,0.25,2.2389442920684814,0.5
0,0,28,0.375,2.0434176921844482,0.375
0,0,29,0.25,2.1721794605255127,0.25
0,0,30,0.125,2.257944107055664,0.5
0,0,31,0.625,2.012392520904541,0.875
0,0,32,0.375,2.0919189453125,0.5
0,0,33,0.125,2.2455673217773438,0.125
0,0,34,0.125,2.281062602996826,0.375
0,0,35,0.25,2.234611988067627,0.375
0,0,36,0.125,2.2973601818084717,0.375
0,0,37,0.375,2.214772939682007,0.75
0,0,38,0.25,2.2294178009033203,0.5
0,0,39,0.5,2.1195759773254395,0.625
0,0,40,0.25,2.253455400466919,0.25
0,0,41,0.5,2.1642496585845947,0.5
0,0,42,0.0,2.290605306625366,0.375
0,0,43,0.25,2.175743818283081,0.375
0,0,44,0.5,2.0998523235321045,0.625
0,0,45,0.375,2.2064268589019775,0.375
0,0,46,0.25,2.2301108837127686,0.375
0,0,47,0.125,2.2772598266601562,0.5
0,0,48,0.5,2.107947587966919,0.5
0,0,49,0.25,2.2058422565460205,0.5
0,0,50,0.25,2.2576632499694824,0.5
0,0,51,0.5,2.1099624633789062,0.625
0,0,52,0.5,2.0502736568450928,0.5
0,0,53,0.25,2.211214065551758,0.375
0,0,54,0.375,2.1431617736816406,0.375
0,0,55,0.25,2.1951847076416016,0.5
0,0,56,0.25,2.2201528549194336,0.25
0,0,57,0.5,2.0314085483551025,0.625
0,0,58,0.25,2.2375528812408447,0.375
0,0,59,0.5,2.0946478843688965,0.75
0,0,60,0.125,2.1488027572631836,0.75
0,0,61,0.375,2.1408748626708984,0.5
0,0,62,0.75,1.6847760677337646,0.875
0,0,63,0.25,2.239145040512085,0.375
0,0,64,0.5,2.083951711654663,0.625
0,0,65,0.25,2.1951680183410645,0.5
0,0,66,0.625,1.9870285987854004,0.75
0,0,67,0.125,2.207987070083618,0.5
0,0,68,0.25,2.3144681453704834,0.375
0,0,69,0.625,1.9489209651947021,0.75
0,0,70,0.375,2.1740124225616455,0.625
0,0,71,0.5,1.9895448684692383,0.75
0,0,72,0.25,2.239960193634033,0.375
0,0,73,0.375,2.103609561920166,0.375
0,0,74,0.125,2.2703821659088135,0.5
0,0,75,0.5,2.186269521713257,0.75
0,0,76,0.625,1.787774682044983,0.875
0,0,77,0.375,2.1547868251800537,0.5
0,0,78,0.25,2.2984800338745117,0.625
0,0,79,0.25,2.1498281955718994,0.5
0,0,80,0.25,2.1285078525543213,0.625
0,0,81,0.375,2.0185184478759766,0.625
0,0,82,0.25,2.199352264404297,0.875
0,0,83,0.75,1.8142409324645996,1.0
0,0,84,0.25,2.218846321105957,0.5
0,0,85,0.375,1.9765409231185913,0.75
0,0,86,0.5,1.9938217401504517,0.875
0,0,87,0.25,2.3502845764160156,0.375
0,0,88,0.125,2.242954730987549,0.5
0,0,89,0.25,2.103774309158325,0.625
0,0,90,0.0,2.119364023208618,0.875
0,0,91,0.375,2.1426076889038086,0.5
0,0,92,0.125,2.4902570247650146,0.25
