,Epoch,Iteration,Accuracy,Loss,Top3
0,0,0,0.625,6.630277156829834,0.875
0,0,1,0.375,6.631223201751709,0.625
0,0,2,0.375,6.682571887969971,0.625
0,0,3,0.125,6.63954496383667,0.5
0,0,4,0.375,6.630671501159668,0.875
0,0,5,0.125,6.6310601234436035,0.5
0,0,6,0.375,6.641902923583984,0.625
0,0,7,0.5,6.631162166595459,0.75
0,0,8,0.375,6.6309943199157715,0.625
0,0,9,0.375,6.6307759284973145,0.875
0,0,10,0.5,6.630992889404297,0.75
0,0,11,0.5,6.630727291107178,0.875
0,0,12,0.375,6.631044864654541,0.75
0,0,13,0.5,6.633604526519775,0.875
0,0,14,0.25,6.6504597663879395,0.5
0,0,15,0.5,6.633153915405273,0.75
0,1,0,0.5,6.634015083312988,0.75
0,1,1,0.375,6.6311936378479,0.625
0,1,2,0.375,6.686805725097656,0.625
0,1,3,0.125,6.6413774490356445,0.5
0,1,4,0.375,6.630608558654785,0.875
0,1,5,0.0,6.631199359893799,0.375
0,1,6,0.375,6.642184257507324,0.625
0,1,7,0.5,6.631084442138672,0.75
0,1,8,0.375,6.630912780761719,0.625
0,1,9,0.5,6.630648136138916,0.75
0,1,10,0.5,6.630856990814209,0.75
0,1,11,0.5,6.630650997161865,0.875
0,1,12,0.375,6.630858421325684,0.75
0,1,13,0.5,6.632569789886475,0.875
0,1,14,0.375,6.663914203643799,0.5
0,1,15,0.375,6.635682582855225,0.75
0,2,0,0.375,6.634941577911377,0.75
0,2,1,0.375,6.6310529708862305,0.625
0,2,2,0.375,6.691865921020508,0.625
0,2,3,0.125,6.641246795654297,0.625
0,2,4,0.375,6.6305131912231445,0.875
0,2,5,0.0,6.631100654602051,0.375
0,2,6,0.375,6.642082691192627,0.625
0,2,7,0.5,6.6309661865234375,0.75
0,2,8,0.375,6.631016254425049,0.625
0,2,9,0.375,6.63055419921875,0.75
0,2,10,0.5,6.63075590133667,0.75
0,2,11,0.5,6.630585193634033,0.875
0,2,12,0.375,6.6311187744140625,0.75
0,2,13,0.5,6.632321834564209,0.875
0,2,14,0.375,6.6747026443481445,0.5
0,2,15,0.375,6.640010833740234,0.75
0,3,0,0.375,6.639679431915283,0.75
0,3,1,0.375,6.630844593048096,0.625
0,3,2,0.25,6.701966762542725,0.625
0,3,3,0.375,6.645981311798096,0.75
0,3,4,0.375,6.630387306213379,0.875
0,3,5,0.0,6.630960464477539,0.375
0,3,6,0.5,6.642002582550049,0.625
0,3,7,0.375,6.631202697753906,0.75
0,3,8,0.375,6.631829261779785,0.625
0,3,9,0.375,6.630784034729004,0.75
0,3,10,0.5,6.6306328773498535,0.75
0,3,11,0.5,6.630631923675537,0.875
0,3,12,0.375,6.633049488067627,0.75
0,3,13,0.375,6.632355213165283,0.75
0,3,14,0.125,6.6937456130981445,0.5
0,3,15,0.375,6.644595623016357,0.75
0,4,0,0.5,6.642800807952881,0.75
0,4,1,0.375,6.630762577056885,0.75
0,4,2,0.375,6.722723007202148,0.625
0,4,3,0.25,6.655313968658447,0.75
0,4,4,0.375,6.630279541015625,0.875
0,4,5,0.0,6.6309075355529785,0.375
0,4,6,0.375,6.64271354675293,0.5
0,4,7,0.375,6.631354331970215,0.75
0,4,8,0.375,6.632162094116211,0.75
0,4,9,0.375,6.630927562713623,0.75
0,4,10,0.5,6.6305623054504395,0.75
0,4,11,0.5,6.6305718421936035,0.875
0,4,12,0.25,6.634113311767578,0.75
0,4,13,0.5,6.63266134262085,0.875
0,4,14,0.125,6.704545021057129,0.5
0,4,15,0.375,6.646018028259277,0.75
0,5,0,0.375,6.645364284515381,0.75
0,5,1,0.375,6.630651950836182,0.75
0,5,2,0.375,6.710836410522461,0.625
0,5,3,0.125,6.6635003089904785,0.75
0,5,4,0.375,6.6301655769348145,0.875
0,5,5,0.0,6.630796432495117,0.375
0,5,6,0.375,6.642821311950684,0.5
0,5,7,0.375,6.631470680236816,0.75
0,5,8,0.375,6.6326446533203125,0.75
0,5,9,0.375,6.631242752075195,0.75
0,5,10,0.625,6.630491256713867,0.75
0,5,11,0.5,6.630498886108398,0.875
0,5,12,0.375,6.634215831756592,0.75
0,5,13,0.375,6.63295841217041,0.75
0,5,14,0.125,6.7213850021362305,0.5
0,5,15,0.375,6.650858402252197,0.75
0,6,0,0.375,6.653538227081299,0.75
0,6,1,0.375,6.63057279586792,0.75
0,6,2,0.375,6.718826770782471,0.625
0,6,3,0.125,6.673746109008789,0.75
0,6,4,0.375,6.630150318145752,0.875
0,6,5,0.0,6.630773544311523,0.375
0,6,6,0.125,6.642988681793213,0.375
0,6,7,0.375,6.631253719329834,0.75
0,6,8,0.375,6.632988452911377,0.75
0,6,9,0.375,6.631223678588867,0.75
0,6,10,0.625,6.6304731369018555,0.75
0,6,11,0.5,6.630298614501953,0.875
0,6,12,0.375,6.634371757507324,0.75
0,6,13,0.25,6.633843421936035,0.75
0,6,14,0.125,6.736736297607422,0.5
0,6,15,0.25,6.654752731323242,0.75
0,7,0,0.5,6.653167247772217,0.75
0,7,1,0.375,6.630745887756348,0.75
0,7,2,0.375,6.736474990844727,0.625
0,7,3,0.125,6.6769185066223145,0.5
0,7,4,0.375,6.630172252655029,0.875
0,7,5,0.0,6.630755424499512,0.375
0,7,6,0.125,6.642794609069824,0.375
0,7,7,0.375,6.631418228149414,0.75
0,7,8,0.375,6.633530139923096,0.75
0,7,9,0.375,6.631199359893799,0.75
0,7,10,0.5,6.630457401275635,0.75
0,7,11,0.5,6.6302690505981445,0.875
0,7,12,0.375,6.6349005699157715,0.75
0,7,13,0.375,6.634004592895508,0.75
0,7,14,0.25,6.739319324493408,0.5
0,7,15,0.375,6.656946659088135,0.75
0,8,0,0.375,6.657428741455078,0.625
0,8,1,0.375,6.630681037902832,0.75
0,8,2,0.375,6.741083145141602,0.625
0,8,3,0.25,6.681365013122559,0.75
0,8,4,0.375,6.6300740242004395,0.875
0,8,5,0.0,6.6306657791137695,0.5
0,8,6,0.125,6.64312219619751,0.375
0,8,7,0.5,6.631361484527588,0.75
0,8,8,0.375,6.633456230163574,0.75
0,8,9,0.375,6.631158351898193,0.75
0,8,10,0.625,6.630414962768555,0.75
0,8,11,0.375,6.630413055419922,0.75
0,8,12,0.25,6.6350274085998535,0.75
0,8,13,0.375,6.634685516357422,0.75
0,8,14,0.125,6.732701778411865,0.5
0,8,15,0.375,6.652739524841309,0.75
0,9,0,0.25,6.660236835479736,0.625
0,9,1,0.375,6.630671501159668,0.75
0,9,2,0.375,6.72924280166626,0.625
0,9,3,0.25,6.68436336517334,0.75
0,9,4,0.375,6.630050182342529,0.875
0,9,5,0.0,6.630646705627441,0.5
0,9,6,0.125,6.643317222595215,0.375
0,9,7,0.375,6.631345272064209,0.75
0,9,8,0.375,6.634027481079102,0.75
0,9,9,0.375,6.6311421394348145,0.75
0,9,10,0.625,6.630413055419922,0.75
0,9,11,0.25,6.630781650543213,0.625
0,9,12,0.375,6.6344523429870605,0.75
0,9,13,0.5,6.633354187011719,0.75
0,9,14,0.125,6.739225387573242,0.5
0,9,15,0.5,6.6572089195251465,0.75
