,Epoch,Iteration,Accuracy,Loss,Top3
0,0,0,0.375,2.088000774383545,0.75
0,0,1,0.25,2.17089581489563,0.375
0,0,2,0.25,2.2442336082458496,0.5
0,0,3,0.125,2.2361392974853516,0.625
0,0,4,0.25,2.183692693710327,0.5
0,0,5,0.125,2.2837328910827637,0.375
0,0,6,0.375,2.0447793006896973,0.625
0,0,7,0.375,2.0872533321380615,0.625
0,0,8,0.25,2.1303493976593018,0.5
0,0,9,0.25,2.0803773403167725,0.5
0,0,10,0.25,2.2074692249298096,0.5
0,0,11,0.5,2.0432395935058594,0.625
0,0,12,0.25,2.2545740604400635,0.375
0,0,13,0.375,2.0629520416259766,0.5
0,0,14,0.25,2.31469988822937,0.625
0,0,15,0.375,2.156860589981079,0.625
0,1,0,0.375,1.9726985692977905,1.0
0,1,1,0.5,2.1293375492095947,0.75
0,1,2,0.125,2.1334633827209473,0.75
0,1,3,0.5,2.0271387100219727,0.875
0,1,4,0.25,1.8994842767715454,0.875
0,1,5,0.25,2.1810708045959473,0.75
0,1,6,0.375,1.9836724996566772,0.875
0,1,7,0.75,1.919188380241394,1.0
0,1,8,0.5,2.101685047149658,0.875
0,1,9,0.375,2.0591719150543213,0.875
0,1,10,0.5,2.0539426803588867,0.625
0,1,11,0.625,1.9491702318191528,0.875
0,1,12,0.5,2.143692970275879,0.875
0,1,13,0.375,2.112654447555542,0.625
0,1,14,0.5,2.1009223461151123,0.625
0,1,15,0.5,2.071540117263794,0.625
0,2,0,0.375,2.0804011821746826,0.875
0,2,1,0.5,2.0168111324310303,0.875
0,2,2,0.375,2.1399776935577393,0.75
0,2,3,0.625,2.0475871562957764,0.875
0,2,4,0.25,2.097358465194702,0.625
0,2,5,0.375,2.075789451599121,0.875
0,2,6,0.625,1.924373984336853,0.75
0,2,7,0.625,1.9545907974243164,0.875
0,2,8,0.625,2.002537727355957,0.875
0,2,9,0.5,2.0353212356567383,0.75
0,2,10,0.375,2.1076717376708984,0.625
0,2,11,0.625,1.9791309833526611,0.875
0,2,12,0.375,2.0316638946533203,0.875
0,2,13,0.5,2.004286527633667,0.75
0,2,14,0.625,1.9742845296859741,0.75
0,2,15,0.375,2.1379683017730713,0.625
0,3,0,0.375,1.957809329032898,0.875
0,3,1,0.25,1.9530104398727417,0.75
0,3,2,0.25,2.094310760498047,0.75
0,3,3,0.25,1.9766207933425903,1.0
0,3,4,0.25,1.949200987815857,0.75
0,3,5,0.375,2.0149192810058594,0.75
0,3,6,0.5,2.0149455070495605,0.875
0,3,7,0.625,1.8862409591674805,1.0
0,3,8,0.625,1.8938530683517456,0.875
0,3,9,0.625,1.9138524532318115,0.75
0,3,10,0.125,2.066673517227173,0.75
0,3,11,0.75,1.8561813831329346,1.0
0,3,12,0.5,2.01539945602417,0.875
0,3,13,0.375,1.9876179695129395,0.875
0,3,14,0.625,1.987117886543274,0.875
0,3,15,0.5,2.010308265686035,0.75
0,4,0,0.375,1.868606686592102,1.0
0,4,1,0.375,1.9662033319473267,0.75
0,4,2,0.375,2.0977842807769775,0.875
0,4,3,0.375,1.959658145904541,1.0
0,4,4,0.25,1.9261202812194824,0.875
0,4,5,0.5,2.0902085304260254,0.75
0,4,6,0.25,2.0135414600372314,0.875
0,4,7,0.875,1.8512897491455078,1.0
0,4,8,0.625,1.916787028312683,0.875
0,4,9,0.75,1.9294158220291138,0.75
0,4,10,0.375,2.0596768856048584,0.75
0,4,11,0.75,1.866882085800171,1.0
0,4,12,0.25,2.0527236461639404,0.75
0,4,13,0.5,2.0655641555786133,0.875
0,4,14,0.625,2.034550666809082,0.875
0,4,15,0.5,2.0800023078918457,0.875
0,5,0,0.5,1.9556076526641846,1.0
0,5,1,0.375,1.9800323247909546,0.875
0,5,2,0.375,2.0286459922790527,0.875
0,5,3,0.5,1.9127684831619263,1.0
0,5,4,0.375,1.9998317956924438,0.75
0,5,5,0.5,2.0494918823242188,0.75
0,5,6,0.5,2.0294911861419678,0.75
0,5,7,1.0,1.818360447883606,1.0
0,5,8,0.875,1.8794379234313965,0.875
0,5,9,0.625,1.8944432735443115,0.875
0,5,10,0.25,2.004354238510132,0.75
0,5,11,0.625,1.8740265369415283,1.0
0,5,12,0.5,2.01590895652771,0.875
0,5,13,0.375,2.0245864391326904,1.0
0,5,14,0.625,1.9701682329177856,1.0
0,5,15,0.625,1.9747700691223145,0.75
0,6,0,0.5,1.942305088043213,0.75
0,6,1,0.375,1.9068924188613892,0.875
0,6,2,0.375,2.0710902214050293,0.625
0,6,3,0.5,1.9585851430892944,0.75
0,6,4,0.25,1.9799954891204834,0.75
0,6,5,0.25,2.062957763671875,0.75
0,6,6,0.625,1.9839391708374023,0.75
0,6,7,0.75,1.8201066255569458,1.0
0,6,8,0.625,1.9108197689056396,0.875
0,6,9,0.625,1.8840832710266113,1.0
0,6,10,0.25,2.0381264686584473,0.75
0,6,11,0.75,1.8207591772079468,1.0
0,6,12,0.5,2.026505470275879,0.875
0,6,13,0.625,1.9200905561447144,1.0
0,6,14,0.625,1.9414383172988892,0.875
0,6,15,0.5,2.0515313148498535,0.875
0,7,0,0.5,1.8806359767913818,1.0
0,7,1,0.625,1.8815202713012695,0.875
0,7,2,0.375,2.0369739532470703,0.875
0,7,3,0.625,1.9167351722717285,0.875
0,7,4,0.5,1.9514142274856567,0.875
0,7,5,0.5,2.0345590114593506,0.875
0,7,6,0.625,1.9546582698822021,0.875
0,7,7,0.875,1.776129126548767,1.0
0,7,8,0.75,1.8948653936386108,0.875
0,7,9,0.75,1.8510199785232544,0.875
0,7,10,0.25,2.0301098823547363,0.75
0,7,11,0.75,1.7859736680984497,1.0
0,7,12,0.75,1.9696335792541504,0.875
0,7,13,0.625,1.8869702816009521,0.875
0,7,14,0.875,1.9304380416870117,0.875
0,7,15,0.5,1.9959696531295776,0.875
0,8,0,0.375,1.900444507598877,1.0
0,8,1,0.625,1.9013231992721558,0.875
0,8,2,0.375,2.0487563610076904,0.875
0,8,3,0.625,1.9470555782318115,0.75
0,8,4,0.5,1.9393208026885986,0.875
0,8,5,0.5,1.9923962354660034,0.75
0,8,6,0.625,1.9936635494232178,0.875
0,8,7,1.0,1.7904820442199707,1.0
0,8,8,0.75,1.864987850189209,0.875
0,8,9,0.75,1.8713290691375732,0.875
0,8,10,0.375,2.0958821773529053,0.75
0,8,11,0.625,1.7838776111602783,1.0
0,8,12,0.625,1.975071668624878,0.875
0,8,13,0.625,1.9296663999557495,0.875
0,8,14,0.625,1.974489450454712,0.875
0,8,15,0.5,1.9827768802642822,0.875
0,9,0,0.625,1.8072535991668701,1.0
0,9,1,0.375,1.9728761911392212,0.75
0,9,2,0.375,2.0453033447265625,0.875
0,9,3,0.625,1.8769255876541138,1.0
0,9,4,0.375,1.9109922647476196,0.875
0,9,5,0.375,2.0877299308776855,0.75
0,9,6,0.375,1.9544789791107178,0.875
0,9,7,1.0,1.8194098472595215,1.0
0,9,8,0.75,1.8770312070846558,0.875
0,9,9,0.625,1.9101125001907349,0.875
0,9,10,0.625,1.9808725118637085,0.75
0,9,11,0.875,1.8417531251907349,1.0
0,9,12,0.5,2.057257652282715,0.75
0,9,13,0.5,1.953979253768921,0.875
0,9,14,0.75,1.9542936086654663,0.875
0,9,15,0.5,1.9813815355300903,0.875
