,Epoch,Iteration,Accuracy,Loss,Top3
0,0,0,0.125,24.509965896606445,0.375
0,0,1,0.0,24.509965896606445,0.0
0,0,2,0.125,24.509965896606445,0.375
0,0,3,0.125,24.509965896606445,0.375
0,0,4,0.125,24.509965896606445,0.25
0,0,5,0.0,24.509965896606445,0.125
0,0,6,0.125,24.509965896606445,0.375
0,0,7,0.125,24.509965896606445,0.375
0,0,8,0.0,24.509965896606445,0.125
0,0,9,0.125,24.509965896606445,0.25
0,0,10,0.125,24.509965896606445,0.375
0,0,11,0.125,24.509965896606445,0.375
0,0,12,0.0,24.509965896606445,0.0
0,0,13,0.125,24.509965896606445,0.375
0,0,14,0.125,24.509965896606445,0.375
0,0,15,0.125,24.509965896606445,0.25
0,1,0,0.0,23.269826889038086,0.375
0,1,1,0.0,24.05833625793457,0.25
0,1,2,0.25,24.1299991607666,0.375
0,1,3,0.0,24.03180503845215,0.25
0,1,4,0.125,24.05809783935547,0.375
0,1,5,0.125,24.179616928100586,0.25
0,1,6,0.125,23.942005157470703,0.375
0,1,7,0.25,23.997133255004883,0.375
0,1,8,0.125,23.813676834106445,0.375
0,1,9,0.0,23.868038177490234,0.25
0,1,10,0.25,23.942209243774414,0.25
0,1,11,0.125,23.785932540893555,0.25
0,1,12,0.0,23.865325927734375,0.25
0,1,13,0.125,25.78504753112793,0.5
0,1,14,0.0,23.964082717895508,0.25
0,1,15,0.0,23.78141212463379,0.375
0,2,0,0.125,25.700603485107422,0.5
0,2,1,0.0,22.79722785949707,0.375
0,2,2,0.25,32.16706085205078,0.375
0,2,3,0.375,26.83428955078125,0.375
0,2,4,0.125,20.497371673583984,0.375
0,2,5,0.0,23.85304069519043,0.5
0,2,6,0.25,26.14282989501953,0.375
0,2,7,0.25,25.74339485168457,0.375
0,2,8,0.125,15.472597122192383,0.375
0,2,9,0.0,23.385425567626953,0.5
0,2,10,0.125,41.0034294128418,0.125
0,2,11,0.125,23.27195930480957,0.625
0,2,12,0.0,24.540029525756836,0.25
0,2,13,0.25,38.3975715637207,0.375
0,2,14,0.25,34.85788345336914,0.375
0,2,15,0.0,36.12297058105469,0.375
0,3,0,0.125,21.79209327697754,0.375
0,3,1,0.0,21.433319091796875,0.375
0,3,2,0.125,22.40700912475586,0.375
0,3,3,0.25,23.021669387817383,0.375
0,3,4,0.25,23.94582748413086,0.5
0,3,5,0.0,23.946134567260742,0.25
0,3,6,0.25,24.936887741088867,0.375
