,Epoch,Iteration,Accuracy,Loss,Top3
0,0,0,0.375,1.8342477083206177,0.875
0,0,1,0.375,1.887947916984558,0.625
0,0,2,0.375,1.8355273008346558,0.75
0,0,3,0.125,2.040910243988037,0.625
0,0,4,0.375,2.0364625453948975,0.5
0,0,5,0.375,1.8402057886123657,0.875
0,0,6,0.5,1.9277167320251465,0.625
0,0,7,0.75,1.8100758790969849,0.75
0,0,8,0.5,1.9207028150558472,0.625
0,0,9,0.25,1.9872938394546509,0.625
0,0,10,0.5,1.7950868606567383,0.875
0,0,11,0.5,1.9285199642181396,0.625
0,0,12,0.25,2.0039682388305664,0.625
0,1,0,0.375,1.8048940896987915,1.0
0,1,1,0.375,1.9511319398880005,0.75
0,1,2,0.375,1.896782398223877,0.75
0,1,3,0.125,2.0996224880218506,0.75
0,1,4,0.375,1.969022512435913,0.625
0,1,5,0.375,1.8351235389709473,0.875
0,1,6,0.625,1.9093058109283447,0.625
0,1,7,0.5,1.8227897882461548,0.75
0,1,8,0.375,1.9130531549453735,0.625
0,1,9,0.375,1.9557830095291138,0.625
0,1,10,0.75,1.793633222579956,1.0
0,1,11,0.5,1.9211740493774414,0.75
0,1,12,0.375,1.9258917570114136,0.625
0,2,0,0.375,1.8938738107681274,0.875
0,2,1,0.625,1.763374924659729,1.0
0,2,2,0.5,1.8533726930618286,0.875
0,2,3,0.375,1.9341703653335571,1.0
0,2,4,0.5,1.8412781953811646,0.875
0,2,5,0.625,1.8459742069244385,0.875
0,2,6,0.625,1.7227059602737427,1.0
0,2,7,0.875,1.7245250940322876,1.0
0,2,8,0.375,1.7850075960159302,1.0
0,2,9,0.25,2.072384834289551,0.875
0,2,10,0.75,1.7431392669677734,1.0
0,2,11,0.625,1.7638201713562012,1.0
0,2,12,0.625,1.9493708610534668,0.875
0,3,0,0.375,1.9195460081100464,1.0
0,3,1,0.5,1.8652886152267456,1.0
0,3,2,0.375,1.8872615098953247,1.0
0,3,3,0.25,1.9209386110305786,1.0
0,3,4,0.75,1.808963418006897,1.0
0,3,5,0.5,1.7791154384613037,1.0
0,3,6,0.75,1.77867591381073,1.0
0,3,7,0.875,1.7433812618255615,1.0
0,3,8,0.5,1.7752659320831299,0.875
0,3,9,0.25,1.9920533895492554,0.875
0,3,10,0.625,1.7387020587921143,1.0
0,3,11,0.625,1.7385039329528809,0.875
0,3,12,0.5,1.9754046201705933,0.875
0,4,0,0.625,1.7879748344421387,1.0
0,4,1,0.625,1.743187665939331,1.0
0,4,2,0.625,1.816454291343689,1.0
0,4,3,0.625,1.8525727987289429,1.0
0,4,4,0.5,1.804815649986267,0.875
0,4,5,0.5,1.766669511795044,1.0
0,4,6,0.625,1.7470721006393433,1.0
0,4,7,0.75,1.7634243965148926,1.0
0,4,8,0.625,1.758919596672058,0.875
0,4,9,0.375,1.9261921644210815,0.875
0,4,10,0.875,1.7369822263717651,1.0
0,4,11,0.625,1.7601301670074463,0.875
0,4,12,0.25,1.9674450159072876,1.0
0,5,0,0.375,1.842759132385254,1.0
0,5,1,0.25,1.8104206323623657,1.0
0,5,2,0.5,1.8477715253829956,1.0
0,5,3,0.375,1.8672360181808472,1.0
0,5,4,0.5,1.9218668937683105,0.875
0,5,5,0.625,1.840274691581726,1.0
0,5,6,0.75,1.762569546699524,1.0
0,5,7,0.5,1.837200403213501,1.0
0,5,8,0.75,1.7708901166915894,0.875
0,5,9,0.125,2.0253376960754395,0.875
0,5,10,0.625,1.7342529296875,1.0
0,5,11,0.375,1.7817025184631348,0.875
0,5,12,0.25,2.028181552886963,0.875
0,6,0,0.5,1.8112335205078125,0.875
0,6,1,0.5,1.746220350265503,1.0
0,6,2,0.625,1.774933099746704,1.0
0,6,3,0.5,1.834534764289856,1.0
0,6,4,0.625,1.8303569555282593,0.875
0,6,5,0.5,1.7864643335342407,1.0
0,6,6,0.625,1.7393574714660645,1.0
0,6,7,0.875,1.7406717538833618,1.0
0,6,8,0.75,1.7384101152420044,0.875
0,6,9,0.25,1.9379876852035522,0.875
0,6,10,0.875,1.7033077478408813,1.0
0,6,11,0.625,1.7556155920028687,0.875
0,6,12,0.625,1.9211770296096802,0.875
0,7,0,0.375,1.8179361820220947,1.0
0,7,1,0.5,1.7166911363601685,1.0
0,7,2,0.5,1.8225667476654053,1.0
0,7,3,0.5,1.8307971954345703,1.0
0,7,4,0.375,1.759687900543213,1.0
0,7,5,0.375,1.7406033277511597,1.0
0,7,6,0.875,1.7448054552078247,1.0
0,7,7,0.75,1.743269443511963,1.0
0,7,8,0.75,1.7375890016555786,1.0
0,7,9,0.25,1.8856908082962036,0.875
0,7,10,0.625,1.6974067687988281,1.0
0,7,11,0.375,1.7702240943908691,1.0
0,7,12,0.625,1.789065957069397,0.875
0,8,0,0.375,1.7237169742584229,1.0
0,8,1,0.5,1.7448310852050781,1.0
0,8,2,0.625,1.7770649194717407,1.0
0,8,3,0.625,1.8328864574432373,1.0
0,8,4,0.5,1.7587699890136719,0.875
0,8,5,0.5,1.746021032333374,1.0
0,8,6,0.75,1.7588484287261963,1.0
0,8,7,1.0,1.7154297828674316,1.0
0,8,8,0.75,1.7339988946914673,1.0
0,8,9,0.125,1.861928939819336,0.875
0,8,10,0.875,1.67638099193573,1.0
0,8,11,0.875,1.7271714210510254,1.0
0,8,12,0.75,1.806695580482483,1.0
0,9,0,0.625,1.7716432809829712,1.0
0,9,1,0.375,1.8135426044464111,1.0
0,9,2,0.625,1.8465282917022705,1.0
0,9,3,0.625,1.8608416318893433,1.0
0,9,4,0.375,1.8440196514129639,1.0
0,9,5,0.625,1.7805060148239136,1.0
0,9,6,0.625,1.7742729187011719,1.0
0,9,7,0.75,1.7950119972229004,1.0
0,9,8,0.625,1.7383787631988525,0.875
0,9,9,0.25,1.8685221672058105,0.875
0,9,10,0.75,1.6456974744796753,1.0
0,9,11,0.5,1.7735261917114258,0.875
0,9,12,0.75,1.8710943460464478,0.875
