,Epoch,Iteration,Accuracy,Loss,Top3
0,0,0,0.0,7.625092506408691,0.0
0,0,1,0.375,7.011270046234131,0.625
0,0,2,0.25,7.0924882888793945,0.5
0,0,3,0.125,6.960823059082031,0.5
0,0,4,0.25,6.665236473083496,0.625
0,0,5,0.125,6.682652950286865,0.5
0,0,6,0.25,6.667263984680176,0.75
0,0,7,0.25,6.757102966308594,0.75
0,0,8,0.375,6.646159648895264,0.875
0,0,9,0.25,6.733123302459717,0.75
0,0,10,0.5,6.641964435577393,0.625
0,0,11,0.125,6.680370807647705,0.625
0,0,12,0.5,6.634766578674316,0.75
0,0,13,0.5,6.645269393920898,0.75
0,0,14,0.375,6.718087196350098,0.625
0,0,15,0.375,6.694498538970947,0.75
0,0,16,0.25,6.634582996368408,0.75
0,0,17,0.375,6.702879428863525,0.875
0,0,18,0.25,6.668525218963623,0.625
0,0,19,0.5,6.647597312927246,0.875
0,0,20,0.375,6.707834243774414,0.75
0,0,21,0.75,6.761124134063721,0.75
0,0,22,0.625,6.672487735748291,0.875
0,0,23,0.25,6.75855827331543,0.75
0,0,24,0.5,6.65946102142334,1.0
0,0,25,0.25,6.66202449798584,0.875
0,0,26,0.375,6.653141498565674,0.875
0,0,27,0.125,6.639153003692627,0.875
0,0,28,0.5,6.644327640533447,0.625
0,0,29,0.25,6.6488847732543945,0.75
0,0,30,0.375,6.636148929595947,0.875
0,0,31,0.25,6.638588905334473,0.75
0,0,32,0.375,6.636279582977295,0.75
0,0,33,0.25,6.6434550285339355,0.75
0,0,34,0.375,6.632292747497559,0.75
0,0,35,0.25,6.639744281768799,0.5
0,0,36,0.25,6.700179100036621,0.375
0,0,37,0.25,6.637362480163574,0.875
0,0,38,0.25,6.631109237670898,0.875
0,0,39,0.625,6.634625434875488,0.875
0,0,40,0.5,6.6369123458862305,0.875
0,0,41,0.625,6.6589789390563965,0.875
0,0,42,0.25,6.630778789520264,0.75
0,0,43,0.375,6.6364545822143555,1.0
0,0,44,0.5,6.635281085968018,0.875
0,0,45,0.375,6.630504608154297,1.0
0,0,46,0.5,6.6330084800720215,1.0
0,0,47,0.625,6.630890846252441,0.75
0,0,48,0.375,6.630239009857178,1.0
0,0,49,0.375,6.631717681884766,0.875
0,0,50,0.625,6.637471675872803,0.75
0,0,51,0.5,6.631619453430176,0.625
0,0,52,0.5,6.636058330535889,0.75
0,0,53,0.375,6.635424613952637,0.75
0,0,54,0.5,6.714824676513672,0.875
0,0,55,0.375,6.642230033874512,0.75
0,0,56,0.25,6.630537509918213,0.75
0,0,57,0.25,6.633010387420654,0.75
0,0,58,0.375,6.635458469390869,0.625
0,0,59,0.5,6.643699645996094,0.875
0,0,60,0.125,6.642962455749512,0.625
0,0,61,0.25,6.678941249847412,0.875
0,0,62,0.125,6.701447486877441,0.5
0,0,63,0.125,6.703086853027344,0.875
0,0,64,0.125,6.668385028839111,0.5
0,0,65,0.25,6.670538425445557,0.75
0,0,66,0.25,6.6349310874938965,1.0
0,0,67,0.375,6.631956100463867,0.875
0,0,68,0.5,6.636257648468018,0.875
0,0,69,0.75,6.631065368652344,0.75
0,0,70,0.5,6.632884979248047,0.75
0,0,71,0.25,6.631231784820557,0.75
0,0,72,0.5,6.6312689781188965,0.625
0,0,73,0.25,6.631313323974609,0.875
0,0,74,0.375,6.633607864379883,0.875
0,0,75,0.375,6.634006977081299,0.625
0,0,76,0.5,6.634914398193359,0.875
0,0,77,0.25,6.650402545928955,0.5
0,0,78,0.5,6.631582260131836,0.75
0,0,79,0.5,6.633563041687012,0.875
0,0,80,0.375,6.6337056159973145,0.875
0,0,81,0.25,6.676756381988525,0.625
0,0,82,0.25,6.63154411315918,0.875
0,0,83,0.375,6.631558895111084,0.75
0,0,84,0.5,6.631100654602051,0.75
0,0,85,0.25,6.633443832397461,0.625
0,0,86,0.25,6.631955623626709,0.625
0,0,87,0.5,6.633476734161377,0.5
0,0,88,0.625,6.6313090324401855,0.875
0,0,89,0.625,6.631138801574707,0.75
0,0,90,0.625,6.63272762298584,0.875
0,0,91,0.5,6.631774425506592,0.625
0,0,92,0.625,6.6309380531311035,0.875
0,0,93,0.125,6.630754470825195,0.75
0,0,94,0.375,6.653952121734619,0.75
0,0,95,0.375,6.677025318145752,0.625
0,0,96,0.375,6.63071870803833,0.75
0,0,97,0.125,6.646144390106201,0.625
0,0,98,0.375,6.655960559844971,0.75
0,0,99,0.375,6.637942314147949,0.75
0,0,100,0.25,6.631612300872803,0.875
0,0,101,0.5,6.6381354331970215,0.75
0,0,102,0.125,6.638772487640381,0.625
0,0,103,0.375,6.631393909454346,0.75
0,0,104,0.25,6.6318278312683105,0.625
0,0,105,0.375,6.631473541259766,0.875
0,0,106,0.375,6.631479740142822,0.625
0,0,107,0.375,6.6304473876953125,0.75
0,0,108,0.25,6.633568286895752,0.75
0,0,109,0.75,6.630124568939209,0.875
0,0,110,0.5,6.6303887367248535,0.875
0,0,111,0.375,6.630569934844971,0.875
0,0,112,0.375,6.6319260597229,0.875
0,0,113,0.25,6.633108615875244,0.75
0,0,114,0.625,6.631353378295898,0.875
0,0,115,0.375,6.632264137268066,0.75
0,0,116,0.375,6.6451735496521,0.75
0,0,117,0.25,6.661269187927246,0.5
0,0,118,0.375,6.632323265075684,0.75
0,0,119,0.375,6.635544776916504,0.75
0,0,120,0.625,6.631929874420166,0.75
0,0,121,0.125,6.632561683654785,0.75
0,0,122,0.25,6.635929107666016,0.75
0,0,123,0.25,6.630745887756348,1.0
0,0,124,0.625,6.633803844451904,0.75
0,0,125,0.5,6.633084297180176,0.75
0,0,126,0.5,6.630857944488525,0.75
0,0,127,0.625,6.630983829498291,0.875
0,0,128,0.25,6.632262706756592,0.75
0,0,129,0.375,6.631009578704834,0.875
0,0,130,0.375,6.631058692932129,0.625
0,0,131,0.625,6.631767749786377,0.875
0,0,132,0.375,6.631537437438965,0.875
0,0,133,0.375,6.632278919219971,0.75
0,1,0,0.625,6.630507469177246,0.875
0,1,1,0.375,6.631256103515625,0.625
0,1,2,0.75,6.630964279174805,0.875
0,1,3,0.625,6.631057262420654,0.75
0,1,4,0.5,6.630792617797852,0.875
0,1,5,0.375,6.630976676940918,0.75
0,1,6,0.75,6.630926132202148,1.0
0,1,7,0.625,6.630924701690674,0.875
0,1,8,0.625,6.630804538726807,0.75
0,1,9,0.5,6.631013870239258,0.875
0,1,10,0.625,6.63079833984375,0.75
0,1,11,0.625,6.6307830810546875,0.875
0,1,12,0.5,6.6309590339660645,0.75
0,1,13,0.5,6.630932807922363,0.875
0,1,14,0.5,6.64070987701416,0.625
0,1,15,0.625,6.631165027618408,0.875
0,1,16,0.375,6.631579875946045,0.75
0,1,17,0.75,6.631444454193115,0.875
0,1,18,0.375,6.631988525390625,0.625
0,1,19,0.5,6.6313886642456055,0.875
0,1,20,0.375,6.631582260131836,0.75
0,1,21,0.75,6.631499290466309,0.875
0,1,22,0.375,6.6316118240356445,0.875
0,1,23,0.375,6.631863594055176,0.75
0,1,24,0.5,6.630814075469971,0.875
0,1,25,0.5,6.6308488845825195,0.75
0,1,26,0.5,6.63014030456543,0.875
0,1,27,0.125,6.6313958168029785,0.75
0,1,28,0.5,6.630945205688477,0.75
0,1,29,0.375,6.631025791168213,0.75
0,1,30,0.5,6.631045818328857,0.875
0,1,31,0.375,6.631381988525391,0.75
0,1,32,0.5,6.631396770477295,0.75
0,1,33,0.25,6.631046295166016,0.75
0,1,34,0.375,6.631514072418213,0.625
0,1,35,0.25,6.634647369384766,0.375
0,1,36,0.125,6.652059078216553,0.375
0,1,37,0.5,6.631226062774658,0.875
0,1,38,0.25,6.630878448486328,0.5
0,1,39,0.75,6.630226135253906,0.875
0,1,40,0.25,6.630906105041504,0.75
0,1,41,0.625,6.630000114440918,0.875
0,1,42,0.25,6.630707740783691,0.75
0,1,43,0.5,6.630653381347656,0.875
0,1,44,0.625,6.630707740783691,0.875
0,1,45,0.25,6.630614280700684,0.875
0,1,46,0.375,6.630578517913818,0.875
0,1,47,0.625,6.630731582641602,0.75
0,1,48,0.375,6.630530834197998,1.0
0,1,49,0.375,6.631259441375732,0.75
0,1,50,0.625,6.631171703338623,0.875
0,1,51,0.375,6.631617546081543,0.625
0,1,52,0.625,6.631006240844727,0.875
0,1,53,0.25,6.630756855010986,0.75
0,1,54,0.625,6.635942459106445,0.75
0,1,55,0.375,6.631351470947266,0.875
0,1,56,0.375,6.630614280700684,0.75
0,1,57,0.125,6.631421089172363,0.625
0,1,58,0.375,6.631269931793213,0.875
0,1,59,0.5,6.630417823791504,0.875
0,1,60,0.0,6.631659030914307,0.75
0,1,61,0.25,6.653928756713867,1.0
0,1,62,0.5,6.640158653259277,0.625
0,1,63,0.375,6.668972492218018,0.875
0,1,64,0.375,6.6498589515686035,0.625
0,1,65,0.625,6.633273601531982,0.875
0,1,66,0.625,6.631115436553955,0.875
0,1,67,0.25,6.63163423538208,0.875
0,1,68,0.5,6.631369113922119,0.875
0,1,69,0.625,6.631040573120117,0.75
0,1,70,0.625,6.630143165588379,0.875
0,1,71,0.375,6.630903244018555,0.625
0,1,72,0.5,6.630842685699463,0.75
0,1,73,0.625,6.63079833984375,0.75
0,1,74,0.5,6.630848407745361,0.875
0,1,75,0.375,6.631351470947266,0.75
0,1,76,0.75,6.630904674530029,0.75
0,1,77,0.75,6.630819797515869,0.875
0,1,78,0.5,6.631184101104736,0.75
0,1,79,0.375,6.631535530090332,0.875
0,1,80,0.375,6.632385730743408,0.625
0,1,81,0.25,6.6403985023498535,0.625
0,1,82,0.25,6.631241321563721,1.0
0,1,83,0.5,6.6310038566589355,0.75
0,1,84,0.5,6.630974292755127,0.75
0,1,85,0.375,6.632136344909668,0.625
0,1,86,0.375,6.631274223327637,0.875
0,1,87,0.5,6.631950855255127,0.5
0,1,88,0.5,6.631248474121094,0.75
0,1,89,0.5,6.63516902923584,0.75
0,1,90,0.25,6.640446186065674,0.875
0,1,91,0.375,6.631047248840332,0.625
0,1,92,0.625,6.63071870803833,0.875
0,1,93,0.125,6.630622386932373,0.625
0,1,94,0.25,6.630514144897461,0.75
0,1,95,0.375,6.633078098297119,0.625
0,1,96,0.375,6.630581378936768,0.75
0,1,97,0.25,6.631253719329834,0.75
0,1,98,0.25,6.639141082763672,0.625
0,1,99,0.5,6.630392551422119,0.75
0,1,100,0.125,6.631615161895752,0.75
0,1,101,0.375,6.6316938400268555,0.75
0,1,102,0.125,6.638833045959473,0.5
0,1,103,0.5,6.631317615509033,0.75
0,1,104,0.125,6.6314311027526855,0.625
0,1,105,0.5,6.631159782409668,0.875
0,1,106,0.5,6.6313676834106445,0.625
0,1,107,0.375,6.630313873291016,0.75
0,1,108,0.375,6.632716655731201,0.75
0,1,109,0.75,6.630057334899902,0.875
0,1,110,0.375,6.630548000335693,0.75
0,1,111,0.375,6.630417346954346,0.75
0,1,112,0.25,6.6318182945251465,0.75
0,1,113,0.625,6.6313276290893555,0.875
0,1,114,0.5,6.631383419036865,0.875
0,1,115,0.5,6.631351947784424,1.0
0,1,116,0.375,6.638441562652588,0.875
0,1,117,0.25,6.640483379364014,0.625
0,1,118,0.375,6.6321587562561035,0.875
0,1,119,0.375,6.631415843963623,0.75
0,1,120,0.75,6.631596088409424,0.875
0,1,121,0.5,6.632297039031982,0.75
0,1,122,0.375,6.632396221160889,0.75
0,1,123,0.25,6.630544185638428,1.0
0,1,124,0.75,6.630733966827393,0.75
0,1,125,0.5,6.632441520690918,0.75
0,1,126,0.375,6.630611419677734,0.75
0,1,127,0.625,6.630874156951904,0.875
0,1,128,0.375,6.63154411315918,0.875
0,1,129,0.375,6.6309967041015625,0.875
0,1,130,0.375,6.630906105041504,0.625
0,1,131,0.625,6.630852222442627,0.75
0,1,132,0.375,6.631496429443359,0.75
0,1,133,0.375,6.631132125854492,0.75
0,2,0,0.625,6.630365371704102,0.875
0,2,1,0.375,6.631009578704834,0.75
0,2,2,0.75,6.630764961242676,0.875
0,2,3,0.5,6.630950450897217,0.875
0,2,4,0.5,6.630593299865723,0.875
0,2,5,0.5,6.630712509155273,0.75
0,2,6,0.75,6.630731105804443,1.0
