,Epoch,Iteration,Accuracy,Loss,Top3
0,0,0,0.125,446.87359619140625,0.375
0,0,1,0.125,17.980480194091797,0.25
0,0,2,0.125,446.87359619140625,0.375
0,0,3,0.125,429.3297119140625,0.375
0,0,4,0.0,410.3436584472656,0.125
0,0,5,0.125,404.11785888671875,0.375
0,0,6,0.0,360.71484375,0.375
0,0,7,0.125,278.9062194824219,0.375
0,0,8,0.0,223.77011108398438,0.375
0,0,9,0.125,116.91148376464844,0.25
0,0,10,0.0,99.02120971679688,0.5
0,0,11,0.125,41.955074310302734,0.125
0,0,12,0.0,21.754657745361328,0.125
0,0,13,0.25,17.91673469543457,0.375
0,0,14,0.0,21.839834213256836,0.125
0,0,15,0.125,20.044960021972656,0.375
0,0,16,0.0,21.941747665405273,0.125
0,0,17,0.125,22.749710083007812,0.375
0,0,18,0.125,21.671052932739258,0.25
0,0,19,0.125,19.777454376220703,0.125
0,0,20,0.125,30.57391357421875,0.125
0,0,21,0.125,44.130218505859375,0.25
0,0,22,0.125,18.349884033203125,0.125
0,0,23,0.0,73.59696197509766,0.25
0,0,24,0.25,17.03968620300293,0.375
0,0,25,0.125,30.926273345947266,0.25
0,0,26,0.125,29.167640686035156,0.5
0,0,27,0.0,20.03346061706543,0.25
0,0,28,0.25,27.47770118713379,0.5
0,0,29,0.125,16.143239974975586,0.375
0,0,30,0.125,19.171119689941406,0.375
0,0,31,0.0,25.62533950805664,0.125
0,0,32,0.125,18.449085235595703,0.375
0,0,33,0.125,18.26766014099121,0.125
0,0,34,0.0,21.055147171020508,0.125
0,0,35,0.125,33.79193878173828,0.375
0,0,36,0.125,17.455739974975586,0.125
0,0,37,0.125,18.735820770263672,0.125
0,0,38,0.0,20.22232437133789,0.125
0,0,39,0.125,15.975924491882324,0.125
0,0,40,0.125,12.792656898498535,0.375
0,0,41,0.25,19.347103118896484,0.5
0,0,42,0.0,21.85310935974121,0.125
0,0,43,0.125,11.45084285736084,0.5
0,0,44,0.125,13.762284278869629,0.375
0,0,45,0.0,15.356863021850586,0.375
0,0,46,0.125,16.948333740234375,0.25
0,0,47,0.125,16.62192726135254,0.25
