,Epoch,Iteration,Accuracy,Loss,Top3
0,0,0,0.25,2.3638815879821777,0.5
0,0,1,0.375,2.2930104732513428,0.625
0,0,2,0.0,2.4492850303649902,0.25
0,0,3,0.125,2.528550624847412,0.375
0,0,4,0.125,2.147960901260376,0.625
0,0,5,0.125,2.226557731628418,0.5
0,0,6,0.375,2.1855201721191406,0.625
0,0,7,0.375,2.042254686355591,0.75
0,0,8,0.25,2.189344882965088,0.625
0,0,9,0.375,2.149057149887085,0.625
0,0,10,0.375,2.269333839416504,0.5
0,0,11,0.625,1.977799892425537,0.75
0,0,12,0.25,2.151808261871338,0.625
0,0,13,0.125,2.100656032562256,0.625
0,0,14,0.125,2.3538694381713867,0.375
0,0,15,0.375,2.020806074142456,0.75
0,0,16,0.125,2.1517531871795654,0.5
0,0,17,0.125,2.185060977935791,0.5
0,0,18,0.125,2.300046920776367,0.5
0,0,19,0.625,1.9783008098602295,0.75
0,0,20,0.375,2.078599214553833,0.5
0,0,21,0.5,2.0833868980407715,0.625
0,0,22,0.375,2.0271522998809814,0.75
0,0,23,0.25,2.1992533206939697,0.625
0,0,24,0.375,2.0800299644470215,0.625
0,0,25,0.375,2.158168077468872,0.5
0,0,26,0.375,1.9881395101547241,0.875
0,0,27,0.25,2.1649301052093506,0.5
0,0,28,0.625,2.0271780490875244,0.625
0,0,29,0.25,2.07511830329895,0.625
0,0,30,0.25,2.087111473083496,0.75
0,0,31,0.125,2.2361857891082764,0.375
0,0,32,0.5,2.10336971282959,0.625
0,0,33,0.375,2.113534450531006,0.5
0,0,34,0.5,2.144576072692871,0.5
0,0,35,0.25,2.2768502235412598,0.375
0,0,36,0.25,2.291003942489624,0.25
0,0,37,0.125,2.1028378009796143,0.75
0,0,38,0.25,2.0822696685791016,0.5
0,0,39,0.375,1.9700525999069214,0.625
0,0,40,0.5,2.0128419399261475,0.625
0,0,41,0.625,1.9451631307601929,0.75
0,0,42,0.25,2.097054958343506,0.5
0,0,43,0.375,2.000730514526367,0.625
0,0,44,0.5,1.9513434171676636,0.75
0,0,45,0.25,2.04899263381958,0.625
0,0,46,0.125,2.043264865875244,0.625
0,0,47,0.25,2.0566465854644775,0.5
0,0,48,0.625,1.8631855249404907,0.875
0,0,49,0.375,2.1604831218719482,0.5
0,0,50,0.125,2.3121590614318848,0.5
0,0,51,0.25,2.1742610931396484,0.625
0,0,52,0.375,2.1476378440856934,0.625
0,0,53,0.125,2.2642948627471924,0.5
0,0,54,0.375,2.25396990776062,0.375
0,0,55,0.5,2.036789894104004,0.625
0,0,56,0.625,1.9838441610336304,0.625
0,0,57,0.25,2.1199488639831543,0.625
0,0,58,0.375,2.2118756771087646,0.5
0,0,59,0.5,1.8015737533569336,0.875
0,0,60,0.25,2.0998799800872803,0.5
0,0,61,0.25,2.202005624771118,0.5
0,0,62,0.25,2.224236011505127,0.5
0,0,63,0.5,2.150885581970215,0.625
0,0,64,0.25,2.286970376968384,0.375
0,0,65,0.375,2.2283389568328857,0.625
0,0,66,0.375,1.9827296733856201,0.75
0,0,67,0.25,2.13798451423645,0.625
0,0,68,0.25,2.0577738285064697,0.625
0,0,69,0.5,2.096250534057617,0.5
0,0,70,0.625,1.7888022661209106,0.875
0,0,71,0.25,2.0997419357299805,0.5
0,0,72,0.5,1.987977147102356,0.625
0,0,73,0.375,1.985664963722229,0.625
0,0,74,0.5,1.8842850923538208,0.75
0,0,75,0.125,2.1873724460601807,0.5
0,0,76,0.625,2.1165771484375,0.625
0,0,77,0.375,2.093871593475342,0.75
0,0,78,0.5,2.113506555557251,0.625
0,0,79,0.375,2.1986641883850098,0.625
0,0,80,0.5,2.100749969482422,0.5
0,0,81,0.25,2.1350040435791016,0.625
0,0,82,0.375,2.0971624851226807,0.5
0,0,83,0.25,2.2346251010894775,0.5
0,0,84,0.25,2.304717540740967,0.625
0,0,85,0.375,2.118523597717285,0.75
0,0,86,0.125,2.2226130962371826,0.375
0,0,87,0.375,2.3161308765411377,0.5
0,0,88,0.5,1.9285380840301514,0.75
0,0,89,0.375,2.1192305088043213,0.625
0,0,90,0.5,2.0841896533966064,0.625
0,0,91,0.375,2.1294949054718018,0.5
0,0,92,0.625,1.8991565704345703,0.875
0,0,93,0.25,2.2534236907958984,0.5
