,Epoch,Iteration,Accuracy,Loss,Top3
0,0,0,0.375,1.8796601295471191,0.75
0,0,1,0.25,2.0208799839019775,0.5
0,0,2,0.375,2.033031940460205,0.5
0,0,3,0.125,1.9402174949645996,0.75
0,0,4,0.375,2.082463026046753,0.5
0,0,5,0.375,1.9307738542556763,0.75
0,0,6,0.375,2.045379161834717,0.5
0,0,7,0.5,1.9888107776641846,0.5
0,0,8,0.625,1.793121576309204,0.75
0,0,9,0.375,2.0329372882843018,0.5
0,0,10,0.625,1.8966078758239746,0.75
0,0,11,0.375,2.0270326137542725,0.5
0,0,12,0.375,1.9794764518737793,0.5
0,1,0,0.5,1.7852332592010498,1.0
0,1,1,0.625,1.9248825311660767,0.875
0,1,2,0.5,1.9056905508041382,0.875
0,1,3,0.25,1.9749913215637207,0.875
0,1,4,0.75,1.8121331930160522,0.875
0,1,5,0.625,1.748317003250122,1.0
0,1,6,0.5,1.8831000328063965,0.875
0,1,7,0.625,1.8738921880722046,0.875
0,1,8,0.625,1.9274570941925049,0.875
0,1,9,0.375,1.9343925714492798,0.75
0,1,10,0.75,1.7620805501937866,1.0
0,1,11,0.625,1.9252558946609497,0.875
0,1,12,0.75,1.9750925302505493,0.75
0,2,0,0.375,1.8071177005767822,1.0
0,2,1,0.375,1.9218319654464722,0.875
0,2,2,0.5,1.8715717792510986,0.875
0,2,3,0.25,1.9212355613708496,0.875
0,2,4,0.5,1.8695132732391357,0.875
0,2,5,0.5,1.7654207944869995,1.0
0,2,6,0.75,1.8582595586776733,0.875
0,2,7,0.75,1.8157683610916138,0.875
0,2,8,0.75,1.8711663484573364,0.875
0,2,9,0.375,1.916813611984253,0.75
0,2,10,0.75,1.7294291257858276,1.0
0,2,11,0.625,1.8974180221557617,0.875
0,2,12,0.625,1.9126886129379272,0.75
0,3,0,0.625,1.8060922622680664,1.0
0,3,1,0.625,1.8699703216552734,0.875
0,3,2,0.625,1.9127169847488403,0.875
0,3,3,0.125,1.995924711227417,0.875
0,3,4,0.625,1.8747336864471436,0.875
0,3,5,0.5,1.774885892868042,1.0
0,3,6,0.75,1.8346049785614014,0.875
0,3,7,0.75,1.7884312868118286,0.875
0,3,8,0.375,1.8673614263534546,0.875
0,3,9,0.375,1.9871045351028442,0.75
0,3,10,0.5,1.74708092212677,1.0
0,3,11,0.625,1.8568023443222046,0.875
0,3,12,0.375,1.929261326789856,0.75
0,4,0,0.625,1.7924531698226929,0.875
0,4,1,0.625,1.8340373039245605,1.0
0,4,2,0.5,1.860109806060791,0.875
0,4,3,0.5,1.8466426134109497,1.0
0,4,4,0.625,1.8464983701705933,0.875
0,4,5,0.375,1.7325453758239746,1.0
0,4,6,0.625,1.8173977136611938,1.0
0,4,7,0.75,1.7577940225601196,1.0
0,4,8,0.625,1.8000462055206299,1.0
0,4,9,0.25,1.8571555614471436,0.875
0,4,10,0.625,1.7649801969528198,1.0
0,4,11,0.75,1.801417589187622,1.0
0,4,12,0.75,1.8396472930908203,0.875
0,5,0,0.5,1.7788864374160767,1.0
0,5,1,0.5,1.8024626970291138,1.0
0,5,2,0.5,1.8366883993148804,1.0
0,5,3,0.375,1.8151882886886597,1.0
0,5,4,0.375,1.7676924467086792,1.0
0,5,5,0.5,1.7823858261108398,0.875
0,5,6,0.625,1.819983720779419,1.0
0,5,7,0.75,1.7265093326568604,1.0
0,5,8,0.5,1.7782504558563232,1.0
0,5,9,0.25,1.9346412420272827,0.875
0,5,10,0.625,1.7847027778625488,1.0
0,5,11,0.625,1.7900055646896362,1.0
0,5,12,0.5,1.8086069822311401,0.875
0,6,0,0.625,1.7474154233932495,1.0
0,6,1,0.25,1.8055826425552368,1.0
0,6,2,0.625,1.81307053565979,1.0
0,6,3,0.5,1.753475546836853,1.0
0,6,4,0.5,1.865481972694397,0.875
0,6,5,0.5,1.8102154731750488,1.0
0,6,6,0.75,1.810604453086853,1.0
0,6,7,1.0,1.7001639604568481,1.0
0,6,8,0.75,1.734135389328003,0.875
0,6,9,0.25,1.8953956365585327,0.875
0,6,10,0.875,1.6834505796432495,1.0
0,6,11,0.625,1.7912651300430298,1.0
0,6,12,0.75,1.8206619024276733,0.875
0,7,0,0.625,1.7504595518112183,1.0
0,7,1,0.875,1.7276134490966797,1.0
0,7,2,0.625,1.8128209114074707,1.0
0,7,3,0.625,1.7710312604904175,1.0
0,7,4,0.5,1.8009328842163086,1.0
0,7,5,0.5,1.7535866498947144,0.875
0,7,6,0.75,1.7827427387237549,1.0
0,7,7,0.75,1.7094173431396484,1.0
0,7,8,0.875,1.733756184577942,1.0
0,7,9,0.125,1.9402062892913818,0.875
0,7,10,0.75,1.7338987588882446,1.0
0,7,11,0.75,1.7836320400238037,1.0
0,7,12,0.625,1.841616153717041,0.875
0,8,0,0.375,1.7344684600830078,1.0
0,8,1,0.375,1.764143705368042,1.0
0,8,2,0.375,1.7943661212921143,1.0
0,8,3,0.375,1.7660821676254272,1.0
0,8,4,0.375,1.8275290727615356,1.0
0,8,5,0.5,1.80180823802948,1.0
0,8,6,0.75,1.7743335962295532,1.0
0,8,7,0.75,1.6930142641067505,1.0
