,Epoch,Iteration,Accuracy,Loss,Top3,Prediction,Target
0,0,0,0.0,6.753172397613525,0.5,"[0, 0, 0, 0, 0, 0, 0, 0]",[8 2 8 3 7 3 6 2]
0,0,1,0.0,6.753141403198242,0.125,"[0, 0, 2, 0, 0, 0, 0, 0]",[6 8 6 3 6 9 8 5]
0,0,2,0.125,6.753145694732666,0.625,"[0, 0, 0, 0, 0, 0, 0, 0]",[5 1 1 3 7 0 3 4]
0,0,3,0.125,6.753189563751221,0.5,"[0, 0, 0, 0, 0, 0, 0, 2]",[5 5 3 9 0 1 2 9]
0,0,4,0.25,6.753137588500977,0.375,"[0, 0, 0, 0, 0, 0, 0, 0]",[4 0 4 5 1 4 0 9]
0,0,5,0.0,6.753166198730469,0.5,"[0, 0, 0, 0, 0, 0, 0, 0]",[3 4 6 3 8 9 2 3]
0,0,6,0.0,6.753190517425537,0.25,"[0, 0, 0, 0, 0, 0, 0, 0]",[7 4 5 6 9 2 8 3]
0,0,7,0.125,6.753579616546631,0.25,"[0, 0, 0, 0, 2, 0, 0, 0]",[1 4 6 0 3 5 8 6]
0,0,8,0.125,6.753177165985107,0.375,"[0, 0, 0, 0, 0, 0, 0, 0]",[4 1 5 3 5 7 0 8]
0,0,9,0.0,6.753185749053955,0.375,"[0, 0, 0, 0, 0, 0, 0, 0]",[9 7 5 8 1 2 3 5]
0,0,10,0.0,6.753225326538086,0.125,"[0, 0, 0, 0, 0, 2, 0, 0]",[4 9 3 9 8 9 8 5]
0,0,11,0.375,6.753145217895508,0.75,"[0, 0, 0, 0, 0, 0, 0, 0]",[2 0 9 3 8 0 2 0]
0,0,12,0.25,6.75319766998291,0.5,"[0, 0, 0, 0, 0, 0, 0, 0]",[9 2 1 5 5 0 5 0]
0,0,13,0.125,6.753551006317139,0.25,"[0, 2, 0, 0, 0, 0, 0, 0]",[1 7 7 0 8 9 1 7]
0,0,14,0.125,6.753458499908447,0.375,"[0, 3, 0, 0, 0, 0, 0, 0]",[3 6 6 7 2 7 0 7]
0,0,15,0.0,6.7535834312438965,0.25,"[0, 0, 0, 0, 0, 0, 0, 0]",[2 1 6 4 5 1 7 9]
0,0,16,0.125,6.753189563751221,0.5,"[2, 0, 0, 0, 0, 0, 0, 0]",[4 7 1 3 8 0 4 8]
0,0,17,0.0,6.753207683563232,0.375,"[0, 0, 0, 0, 0, 0, 0, 0]",[6 6 1 6 6 2 3 6]
0,0,18,0.125,6.753608226776123,0.375,"[2, 0, 0, 0, 0, 0, 0, 0]",[1 9 0 7 1 2 9 8]
0,0,19,0.125,6.7531280517578125,0.25,"[0, 0, 0, 0, 0, 0, 0, 0]",[8 0 7 9 6 9 9 2]
0,0,20,0.5,6.753138065338135,0.625,"[0, 0, 0, 0, 0, 0, 0, 0]",[6 8 0 0 1 0 6 0]
