,Epoch,Iteration,Accuracy,Loss,Top3,Prediction,Target
0,0,0,0.375,2.099268913269043,0.5,"[7, 7, 7, 6, 7, 7, 7, 7]",[8 0 8 6 7 3 1 7]
0,0,1,0.75,1.710549235343933,0.875,"[7, 2, 2, 2, 7, 7, 2, 6]",[8 6 2 2 7 7 2 6]
0,0,2,0.875,1.638972520828247,0.875,"[7, 7, 7, 2, 7, 2, 7, 2]",[7 7 1 2 7 2 7 2]
0,0,3,0.625,1.8118020296096802,0.875,"[4, 2, 7, 2, 7, 2, 6, 0]",[4 3 7 0 7 4 6 0]
0,0,4,0.375,2.121814250946045,0.5,"[4, 6, 7, 2, 7, 7, 2, 7]",[4 6 8 1 7 2 1 3]
0,0,5,0.125,2.354346990585327,0.125,"[7, 6, 2, 7, 7, 2, 2, 7]",[9 1 1 8 7 5 1 8]
0,0,6,0.25,2.232914924621582,0.375,"[7, 2, 7, 7, 2, 6, 7, 2]",[9 2 8 4 8 6 9 9]
0,0,7,0.375,2.137727975845337,0.375,"[7, 2, 2, 7, 6, 7, 6, 2]",[1 1 8 8 6 9 6 2]
0,0,8,0.5,2.0901005268096924,0.5,"[2, 2, 7, 0, 0, 7, 7, 7]",[2 2 8 0 0 1 9 9]
0,0,9,0.5,2.0431699752807617,0.5,"[2, 2, 7, 0, 0, 7, 2, 2]",[2 8 1 0 0 5 8 2]
0,0,10,0.375,2.189053535461426,0.5,"[2, 2, 2, 4, 2, 7, 7, 4]",[1 7 8 4 2 0 7 9]
0,0,11,0.125,2.3314197063446045,0.25,"[2, 7, 7, 7, 2, 7, 2, 2]",[8 4 3 9 1 9 2 5]
0,0,12,0.375,2.181182861328125,0.375,"[4, 2, 0, 6, 2, 7, 2, 7]",[4 8 0 6 3 1 3 3]
0,0,13,0.125,2.243673086166382,0.5,"[2, 7, 2, 2, 7, 7, 6, 7]",[6 4 0 3 7 8 1 9]
0,0,14,0.5,1.9934335947036743,0.625,"[7, 7, 7, 7, 0, 2, 7, 2]",[7 5 9 4 0 1 7 2]
0,0,15,0.375,2.016043186187744,0.625,"[6, 7, 2, 2, 6, 6, 7, 2]",[1 7 0 5 2 6 9 2]
0,0,16,0.375,2.1440587043762207,0.375,"[2, 2, 7, 6, 7, 6, 0, 6]",[8 2 1 6 9 0 0 1]
