,Epoch,Iteration,Accuracy,Loss,Top3,Prediction,Target
0,0,0,1.0,1.7926639318466187,1.0,"[2, 9, 0, 4, 1, 8, 6, 7]",[2 9 0 4 1 8 6 7]
0,0,1,0.875,1.9585784673690796,1.0,"[5, 8, 2, 8, 0, 0, 2, 1]",[6 8 2 8 0 0 2 1]
0,0,2,0.75,1.581825613975525,0.875,"[3, 2, 0, 2, 4, 2, 1, 6]",[7 2 0 2 4 2 8 6]
0,0,3,0.75,1.9189320802688599,1.0,"[9, 5, 8, 1, 9, 9, 7, 5]",[9 8 8 1 9 9 7 9]
0,0,4,0.75,1.4626209735870361,1.0,"[2, 8, 3, 0, 9, 8, 8, 2]",[9 8 3 0 9 5 8 2]
0,0,5,0.5,3.889077663421631,0.75,"[5, 6, 5, 2, 6, 2, 9, 2]",[1 6 1 3 6 6 7 6]
0,0,6,0.5,2.339460849761963,1.0,"[0, 5, 4, 0, 0, 5, 9, 5]",[0 8 6 0 0 6 9 3]
0,0,7,0.75,1.501491904258728,0.875,"[0, 2, 1, 3, 5, 9, 4, 2]",[0 8 3 3 5 9 4 2]
0,0,8,0.375,2.3614413738250732,0.75,"[9, 8, 8, 6, 2, 7, 2, 9]",[4 3 8 5 2 2 8 9]
0,0,9,0.25,2.1325571537017822,0.625,"[8, 5, 7, 2, 2, 5, 5, 1]",[3 6 7 7 9 5 8 3]
0,0,10,0.625,2.329221248626709,0.875,"[2, 7, 9, 6, 7, 1, 9, 8]",[3 7 4 6 7 1 7 8]
0,0,11,0.75,3.1368210315704346,1.0,"[9, 0, 6, 9, 2, 5, 1, 5]",[7 5 6 9 3 1 1 1]
0,0,12,0.875,2.281949043273926,1.0,"[1, 5, 7, 9, 5, 2, 5, 1]",[1 8 7 9 1 2 5 1]
0,0,13,0.125,2.9654247760772705,1.0,"[5, 8, 5, 2, 5, 5, 5, 0]",[4 5 9 7 8 6 4 0]
0,0,14,0.875,2.81996750831604,1.0,"[7, 5, 7, 9, 5, 8, 1, 3]",[7 1 7 9 5 8 1 3]
0,0,15,1.0,1.6254098415374756,1.0,"[2, 2, 2, 4, 5, 5, 6, 4]",[2 2 2 4 5 5 6 4]
0,0,16,0.75,1.8455644845962524,1.0,"[9, 9, 0, 7, 0, 3, 0, 1]",[9 9 0 7 0 3 1 8]
0,0,17,0.5,2.427217721939087,0.875,"[4, 9, 7, 4, 6, 5, 2, 9]",[6 4 7 4 6 8 3 9]
0,0,18,0.5,1.9257304668426514,1.0,"[9, 4, 8, 9, 2, 2, 9, 5]",[9 4 8 9 3 3 7 2]
0,0,19,0.5,2.2293832302093506,0.875,"[2, 8, 3, 5, 9, 1, 5, 5]",[4 8 5 8 9 1 5 6]
0,0,20,0.75,2.2033793926239014,0.875,"[2, 8, 4, 6, 4, 6, 1, 2]",[2 3 6 6 4 6 1 2]
0,0,21,0.625,2.176663875579834,0.875,"[2, 2, 9, 1, 0, 9, 0, 5]",[2 1 4 7 0 6 0 5]
0,0,22,0.625,2.7806966304779053,0.875,"[4, 8, 9, 6, 1, 7, 7, 1]",[4 3 8 6 7 7 7 1]
0,0,23,0.625,2.676785707473755,0.75,"[2, 4, 1, 0, 2, 2, 5, 5]",[6 4 1 0 2 3 3 5]
0,0,24,0.5,2.0004870891571045,1.0,"[9, 1, 2, 8, 5, 6, 2, 2]",[9 1 6 8 3 6 4 5]
0,0,25,0.625,2.3113152980804443,0.875,"[8, 0, 2, 2, 1, 5, 2, 6]",[8 0 2 7 1 5 6 8]
0,0,26,0.625,2.3775651454925537,0.875,"[1, 0, 5, 0, 3, 2, 4, 5]",[1 0 5 0 7 2 4 3]
0,0,27,0.875,1.3876644372940063,1.0,"[8, 4, 5, 9, 2, 2, 7, 7]",[8 4 8 4 2 2 7 7]
0,0,28,0.625,2.1743056774139404,0.875,"[0, 9, 0, 5, 5, 7, 7, 1]",[0 7 0 3 6 7 7 1]
0,0,29,1.0,1.9810458421707153,1.0,"[3, 9, 5, 0, 9, 2, 6, 8]",[3 9 1 0 9 2 6 8]
0,0,30,0.875,1.9243872165679932,1.0,"[5, 4, 6, 9, 8, 2, 5, 8]",[1 4 6 9 8 2 8 8]
0,0,31,0.75,2.2403409481048584,1.0,"[9, 0, 5, 5, 8, 2, 8, 9]",[9 0 1 1 8 9 8 9]
0,0,32,0.625,2.2258927822113037,0.75,"[0, 9, 6, 4, 5, 5, 5, 0]",[0 9 6 6 3 8 5 0]
0,0,33,0.75,2.3679206371307373,0.875,"[7, 9, 1, 5, 0, 5, 2, 0]",[7 9 1 4 0 7 2 0]
0,0,34,1.0,1.7820082902908325,1.0,"[8, 2, 8, 5, 1, 7, 5, 9]",[8 2 8 5 1 7 5 9]
0,0,35,0.5,2.7435050010681152,0.75,"[3, 2, 5, 0, 5, 3, 1, 8]",[3 6 6 0 7 3 1 5]
0,0,36,0.875,2.2838995456695557,1.0,"[0, 4, 9, 9, 5, 6, 6, 8]",[0 4 9 9 1 6 6 8]
0,0,37,0.5,3.231107473373413,0.75,"[2, 4, 1, 1, 5, 1, 2, 5]",[3 4 1 5 5 4 2 3]
0,0,38,0.75,2.8187501430511475,0.75,"[5, 4, 5, 5, 5, 3, 5, 2]",[5 4 3 0 1 3 5 2]
0,0,39,0.875,1.661278486251831,1.0,"[5, 6, 9, 4, 5, 0, 7, 5]",[5 6 9 4 5 0 7 5]
0,0,40,0.5,2.0056817531585693,1.0,"[6, 8, 5, 5, 5, 4, 2, 2]",[6 9 5 8 8 4 2 6]
0,0,41,0.625,2.967141628265381,1.0,"[9, 5, 1, 6, 3, 5, 8, 6]",[9 1 8 6 3 1 1 6]
0,0,42,0.75,2.12597393989563,1.0,"[6, 1, 1, 5, 9, 7, 4, 0]",[6 1 3 3 4 7 4 5]
0,0,43,0.5,2.491680145263672,0.875,"[5, 3, 5, 0, 8, 4, 2, 1]",[1 3 9 0 2 4 6 3]
0,0,44,0.75,2.5220179557800293,0.875,"[8, 6, 1, 1, 5, 2, 4, 0]",[8 6 1 7 4 2 4 0]
0,0,45,0.875,1.6512987613677979,1.0,"[3, 5, 2, 2, 1, 9, 2, 7]",[3 5 3 2 1 4 2 7]
0,0,46,0.75,2.241856575012207,0.875,"[5, 2, 9, 6, 5, 2, 4, 9]",[5 2 6 6 5 3 4 9]
0,0,47,0.875,1.681147575378418,0.875,"[4, 6, 2, 5, 8, 4, 7, 7]",[4 6 2 3 8 4 7 7]
0,0,48,0.75,2.369215250015259,0.875,"[2, 8, 4, 6, 0, 5, 1, 0]",[5 8 4 6 0 6 1 0]
0,0,49,0.625,2.620980739593506,1.0,"[9, 5, 1, 2, 5, 8, 9, 9]",[4 1 1 6 5 5 9 4]
0,0,50,0.75,1.9274917840957642,0.875,"[0, 5, 8, 7, 5, 5, 6, 5]",[0 5 8 7 8 3 6 5]
0,0,51,0.75,1.7581168413162231,1.0,"[6, 7, 0, 2, 4, 0, 0, 2]",[6 7 0 5 6 0 0 2]
0,0,52,0.5,2.4372525215148926,0.875,"[5, 5, 4, 1, 2, 0, 9, 0]",[8 5 4 8 2 1 5 0]
0,0,53,0.5,2.785586357116699,0.75,"[8, 9, 2, 4, 5, 1, 2, 0]",[8 7 0 4 7 7 2 0]
0,0,54,0.75,1.8207523822784424,1.0,"[7, 3, 2, 5, 5, 2, 2, 5]",[7 3 2 7 3 2 3 1]
0,0,55,0.5,2.5166397094726562,1.0,"[2, 0, 1, 9, 2, 1, 4, 2]",[9 0 1 9 2 2 4 1]
0,0,56,0.5,2.4716720581054688,0.75,"[5, 2, 3, 2, 6, 5, 9, 0]",[8 2 3 7 6 5 7 6]
0,0,57,0.625,2.595409870147705,0.875,"[5, 9, 9, 2, 5, 9, 3, 0]",[7 9 7 3 1 9 3 0]
0,0,58,0.5,2.120332717895508,1.0,"[5, 2, 4, 9, 4, 2, 2, 3]",[7 2 2 4 6 2 2 3]
0,0,59,0.5,2.2103350162506104,1.0,"[1, 0, 5, 5, 9, 2, 4, 2]",[1 5 5 3 9 3 4 3]
0,0,60,0.5,2.2826387882232666,0.75,"[2, 0, 0, 8, 5, 8, 9, 5]",[8 3 0 8 8 8 9 8]
0,0,61,1.0,1.7703734636306763,1.0,"[0, 5, 7, 4, 0, 5, 8, 9]",[0 1 7 4 0 5 8 9]
0,0,62,0.375,2.1237096786499023,0.875,"[5, 8, 2, 5, 2, 8, 1, 5]",[6 8 1 5 6 5 1 8]
0,0,63,0.75,2.0827109813690186,1.0,"[2, 2, 8, 7, 8, 2, 8, 5]",[6 2 8 7 8 6 8 1]
0,0,64,0.875,1.3745914697647095,1.0,"[2, 9, 7, 5, 7, 2, 5, 9]",[2 9 7 5 7 2 9 9]
0,0,65,0.5,2.136803150177002,1.0,"[2, 2, 1, 4, 2, 0, 0, 2]",[9 2 8 4 8 0 0 9]
0,0,66,0.625,2.5144197940826416,0.75,"[9, 4, 8, 5, 5, 0, 1, 3]",[7 9 8 5 8 0 1 3]
0,0,67,0.625,3.8648102283477783,0.625,"[0, 7, 5, 5, 5, 4, 5, 5]",[0 7 1 1 7 4 4 7]
0,0,68,0.625,2.266923666000366,1.0,"[0, 4, 6, 5, 6, 2, 8, 0]",[0 4 6 5 6 7 5 0]
0,0,69,0.625,2.8309872150421143,1.0,"[5, 1, 5, 0, 1, 5, 1, 9]",[5 8 1 0 2 7 1 9]
0,0,70,0.625,2.737095594406128,1.0,"[6, 6, 8, 9, 2, 9, 2, 8]",[6 6 8 4 3 9 3 8]
0,0,71,0.875,1.7110795974731445,1.0,"[4, 3, 4, 2, 1, 9, 2, 7]",[4 3 4 2 1 9 2 7]
0,0,72,0.75,1.7297793626785278,0.875,"[2, 7, 0, 2, 5, 2, 2, 5]",[2 7 0 2 5 5 3 5]
0,0,73,0.625,1.4208604097366333,1.0,"[7, 4, 5, 3, 2, 0, 9, 7]",[7 4 5 3 7 5 4 7]
0,0,74,0.5,2.5854852199554443,0.75,"[9, 9, 5, 8, 2, 5, 4, 2]",[9 8 5 8 8 4 4 3]
0,0,75,0.375,1.9142045974731445,1.0,"[8, 4, 2, 2, 0, 1, 5, 0]",[8 4 5 6 2 8 2 0]
0,0,76,0.5,3.2495901584625244,0.75,"[1, 2, 2, 8, 4, 0, 5, 1]",[1 6 7 9 4 0 5 6]
0,0,77,0.75,2.6952109336853027,1.0,"[5, 5, 2, 5, 7, 9, 5, 2]",[4 7 2 1 7 8 1 2]
0,0,78,0.5,2.4683361053466797,0.75,"[3, 5, 1, 7, 5, 5, 1, 5]",[3 9 3 7 5 1 4 8]
0,0,79,0.5,2.541311502456665,1.0,"[5, 8, 7, 5, 4, 0, 2, 7]",[1 3 7 9 4 0 6 7]
0,0,80,0.875,1.8673858642578125,1.0,"[1, 0, 2, 4, 8, 5, 8, 8]",[1 0 2 4 8 3 8 8]
0,0,81,0.75,3.691147804260254,1.0,"[4, 1, 2, 7, 4, 4, 2, 0]",[4 1 9 7 4 4 4 0]
0,0,82,0.625,3.4949591159820557,0.75,"[4, 7, 9, 5, 3, 5, 2, 5]",[1 7 5 1 7 1 2 1]
