,Epoch,Iteration,Accuracy,Top3,Prediction,Target
0,0,0.0,1.0,1.0,[1],tensor([1])
0,0,0.125,1.0,1.0,[5],tensor([5])
0,0,0.25,0.0,0.0,[2],tensor([8])
0,0,0.375,0.0,0.0,[3],tensor([8])
0,0,0.5,1.0,1.0,[9],tensor([9])
0,0,0.625,0.0,0.0,[9],tensor([3])
0,0,0.75,0.0,1.0,[4],tensor([5])
0,0,0.875,0.0,1.0,[5],tensor([9])
0,0,1.0,0.0,1.0,[4],tensor([3])
0,0,1.125,0.0,1.0,[2],tensor([6])
0,0,1.25,1.0,1.0,[0],tensor([0])
0,0,1.375,0.0,0.0,[0],tensor([9])
0,0,1.5,0.0,1.0,[2],tensor([4])
0,0,1.625,0.0,0.0,[6],tensor([9])
0,0,1.75,0.0,1.0,[1],tensor([0])
0,0,1.875,0.0,1.0,[1],tensor([3])
0,0,2.0,0.0,0.0,[9],tensor([3])
0,0,2.125,0.0,1.0,[3],tensor([9])
0,0,2.25,1.0,1.0,[8],tensor([8])
0,0,2.375,0.0,1.0,[0],tensor([9])
0,0,2.5,0.0,0.0,[9],tensor([8])
0,0,2.625,1.0,1.0,[1],tensor([1])
0,0,2.75,1.0,1.0,[0],tensor([0])
0,0,2.875,0.0,1.0,[1],tensor([3])
0,0,3.0,0.0,0.0,[5],tensor([6])
0,0,3.125,0.0,1.0,[4],tensor([7])
0,0,3.25,1.0,1.0,[7],tensor([7])
0,0,3.375,1.0,1.0,[0],tensor([0])
0,0,3.5,1.0,1.0,[2],tensor([2])
0,0,3.625,0.0,1.0,[1],tensor([0])
0,0,3.75,1.0,1.0,[0],tensor([0])
0,0,3.875,1.0,1.0,[7],tensor([7])
0,0,4.0,0.0,0.0,[9],tensor([3])
0,0,4.125,0.0,0.0,[4],tensor([9])
0,0,4.25,0.0,0.0,[8],tensor([1])
0,0,4.375,1.0,1.0,[1],tensor([1])
0,0,4.5,0.0,0.0,[8],tensor([0])
0,0,4.625,0.0,0.0,[5],tensor([9])
0,0,4.75,1.0,1.0,[2],tensor([2])
0,0,4.875,0.0,0.0,[5],tensor([9])
0,0,5.0,1.0,1.0,[1],tensor([1])
0,0,5.125,1.0,1.0,[7],tensor([7])
0,0,5.25,0.0,1.0,[0],tensor([8])
0,0,5.375,0.0,0.0,[9],tensor([1])
0,0,5.5,0.0,1.0,[2],tensor([6])
0,0,5.625,1.0,1.0,[3],tensor([3])
0,0,5.75,1.0,1.0,[0],tensor([0])
0,0,5.875,1.0,1.0,[2],tensor([2])
0,0,6.0,1.0,1.0,[5],tensor([5])
0,0,6.125,0.0,0.0,[8],tensor([0])
0,0,6.25,0.0,1.0,[3],tensor([4])
0,0,6.375,1.0,1.0,[2],tensor([2])
0,0,6.5,0.0,1.0,[2],tensor([4])
0,0,6.625,0.0,0.0,[9],tensor([3])
0,0,6.75,1.0,1.0,[9],tensor([9])
0,0,6.875,0.0,1.0,[6],tensor([9])
0,0,7.0,0.0,1.0,[3],tensor([5])
0,0,7.125,0.0,0.0,[4],tensor([8])
0,0,7.25,0.0,0.0,[5],tensor([8])
0,0,7.375,0.0,0.0,[3],tensor([8])
0,0,7.5,0.0,0.0,[4],tensor([6])
0,0,7.625,0.0,1.0,[1],tensor([3])
0,0,7.75,0.0,1.0,[1],tensor([0])
0,0,7.875,0.0,1.0,[3],tensor([0])
0,0,8.0,0.0,0.0,[8],tensor([1])
0,0,8.125,0.0,0.0,[3],tensor([9])
0,0,8.25,0.0,0.0,[5],tensor([9])
0,0,8.375,0.0,1.0,[1],tensor([0])
0,0,8.5,1.0,1.0,[1],tensor([1])
0,0,8.625,0.0,1.0,[6],tensor([9])
0,0,8.75,0.0,1.0,[4],tensor([9])
0,0,8.875,1.0,1.0,[2],tensor([2])
0,0,9.0,0.0,1.0,[5],tensor([4])
0,0,9.125,1.0,1.0,[1],tensor([1])
0,0,9.25,1.0,1.0,[7],tensor([7])
0,0,9.375,0.0,0.0,[5],tensor([2])
0,0,9.5,0.0,1.0,[1],tensor([3])
0,0,9.625,0.0,1.0,[1],tensor([3])
0,0,9.75,1.0,1.0,[7],tensor([7])
0,0,9.875,0.0,0.0,[3],tensor([0])
0,0,10.0,0.0,1.0,[0],tensor([9])
0,0,10.125,0.0,0.0,[3],tensor([4])
0,0,10.25,0.0,1.0,[1],tensor([3])
0,0,10.375,1.0,1.0,[1],tensor([1])
0,0,10.5,0.0,0.0,[4],tensor([7])
0,0,10.625,0.0,0.0,[8],tensor([0])
0,0,10.75,0.0,0.0,[4],tensor([9])
0,0,10.875,0.0,1.0,[6],tensor([9])
0,0,11.0,1.0,1.0,[0],tensor([0])
0,0,11.125,1.0,1.0,[7],tensor([7])
0,0,11.25,0.0,0.0,[6],tensor([9])
0,0,11.375,0.0,0.0,[9],tensor([3])
0,0,11.5,0.0,0.0,[7],tensor([5])
0,0,11.625,0.0,1.0,[0],tensor([8])
0,0,11.75,0.0,0.0,[8],tensor([6])
0,0,11.875,0.0,1.0,[1],tensor([0])
0,0,12.0,1.0,1.0,[7],tensor([7])
0,0,12.125,1.0,1.0,[5],tensor([5])
0,0,12.25,0.0,1.0,[4],tensor([9])
0,0,12.375,1.0,1.0,[5],tensor([5])
0,0,12.5,0.0,0.0,[6],tensor([8])
0,0,12.625,0.0,1.0,[8],tensor([5])
0,0,12.75,1.0,1.0,[1],tensor([1])
0,0,12.875,0.0,0.0,[9],tensor([5])
0,0,13.0,0.0,1.0,[6],tensor([9])
0,0,13.125,0.0,0.0,[5],tensor([0])
