,Epoch,Iteration,Accuracy,Loss,Top3
0,0,0,0.0,7.625062465667725,0.0
0,0,1,0.5,6.912304401397705,0.625
0,0,2,0.25,6.95494270324707,0.5
0,0,3,0.25,6.958278179168701,0.625
0,0,4,0.125,6.724431037902832,0.5
0,0,5,0.375,6.659924030303955,0.875
0,0,6,0.25,6.640462875366211,0.75
0,0,7,0.125,6.744399547576904,0.625
0,0,8,0.375,6.7408013343811035,0.625
0,0,9,0.375,6.643881797790527,0.625
0,0,10,0.375,6.683429718017578,0.875
0,0,11,0.5,6.639081001281738,0.75
0,0,12,0.375,6.641298770904541,0.625
0,0,13,0.25,6.714846611022949,0.875
0,0,14,0.375,6.692721366882324,0.625
0,0,15,0.375,6.704444885253906,0.625
0,0,16,0.375,6.673871994018555,0.625
0,0,17,0.375,6.631593227386475,0.75
0,0,18,0.5,6.658762454986572,0.875
0,0,19,0.75,6.669110298156738,0.75
0,0,20,0.5,6.674680233001709,0.875
0,0,21,0.375,6.63804817199707,0.75
0,0,22,0.375,6.635448932647705,0.875
0,0,23,0.5,6.6601481437683105,1.0
0,0,24,0.375,6.660453796386719,0.875
0,0,25,0.375,6.6352691650390625,0.875
0,0,26,0.375,6.638495922088623,0.75
0,0,27,0.375,6.639797210693359,0.75
0,0,28,0.5,6.64012336730957,0.875
0,0,29,0.25,6.63632869720459,0.625
0,0,30,0.25,6.642378807067871,0.75
0,0,31,0.5,6.632355690002441,0.75
0,0,32,0.125,6.640006065368652,0.5
0,0,33,0.125,6.694707870483398,0.75
0,0,34,0.5,6.6376166343688965,0.875
0,0,35,0.625,6.636699676513672,1.0
0,0,36,0.5,6.633070468902588,0.875
0,0,37,0.5,6.633453369140625,0.875
0,0,38,0.5,6.629585266113281,0.75
0,0,39,0.625,6.637527942657471,0.75
0,0,40,0.625,6.637334823608398,0.875
0,0,41,0.375,6.635481357574463,0.875
0,0,42,0.25,6.629852771759033,0.875
0,0,43,0.5,6.630233287811279,0.875
0,0,44,0.625,6.6329779624938965,0.875
0,0,45,0.5,6.634160995483398,0.75
0,0,46,0.5,6.631871700286865,0.75
0,0,47,0.5,6.630634307861328,0.75
0,0,48,0.375,6.638423919677734,0.625
0,0,49,0.5,6.706996917724609,0.875
0,0,50,0.5,6.6391496658325195,0.875
0,0,51,0.25,6.6302056312561035,0.75
0,0,52,0.125,6.630069255828857,0.75
0,0,53,0.5,6.629750728607178,0.875
0,0,54,0.375,6.645284175872803,0.625
0,0,55,0.375,6.630584239959717,0.625
0,0,56,0.5,6.688048362731934,0.75
0,0,57,0.25,6.731969356536865,0.5
0,0,58,0.5,6.662914276123047,0.875
0,0,59,0.25,6.6754469871521,0.75
0,0,60,0.625,6.636673927307129,0.875
0,0,61,0.375,6.6318745613098145,0.875
0,0,62,0.375,6.6389994621276855,0.75
0,0,63,0.625,6.629680633544922,0.875
0,0,64,0.625,6.6302337646484375,0.75
0,0,65,0.5,6.6296467781066895,0.875
0,0,66,0.5,6.6300787925720215,0.75
0,0,67,0.375,6.631465911865234,0.75
0,0,68,0.75,6.6302714347839355,0.875
0,0,69,0.625,6.634963035583496,0.75
0,0,70,0.375,6.642392635345459,0.875
0,0,71,0.5,6.631319046020508,0.75
0,0,72,0.5,6.631796360015869,0.75
0,0,73,0.625,6.631640911102295,1.0
0,0,74,0.25,6.665229797363281,0.625
0,0,75,0.375,6.631246566772461,0.75
0,0,76,0.5,6.630413055419922,0.75
0,0,77,0.375,6.630582332611084,0.75
0,0,78,0.25,6.632509708404541,0.875
0,0,79,0.375,6.632384300231934,0.75
0,0,80,0.625,6.63057804107666,0.875
0,0,81,0.5,6.63071870803833,0.75
0,0,82,0.5,6.631032466888428,0.75
0,0,83,0.625,6.630642890930176,0.875
0,0,84,0.625,6.630517959594727,0.875
0,0,85,0.375,6.648444652557373,0.875
0,0,86,0.25,6.6301422119140625,0.75
0,0,87,0.25,6.6751508712768555,0.625
0,0,88,0.375,6.650258541107178,0.75
0,0,89,0.25,6.6570353507995605,0.75
0,0,90,0.375,6.642312526702881,0.875
0,0,91,0.375,6.631351470947266,0.75
0,0,92,0.25,6.63792610168457,0.75
0,0,93,0.375,6.635008335113525,0.875
0,0,94,0.5,6.630878448486328,0.625
0,0,95,0.5,6.631174564361572,0.875
0,0,96,0.5,6.630833148956299,0.75
0,0,97,0.25,6.629988193511963,0.75
0,0,98,0.25,6.6320695877075195,0.75
0,0,99,0.625,6.629899024963379,0.75
0,0,100,0.375,6.629700183868408,0.875
0,0,101,0.375,6.630385875701904,0.875
0,0,102,0.25,6.63094425201416,0.625
0,0,103,0.625,6.632685661315918,0.875
0,0,104,0.75,6.631527423858643,0.875
0,0,105,0.375,6.632951736450195,0.875
0,0,106,0.5,6.639715194702148,0.875
0,0,107,0.0,6.653548240661621,0.625
0,0,108,0.5,6.6369805335998535,0.875
0,0,109,0.625,6.631189346313477,0.75
0,0,110,0.5,6.631329536437988,0.875
0,0,111,0.25,6.633279323577881,0.75
0,0,112,0.375,6.630349159240723,0.875
0,0,113,0.625,6.630350589752197,0.875
0,0,114,0.375,6.632198810577393,0.5
0,0,115,0.625,6.6307053565979,0.875
0,0,116,0.5,6.631836891174316,0.875
0,0,117,0.375,6.6305389404296875,0.75
0,0,118,0.5,6.630368232727051,0.875
0,0,119,0.625,6.630766868591309,0.625
0,0,120,0.5,6.630299091339111,0.875
0,1,0,0.625,6.629821300506592,0.875
0,1,1,0.375,6.630293369293213,0.625
0,1,2,0.375,6.6307525634765625,0.75
0,1,3,0.625,6.630013942718506,1.0
0,1,4,0.5,6.630456924438477,0.875
0,1,5,0.625,6.629701614379883,0.875
0,1,6,0.375,6.6317362785339355,0.875
0,1,7,0.375,6.630796432495117,0.75
0,1,8,0.625,6.630248546600342,0.875
0,1,9,0.5,6.63033390045166,0.75
0,1,10,0.375,6.6305131912231445,0.75
0,1,11,0.5,6.630696773529053,0.75
0,1,12,0.375,6.630593776702881,0.75
0,1,13,0.375,6.645579814910889,0.625
0,1,14,0.625,6.63085412979126,0.75
0,1,15,0.375,6.632428169250488,0.875
0,1,16,0.5,6.630971431732178,0.75
0,1,17,0.375,6.630792140960693,0.75
0,1,18,0.375,6.630974292755127,0.75
0,1,19,0.625,6.631063938140869,0.75
0,1,20,0.5,6.630919456481934,0.875
0,1,21,0.5,6.631208896636963,0.75
0,1,22,0.25,6.629937648773193,0.75
0,1,23,0.625,6.629641532897949,0.875
0,1,24,0.5,6.630183219909668,0.75
0,1,25,0.375,6.630159854888916,0.875
0,1,26,0.375,6.630080223083496,0.75
0,1,27,0.375,6.630271911621094,0.75
0,1,28,0.625,6.630394458770752,0.75
0,1,29,0.375,6.630840301513672,0.625
0,1,30,0.25,6.630317687988281,0.625
0,1,31,0.375,6.630809307098389,0.625
0,1,32,0.0,6.632126331329346,0.375
0,1,33,0.125,6.6448187828063965,0.375
0,1,34,0.625,6.630384922027588,0.625
0,1,35,0.625,6.629663467407227,0.875
0,1,36,0.375,6.629819869995117,0.75
0,1,37,0.375,6.629922389984131,0.75
0,1,38,0.5,6.629661560058594,0.75
