,Epoch,Iteration,Accuracy,Loss,Top3
0,0,0,0.125,449.0648498535156,0.375
0,0,1,0.125,16.22584342956543,0.25
0,0,2,0.125,449.0648498535156,0.25
0,0,3,0.125,405.6159973144531,0.375
0,0,4,0.125,433.1162109375,0.375
0,0,5,0.125,398.71734619140625,0.25
0,0,6,0.25,301.3472595214844,0.375
0,0,7,0.125,199.28842163085938,0.25
0,0,8,0.25,181.64353942871094,0.375
0,0,9,0.125,83.74333953857422,0.375
0,0,10,0.25,62.65872573852539,0.25
0,0,11,0.125,55.96990966796875,0.375
0,0,12,0.125,38.18667221069336,0.375
0,0,13,0.0,26.188079833984375,0.5
0,0,14,0.125,22.326990127563477,0.375
0,0,15,0.125,22.944013595581055,0.375
0,0,16,0.125,22.73263931274414,0.25
0,0,17,0.125,23.694669723510742,0.125
0,0,18,0.125,15.561655044555664,0.125
0,0,19,0.0,15.263908386230469,0.25
0,0,20,0.0,15.827459335327148,0.125
0,0,21,0.125,21.827289581298828,0.125
0,0,22,0.0,22.18079948425293,0.125
0,0,23,0.25,17.14399528503418,0.25
0,0,24,0.125,17.147052764892578,0.375
0,0,25,0.125,20.957019805908203,0.375
0,0,26,0.125,19.234647750854492,0.125
0,0,27,0.0,20.942699432373047,0.125
0,0,28,0.125,18.04183578491211,0.25
0,0,29,0.125,19.85142707824707,0.375
0,0,30,0.125,17.600955963134766,0.25
0,0,31,0.125,20.603885650634766,0.25
0,0,32,0.0,23.67683982849121,0.125
0,0,33,0.125,16.82042121887207,0.25
0,0,34,0.125,17.782602310180664,0.375
0,0,35,0.125,16.774681091308594,0.25
0,0,36,0.125,18.696565628051758,0.125
0,0,37,0.0,23.74435043334961,0.125
0,0,38,0.125,22.54941749572754,0.375
0,0,39,0.125,15.80362319946289,0.25
0,0,40,0.125,19.263532638549805,0.375
0,0,41,0.125,20.797147750854492,0.25
0,0,42,0.0,20.83607292175293,0.125
0,0,43,0.125,19.471620559692383,0.25
0,0,44,0.125,18.047258377075195,0.375
0,0,45,0.125,20.567773818969727,0.375
0,0,46,0.125,19.66754913330078,0.125
0,0,47,0.0,24.213926315307617,0.125
0,0,48,0.125,22.01506996154785,0.25
0,0,49,0.125,21.71246337890625,0.5
0,0,50,0.125,18.222034454345703,0.25
0,0,51,0.125,40.85478591918945,0.25
0,0,52,0.0,19.008859634399414,0.125
0,0,53,0.125,19.321434020996094,0.25
0,0,54,0.125,16.009647369384766,0.125
0,0,55,0.125,16.12445640563965,0.25
0,0,56,0.125,20.5087833404541,0.25
0,0,57,0.0,20.248912811279297,0.0
0,0,58,0.125,14.832301139831543,0.25
0,0,59,0.125,14.140785217285156,0.375
0,0,60,0.125,26.606061935424805,0.625
0,0,61,0.125,14.222166061401367,0.375
0,0,62,0.0,15.760642051696777,0.375
0,0,63,0.125,20.663908004760742,0.5
0,0,64,0.125,16.88842010498047,0.5
0,0,65,0.125,15.951839447021484,0.625
0,0,66,0.125,17.031005859375,0.5
0,0,67,0.0,12.745026588439941,0.625
0,0,68,0.125,15.408896446228027,0.5
0,0,69,0.125,15.328978538513184,0.375
0,0,70,0.125,16.734403610229492,0.375
0,0,71,0.125,20.188644409179688,0.25
0,0,72,0.0,17.895814895629883,0.25
0,0,73,0.25,7.517511367797852,0.5
0,0,74,0.125,14.473011016845703,0.375
0,0,75,0.25,38.945648193359375,0.625
0,0,76,0.25,12.18027400970459,0.625
0,0,77,0.125,11.184122085571289,0.375
0,0,78,0.375,10.645045280456543,0.625
0,0,79,0.125,12.608445167541504,0.5
0,0,80,0.5,11.388213157653809,0.5
0,0,81,0.25,14.426820755004883,0.75
0,0,82,0.25,11.69213581085205,0.625
0,0,83,0.25,8.877158164978027,0.5
0,0,84,0.125,14.0193510055542,0.375
0,0,85,0.125,19.615747451782227,0.25
0,0,86,0.125,17.810529708862305,0.625
0,0,87,0.375,15.953790664672852,0.5
0,0,88,0.125,14.630630493164062,0.375
0,0,89,0.0,9.204410552978516,0.625
0,0,90,0.125,12.838044166564941,0.375
0,0,91,0.125,47.610660552978516,0.375
0,0,92,0.25,12.339301109313965,0.625
0,0,93,0.125,15.356832504272461,0.5
0,0,94,0.375,12.533333778381348,0.5
0,0,95,0.25,9.260960578918457,0.5
0,0,96,0.25,17.69055938720703,0.625
0,0,97,0.125,21.22011947631836,0.625
0,0,98,0.25,37.35861587524414,0.75
0,0,99,0.25,16.98481559753418,0.625
0,0,100,0.375,17.70589256286621,0.625
0,0,101,0.25,18.572372436523438,0.5
0,0,102,0.125,12.981982231140137,0.5
0,0,103,0.125,7.597447395324707,0.625
0,0,104,0.125,9.31047248840332,0.625
0,0,105,0.125,12.02556324005127,0.625
0,0,106,0.0,17.310474395751953,0.5
0,0,107,0.125,17.156118392944336,0.375
0,0,108,0.25,14.005630493164062,0.375
0,0,109,0.25,14.507469177246094,0.5
0,0,110,0.25,16.883031845092773,0.625
0,0,111,0.125,8.459590911865234,0.25
0,0,112,0.125,22.890033721923828,0.375
0,0,113,0.25,17.07584571838379,0.25
0,0,114,0.125,65.75968170166016,0.5
0,0,115,0.25,8.417567253112793,0.5
0,0,116,0.125,8.123761177062988,0.375
0,0,117,0.25,16.639753341674805,0.375
0,0,118,0.25,24.515409469604492,0.625
0,0,119,0.375,15.118036270141602,0.625
0,0,120,0.375,13.65137004852295,0.375
0,1,0,0.25,18.91918182373047,0.625
0,1,1,0.125,17.416423797607422,0.5
0,1,2,0.125,14.8587646484375,0.5
0,1,3,0.125,20.476539611816406,0.25
0,1,4,0.125,18.574661254882812,0.375
0,1,5,0.25,17.083219528198242,0.5
0,1,6,0.25,12.067755699157715,0.625
0,1,7,0.125,13.327495574951172,0.375
0,1,8,0.25,13.149812698364258,0.75
0,1,9,0.25,16.06402015686035,0.625
0,1,10,0.375,13.24386215209961,0.625
0,1,11,0.375,11.664263725280762,0.875
0,1,12,0.25,10.515896797180176,0.625
0,1,13,0.125,15.82186508178711,0.375
0,1,14,0.125,17.434497833251953,0.375
0,1,15,0.25,16.804542541503906,0.5
0,1,16,0.25,10.30709457397461,0.75
0,1,17,0.25,15.457527160644531,0.625
0,1,18,0.25,13.989846229553223,0.75
0,1,19,0.125,12.505255699157715,0.625
0,1,20,0.25,19.16996955871582,0.625
0,1,21,0.25,12.364884376525879,0.5
0,1,22,0.125,14.223461151123047,0.625
0,1,23,0.25,15.587876319885254,0.75
0,1,24,0.125,14.518843650817871,0.625
0,1,25,0.125,16.387781143188477,0.625
0,1,26,0.25,14.19602108001709,0.375
0,1,27,0.0,14.990278244018555,0.5
0,1,28,0.375,11.761824607849121,0.625
0,1,29,0.375,15.493000030517578,0.625
0,1,30,0.375,11.605968475341797,0.625
0,1,31,0.25,9.470758438110352,0.625
0,1,32,0.0,16.19329833984375,0.25
0,1,33,0.25,8.389752388000488,0.5
0,1,34,0.25,8.981475830078125,0.5
0,1,35,0.25,6.666723251342773,0.875
0,1,36,0.375,8.005311965942383,0.625
0,1,37,0.25,9.96875,0.625
0,1,38,0.375,10.221283912658691,0.625
0,1,39,0.375,9.95868968963623,0.625
0,1,40,0.5,15.48194408416748,0.75
0,1,41,0.5,10.208952903747559,0.75
0,1,42,0.0,18.249399185180664,0.5
0,1,43,0.625,11.623348236083984,0.625
0,1,44,0.25,13.97004508972168,0.625
0,1,45,0.25,56.95696258544922,0.625
0,1,46,0.25,10.174399375915527,0.5
0,1,47,0.125,13.58034896850586,0.25
0,1,48,0.375,20.233108520507812,0.5
0,1,49,0.125,26.69403076171875,0.625
0,1,50,0.25,11.992942810058594,0.5
0,1,51,0.375,15.006268501281738,0.875
0,1,52,0.125,15.29358196258545,0.375
0,1,53,0.5,16.836936950683594,0.75
0,1,54,0.0,16.880685806274414,0.5
0,1,55,0.375,10.58498477935791,0.625
0,1,56,0.125,8.963738441467285,0.375
0,1,57,0.25,11.512125015258789,0.625
0,1,58,0.25,9.426276206970215,0.5
0,1,59,0.0,12.760698318481445,0.25
0,1,60,0.375,10.008990287780762,0.625
0,1,61,0.375,11.751070022583008,0.375
0,1,62,0.375,11.79836654663086,0.375
0,1,63,0.5,8.990334510803223,0.625
0,1,64,0.25,11.753734588623047,0.5
0,1,65,0.5,10.098649024963379,0.5
0,1,66,0.5,11.805442810058594,0.5
0,1,67,0.25,9.332113265991211,0.5
0,1,68,0.375,6.239789962768555,0.625
0,1,69,0.25,10.970345497131348,0.5
0,1,70,0.25,12.13489055633545,0.625
0,1,71,0.375,11.776970863342285,0.75
0,1,72,0.125,7.201539039611816,0.5
0,1,73,0.125,12.516441345214844,0.625
0,1,74,0.25,13.29513931274414,0.375
0,1,75,0.125,9.671171188354492,0.5
0,1,76,0.125,10.843975067138672,0.75
0,1,77,0.375,10.018543243408203,0.875
0,1,78,0.25,15.935192108154297,0.625
0,1,79,0.375,8.644801139831543,0.5
0,1,80,0.375,6.768693923950195,0.5
0,1,81,0.5,6.772653579711914,0.625
0,1,82,0.375,9.411467552185059,0.375
0,1,83,0.25,6.459384441375732,0.75
0,1,84,0.625,9.916328430175781,0.75
0,1,85,0.375,12.666479110717773,0.75
0,1,86,0.375,12.209440231323242,0.75
0,1,87,0.25,14.595212936401367,0.5
0,1,88,0.375,14.267586708068848,0.75
0,1,89,0.375,8.257094383239746,0.625
0,1,90,0.5,10.472090721130371,0.875
0,1,91,0.5,9.917192459106445,0.625
0,1,92,0.125,5.613982677459717,0.375
0,1,93,0.125,7.62503719329834,0.75
0,1,94,0.5,12.109590530395508,0.625
0,1,95,0.125,9.213119506835938,0.75
0,1,96,0.5,8.869088172912598,0.625
0,1,97,0.25,10.306550025939941,0.625
0,1,98,0.25,17.695476531982422,0.75
0,1,99,0.375,12.42897891998291,0.75
0,1,100,0.625,12.262537956237793,0.875
0,1,101,0.5,9.662219047546387,0.75
0,1,102,0.25,7.429691791534424,0.625
0,1,103,0.375,9.3408784866333,1.0
0,1,104,0.625,12.2957763671875,0.875
0,1,105,0.375,19.862762451171875,0.875
0,1,106,0.25,4.883990287780762,0.75
0,1,107,0.25,6.971884250640869,0.625
0,1,108,0.25,4.997804164886475,0.75
0,1,109,0.375,15.578397750854492,0.75
0,1,110,0.375,8.538908004760742,1.0
0,1,111,0.25,6.648048400878906,0.75
0,1,112,0.375,7.721264839172363,0.75
0,1,113,0.375,12.44395637512207,0.875
0,1,114,0.375,10.158089637756348,0.75
0,1,115,0.375,12.688157081604004,0.875
0,1,116,0.375,7.456812858581543,0.875
0,1,117,0.375,9.999098777770996,0.75
0,1,118,0.625,14.425938606262207,1.0
0,1,119,0.375,12.474099159240723,0.875
0,1,120,0.5,10.567511558532715,0.875
0,2,0,0.625,12.536449432373047,0.875
0,2,1,0.375,10.357695579528809,0.875
0,2,2,0.625,10.69630241394043,0.875
0,2,3,0.25,22.208595275878906,0.625
0,2,4,0.5,13.167191505432129,0.875
0,2,5,0.5,12.824774742126465,0.625
0,2,6,0.375,6.775262832641602,0.75
0,2,7,0.375,7.117455005645752,0.625
0,2,8,0.5,7.6785101890563965,0.875
0,2,9,0.375,14.230274200439453,0.75
0,2,10,0.625,8.261617660522461,0.875
0,2,11,0.375,9.540202140808105,0.75
0,2,12,0.25,9.352195739746094,0.625
0,2,13,0.375,10.372560501098633,0.625
0,2,14,0.25,11.295795440673828,0.625
0,2,15,0.375,11.764958381652832,0.5
0,2,16,0.25,7.4514265060424805,0.625
0,2,17,0.5,6.768862724304199,0.75
0,2,18,0.625,6.9559125900268555,0.75
0,2,19,0.375,7.138382434844971,0.75
0,2,20,0.5,6.653209686279297,0.625
0,2,21,0.375,8.78952693939209,0.5
0,2,22,0.375,9.07638931274414,0.625
0,2,23,0.625,5.413963794708252,0.75
0,2,24,0.5,8.301613807678223,0.875
0,2,25,0.625,10.51291275024414,0.875
0,2,26,0.375,9.085511207580566,0.875
0,2,27,0.25,5.3182806968688965,0.875
0,2,28,0.75,10.0593843460083,1.0
0,2,29,0.625,8.819049835205078,0.875
0,2,30,0.25,20.84313201904297,0.625
0,2,31,0.75,12.9217529296875,0.875
0,2,32,0.25,13.246715545654297,0.875
0,2,33,0.125,4.918806552886963,0.625
0,2,34,0.5,6.289846420288086,1.0
0,2,35,0.625,6.3923234939575195,0.875
0,2,36,0.625,7.710266590118408,1.0
0,2,37,0.375,8.096790313720703,0.875
0,2,38,0.375,11.527101516723633,0.875
0,2,39,0.5,9.327909469604492,0.75
0,2,40,0.5,7.368149280548096,0.75
0,2,41,0.375,7.811392784118652,0.875
0,2,42,0.25,10.607226371765137,0.625
0,2,43,0.375,13.264808654785156,1.0
0,2,44,0.25,9.184496879577637,0.875
0,2,45,0.375,15.92353630065918,0.625
0,2,46,0.625,11.197052955627441,0.75
0,2,47,0.25,12.100807189941406,0.75
0,2,48,0.375,11.702402114868164,0.625
0,2,49,0.25,11.366459846496582,0.625
0,2,50,0.375,10.271208763122559,0.5
0,2,51,0.5,11.700018882751465,0.75
0,2,52,0.5,11.2039794921875,0.625
0,2,53,0.25,10.081043243408203,0.875
0,2,54,0.5,7.580649375915527,0.625
0,2,55,0.375,11.890803337097168,0.625
0,2,56,0.25,18.39487648010254,0.625
0,2,57,0.375,14.138213157653809,0.625
0,2,58,0.5,6.474305629730225,0.625
0,2,59,0.125,9.762406349182129,0.75
0,2,60,0.25,6.627627849578857,0.75
0,2,61,0.25,8.161711692810059,0.75
0,2,62,0.375,9.997673034667969,0.75
