,Epoch,Iteration,Accuracy,Loss,Top3,Prediction,Target
0,0,0,0.125,449.0648498535156,0.375,"[0, 0, 0, 0, 0, 0, 0, 0]",[5 4 6 7 3 2 0 1]
0,0,1,0.0,16.123912811279297,0.125,"[8, 6, 0, 0, 0, 6, 0, 1]",[9 8 5 4 6 7 3 2]
0,0,2,0.125,439.9017333984375,0.25,"[9, 0, 9, 9, 0, 9, 0, 9]",[0 1 9 8 5 4 6 7]
0,0,3,0.125,405.74371337890625,0.375,"[9, 9, 9, 9, 9, 9, 9, 9]",[3 2 0 1 9 8 5 4]
0,0,4,0.125,405.4532165527344,0.375,"[9, 9, 9, 9, 9, 9, 9, 9]",[6 7 3 2 0 1 9 8]
0,0,5,0.0,408.5169982910156,0.25,"[9, 9, 9, 9, 9, 9, 9, 9]",[5 4 6 7 3 2 0 1]
0,0,6,0.125,366.357421875,0.375,"[9, 9, 9, 9, 9, 9, 9, 9]",[9 8 5 4 6 7 3 2]
0,0,7,0.125,357.1576232910156,0.375,"[9, 9, 9, 9, 9, 9, 9, 9]",[0 1 9 8 5 4 6 7]
0,0,8,0.125,261.6173400878906,0.375,"[9, 9, 9, 9, 9, 9, 9, 9]",[3 2 0 1 9 8 5 4]
0,0,9,0.125,159.47024536132812,0.375,"[9, 9, 9, 9, 9, 9, 9, 9]",[6 7 3 2 1 9 8 5]
0,0,10,0.25,109.80281066894531,0.375,"[9, 9, 9, 9, 2, 9, 9, 9]",[4 6 7 3 2 0 1 9]
0,0,11,0.125,105.69657135009766,0.125,"[9, 9, 9, 9, 9, 9, 2, 9]",[8 5 4 6 7 3 2 0]
0,0,12,0.0,64.71529388427734,0.375,"[2, 8, 9, 9, 9, 9, 9, 9]",[1 9 8 5 4 6 7 3]
0,0,13,0.25,52.365203857421875,0.375,"[2, 9, 9, 9, 9, 9, 9, 9]",[2 0 1 9 8 5 4 6]
0,0,14,0.25,28.510587692260742,0.25,"[0, 9, 2, 9, 9, 5, 5, 9]",[7 3 2 0 1 9 8 5]
0,0,15,0.125,21.824962615966797,0.25,"[9, 9, 0, 9, 5, 5, 9, 0]",[4 6 7 3 2 0 1 9]
0,0,16,0.0,22.143280029296875,0.125,"[0, 0, 5, 5, 0, 5, 0, 4]",[8 5 4 6 7 3 2 0]
0,0,17,0.0,23.64018440246582,0.125,"[0, 0, 0, 0, 0, 0, 0, 0]",[1 9 8 5 4 6 7 3]
0,0,18,0.125,15.022221565246582,0.375,"[5, 0, 5, 5, 9, 0, 0, 0]",[2 0 1 9 8 5 4 6]
0,0,19,0.25,16.408615112304688,0.25,"[0, 0, 2, 5, 5, 5, 0, 0]",[7 3 2 0 1 9 8 5]
0,0,20,0.0,17.590972900390625,0.375,"[0, 0, 0, 0, 5, 5, 5, 5]",[4 6 7 3 2 0 1 9]
0,0,21,0.0,21.625751495361328,0.125,"[0, 0, 0, 0, 0, 0, 0, 5]",[8 5 4 6 7 3 2 0]
0,0,22,0.0,21.969331741333008,0.0,"[5, 5, 0, 0, 0, 0, 0, 0]",[1 9 8 5 4 6 7 3]
0,0,23,0.0,16.80709457397461,0.375,"[1, 5, 0, 0, 0, 0, 0, 0]",[2 0 1 9 8 5 4 6]
0,0,24,0.25,16.856212615966797,0.375,"[0, 0, 5, 5, 1, 0, 0, 0]",[7 3 2 0 1 9 8 5]
0,0,25,0.0,20.568618774414062,0.375,"[0, 0, 0, 0, 0, 5, 0, 0]",[4 6 7 3 2 0 1 9]
0,0,26,0.0,19.224605560302734,0.25,"[0, 0, 0, 0, 0, 0, 0, 5]",[8 5 4 6 7 3 2 0]
0,0,27,0.0,20.439884185791016,0.125,"[0, 0, 0, 0, 0, 0, 0, 0]",[1 9 8 5 4 6 7 3]
0,0,28,0.125,17.901613235473633,0.375,"[0, 0, 0, 0, 0, 0, 0, 0]",[2 0 1 9 8 5 4 6]
0,0,29,0.125,19.829580307006836,0.375,"[0, 0, 0, 0, 0, 0, 0, 0]",[7 3 2 0 1 9 8 5]
0,0,30,0.0,17.30968475341797,0.375,"[0, 0, 0, 0, 0, 5, 0, 0]",[4 6 7 3 2 0 1 9]
0,0,31,0.125,21.061037063598633,0.25,"[0, 0, 0, 0, 0, 0, 0, 0]",[8 5 4 6 7 3 2 0]
0,0,32,0.0,23.457469940185547,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]",[1 9 8 5 4 6 7 3]
0,0,33,0.125,15.70876407623291,0.25,"[0, 0, 0, 0, 0, 0, 0, 0]",[2 0 1 9 8 5 4 6]
0,0,34,0.125,19.728490829467773,0.25,"[0, 0, 0, 0, 0, 0, 0, 0]",[7 3 2 0 1 9 8 5]
0,0,35,0.125,14.383540153503418,0.25,"[0, 0, 0, 0, 0, 0, 0, 0]",[4 6 7 3 2 0 1 9]
