,Epoch,Iteration,Accuracy,Loss,Top3
0,0,0,0.0,7.624552249908447,0.125
0,0,1,0.5,6.930932998657227,0.625
0,0,2,0.125,6.967019081115723,0.5
0,0,3,0.25,6.923668384552002,0.625
0,0,4,0.125,6.741491794586182,0.5
0,0,5,0.25,6.671925067901611,0.875
0,0,6,0.25,6.645902156829834,0.75
0,0,7,0.125,6.772598743438721,0.625
0,0,8,0.25,6.769994735717773,0.625
0,0,9,0.375,6.651199817657471,0.625
0,0,10,0.25,6.704168319702148,0.75
0,0,11,0.5,6.645092964172363,0.75
0,0,12,0.375,6.65048360824585,0.625
0,0,13,0.25,6.717691898345947,0.625
0,0,14,0.5,6.698339462280273,0.5
0,0,15,0.375,6.706331253051758,0.625
0,0,16,0.25,6.673533916473389,0.625
0,0,17,0.25,6.633877277374268,0.75
0,0,18,0.5,6.674461364746094,0.875
0,0,19,0.75,6.687478065490723,0.875
0,0,20,0.5,6.691374778747559,0.875
0,0,21,0.5,6.643362045288086,0.75
0,0,22,0.25,6.639251708984375,0.875
0,0,23,0.5,6.675865650177002,1.0
0,0,24,0.375,6.678037166595459,0.75
0,0,25,0.375,6.640293598175049,0.875
0,0,26,0.375,6.6486124992370605,0.75
0,0,27,0.25,6.645444869995117,0.75
0,0,28,0.5,6.650405406951904,1.0
0,0,29,0.25,6.643477916717529,0.75
0,0,30,0.25,6.6502461433410645,0.75
0,0,31,0.5,6.636560916900635,0.875
0,0,32,0.125,6.640840530395508,0.625
0,0,33,0.125,6.694929599761963,0.75
0,0,34,0.5,6.647965908050537,0.75
0,0,35,0.625,6.643669128417969,0.875
0,0,36,0.5,6.639651298522949,0.875
0,0,37,0.5,6.639857292175293,0.875
0,0,38,0.5,6.62982177734375,0.875
0,0,39,0.625,6.648364067077637,0.875
0,0,40,0.625,6.6453399658203125,0.875
0,0,41,0.375,6.644128799438477,1.0
0,0,42,0.25,6.630679607391357,0.875
0,0,43,0.5,6.6310625076293945,0.875
0,0,44,0.625,6.643293857574463,0.75
0,0,45,0.5,6.635435104370117,0.75
0,0,46,0.5,6.634258270263672,0.75
0,0,47,0.375,6.631275177001953,0.75
0,0,48,0.375,6.637792587280273,0.75
0,0,49,0.625,6.711423397064209,0.75
0,0,50,0.5,6.638765811920166,0.875
0,0,51,0.25,6.633778095245361,0.75
0,0,52,0.125,6.630702495574951,0.75
0,0,53,0.5,6.629861354827881,0.75
0,0,54,0.375,6.638606548309326,0.625
0,0,55,0.375,6.631538391113281,0.625
0,0,56,0.5,6.684386253356934,0.875
0,0,57,0.25,6.720856189727783,0.625
0,0,58,0.5,6.650473594665527,0.875
0,0,59,0.375,6.674594402313232,0.75
0,0,60,0.625,6.642369747161865,0.875
0,0,61,0.5,6.637613296508789,0.875
0,0,62,0.375,6.642889022827148,0.75
0,0,63,0.625,6.631239891052246,1.0
