,Epoch,Iteration,Accuracy,Loss,Top3,Prediction,Target
0,0,0,0.0,7.745855331420898,0.125,"[0, 0, 0, 0, 0, 0, 0, 0]",[5 3 5 4 3 4 7 2]
0,0,1,0.0,7.745479583740234,0.25,"[2, 3, 0, 0, 5, 4, 0, 0]",[0 4 7 1 0 9 8 7]
0,0,2,0.125,7.692086219787598,0.375,"[4, 5, 4, 4, 4, 4, 5, 4]",[4 1 8 9 7 9 3 6]
0,0,3,0.125,7.569208145141602,0.5,"[4, 4, 4, 4, 4, 4, 3, 4]",[4 3 7 9 0 3 2 0]
0,0,4,0.375,7.478277683258057,0.625,"[4, 3, 3, 3, 4, 3, 4, 4]",[7 5 3 2 9 3 4 1]
0,0,5,0.125,7.3792724609375,0.5,"[4, 3, 4, 4, 4, 3, 7, 7]",[5 5 7 7 0 0 7 3]
0,0,6,0.25,7.549968242645264,0.25,"[3, 7, 3, 3, 4, 3, 7, 4]",[8 7 3 9 1 8 1 1]
0,0,7,0.125,7.369375228881836,0.625,"[3, 3, 4, 3, 3, 3, 3, 3]",[6 2 4 5 6 4 2 2]
0,0,8,0.125,7.361534118652344,0.25,"[3, 3, 3, 3, 3, 4, 4, 4]",[0 3 0 8 6 1 2 5]
0,0,9,0.25,7.332113742828369,0.5,"[3, 4, 4, 3, 3, 3, 4, 3]",[6 7 8 2 6 3 4 8]
0,0,10,0.0,7.275321006774902,0.25,"[3, 3, 4, 3, 4, 3, 3, 3]",[2 6 8 8 6 0 0 2]
0,0,11,0.0,7.315008163452148,0.125,"[4, 3, 3, 3, 3, 3, 4, 4]",[9 7 8 6 1 8 1 6]
0,0,12,0.25,7.248281955718994,0.375,"[3, 3, 7, 3, 3, 3, 4, 7]",[1 6 7 2 3 6 9 1]
0,0,13,0.125,7.217366695404053,0.25,"[3, 7, 3, 2, 3, 2, 4, 4]",[6 9 2 8 3 8 1 7]
0,0,14,0.25,7.238290786743164,0.25,"[7, 7, 3, 2, 7, 7, 3, 2]",[7 1 1 9 1 8 3 8]
0,0,15,0.125,7.201567649841309,0.25,"[3, 2, 2, 3, 2, 7, 3, 4]",[6 8 2 1 6 2 6 9]
0,0,16,0.625,7.144778728485107,0.75,"[2, 4, 4, 2, 7, 2, 2, 4]",[9 2 4 8 7 2 2 4]
0,0,17,0.25,7.156352996826172,0.375,"[2, 2, 2, 7, 7, 2, 2, 2]",[6 0 1 7 7 5 9 4]
0,0,18,0.0,7.15510368347168,0.125,"[4, 2, 2, 2, 2, 2, 2, 2]",[9 5 1 1 8 1 6 3]
0,0,19,0.375,7.089998245239258,0.875,"[2, 7, 2, 2, 2, 2, 4, 2]",[3 7 3 1 2 3 4 6]
0,0,20,0.0,7.119892120361328,0.25,"[2, 2, 2, 7, 2, 2, 2, 2]",[5 9 9 9 0 9 4 4]
0,0,21,0.0,7.116520881652832,0.0,"[2, 2, 2, 2, 2, 2, 4, 2]",[1 8 1 5 6 8 0 8]
0,0,22,0.25,7.102385997772217,0.75,"[1, 2, 2, 2, 2, 2, 2, 2]",[1 3 4 2 5 4 3 8]
0,0,23,0.125,7.063638687133789,0.625,"[2, 8, 7, 2, 2, 2, 2, 2]",[8 1 7 0 7 3 0 8]
0,0,24,0.125,7.08052921295166,0.5,"[7, 2, 2, 4, 2, 2, 4, 4]",[4 3 5 9 5 3 4 9]
0,0,25,0.125,7.066584587097168,0.375,"[2, 7, 7, 2, 2, 2, 7, 2]",[5 9 9 1 8 3 7 5]
0,0,26,0.375,7.0453619956970215,0.75,"[7, 2, 1, 2, 4, 7, 2, 2]",[7 3 1 3 5 9 2 8]
0,0,27,0.25,7.081561088562012,0.5,"[2, 1, 4, 2, 7, 2, 2, 4]",[2 1 7 3 5 6 3 6]
0,0,28,0.25,7.072650909423828,0.375,"[2, 2, 1, 2, 1, 2, 7, 1]",[9 1 1 0 2 9 9 1]
0,0,29,0.125,7.0309977531433105,0.25,"[1, 2, 8, 7, 2, 1, 2, 2]",[9 3 9 8 5 1 0 0]
0,0,30,0.375,7.017719745635986,0.625,"[2, 2, 2, 2, 3, 2, 2, 2]",[3 2 6 2 3 4 0 0]
0,0,31,0.5,7.035447120666504,0.625,"[2, 8, 1, 1, 2, 7, 2, 3]",[8 2 1 1 5 7 4 3]
0,0,32,0.375,6.99155855178833,0.375,"[3, 7, 8, 2, 9, 7, 2, 4]",[9 7 5 6 9 7 0 9]
0,0,33,0.125,6.992509365081787,0.25,"[3, 2, 2, 7, 8, 3, 3, 2]",[3 5 6 9 4 6 6 6]
0,0,34,0.125,6.973178386688232,0.375,"[8, 8, 7, 8, 2, 8, 2, 2]",[0 9 7 4 5 2 0 7]
0,0,35,0.375,6.987504005432129,0.625,"[2, 8, 8, 2, 8, 1, 2, 3]",[2 0 0 5 8 1 3 1]
0,0,36,0.125,6.976397514343262,0.5,"[2, 9, 2, 3, 7, 2, 2, 2]",[3 7 0 4 7 9 6 3]
0,0,37,0.375,6.954915523529053,0.75,"[3, 2, 2, 2, 2, 3, 2, 4]",[3 6 2 8 4 6 2 2]
0,0,38,0.375,6.952800750732422,0.875,"[2, 1, 9, 9, 1, 3, 2, 2]",[2 7 6 4 4 3 2 3]
0,0,39,0.0,6.940082550048828,0.125,"[3, 3, 9, 2, 3, 3, 2, 1]",[7 4 4 3 4 5 8 8]
0,0,40,0.625,6.899979114532471,0.75,"[1, 2, 3, 1, 8, 3, 1, 3]",[1 2 0 1 0 3 1 7]
0,0,41,0.375,6.861598491668701,1.0,"[3, 1, 2, 3, 1, 3, 3, 2]",[2 1 3 3 1 2 2 7]
0,0,42,0.125,6.838943004608154,0.375,"[3, 2, 3, 2, 2, 2, 2, 3]",[1 4 7 9 4 9 8 3]
0,0,43,0.125,6.861175537109375,0.375,"[8, 8, 3, 4, 2, 1, 2, 4]",[3 5 7 5 5 1 6 7]
0,0,44,0.5,6.78558349609375,0.75,"[2, 2, 3, 1, 2, 2, 2, 8]",[2 2 7 1 4 2 9 0]
0,0,45,0.125,6.854797840118408,0.25,"[4, 8, 2, 2, 2, 3, 2, 2]",[0 6 0 9 3 7 2 0]
0,0,46,0.0,6.7806901931762695,0.0,"[1, 2, 2, 2, 2, 2, 2, 2]",[8 9 9 6 9 1 0 9]
0,0,47,0.25,6.760072708129883,0.25,"[0, 0, 2, 2, 2, 0, 2, 2]",[5 6 6 0 5 0 5 2]
0,0,48,0.125,6.758825302124023,0.375,"[0, 0, 3, 2, 0, 2, 2, 7]",[2 6 0 5 5 5 3 7]
0,0,49,0.0,6.758039951324463,0.375,"[2, 2, 2, 3, 2, 0, 1, 2]",[8 0 8 4 4 2 7 8]
0,0,50,0.25,6.762471675872803,0.375,"[2, 2, 2, 0, 2, 3, 3, 1]",[0 7 1 0 3 7 8 1]
