,Epoch,Iteration,Accuracy,Loss,Top3,Prediction,Target
0,0,0,0.0,206.17999267578125,0.25,"[0, 0, 0, 0, 0, 0, 0, 0]",[7 3 9 3 6 1 2 7]
0,0,1,0.0,204.34881591796875,0.5,"[9, 0, 0, 8, 0, 0, 0, 0]",[3 1 7 8 1 2 6 3]
0,0,2,0.0,160.52011108398438,0.125,"[0, 2, 2, 2, 0, 0, 2, 0]",[1 6 5 7 4 4 5 6]
0,0,3,0.125,76.95626831054688,0.375,"[0, 0, 0, 0, 5, 0, 0, 0]",[2 0 6 1 7 3 5 3]
0,0,4,0.25,50.05445098876953,0.375,"[0, 0, 0, 5, 0, 0, 0, 0]",[7 8 5 9 0 5 0 2]
0,0,5,0.0,56.60264205932617,0.25,"[0, 0, 0, 0, 0, 8, 0, 0]",[9 1 3 7 2 4 4 5]
0,0,6,0.375,25.148447036743164,0.375,"[0, 0, 0, 5, 5, 0, 5, 0]",[6 0 0 0 2 0 2 6]
0,0,7,0.375,37.233577728271484,0.375,"[0, 0, 0, 8, 0, 0, 0, 0]",[6 4 0 3 4 5 0 0]
0,0,8,0.125,24.220521926879883,0.125,"[0, 0, 0, 0, 0, 0, 0, 0]",[6 4 4 6 9 7 0 3]
0,0,9,0.0,21.91806411743164,0.125,"[0, 0, 0, 0, 0, 0, 0, 0]",[3 3 5 5 7 8 2 9]
0,0,10,0.0,15.997036933898926,0.125,"[0, 0, 0, 7, 0, 0, 9, 0]",[3 4 2 3 3 6 0 3]
0,0,11,0.0,28.108278274536133,0.25,"[0, 0, 0, 9, 0, 0, 0, 0]",[5 9 1 5 2 7 4 5]
0,0,12,0.125,15.153278350830078,0.125,"[0, 0, 0, 0, 0, 0, 0, 0]",[9 7 3 7 6 0 8 6]
0,0,13,0.125,12.441557884216309,0.125,"[0, 0, 0, 8, 0, 0, 0, 2]",[8 3 0 1 8 8 5 7]
0,0,14,0.125,9.782746315002441,0.125,"[9, 0, 0, 0, 0, 0, 0, 0]",[0 0 7 6 5 8 7 9]
0,0,15,0.25,14.503582954406738,0.5,"[0, 0, 0, 0, 0, 0, 0, 0]",[0 5 8 2 0 9 1 9]
0,0,16,0.125,14.99387264251709,0.375,"[0, 0, 0, 0, 0, 0, 0, 0]",[7 1 7 2 7 5 0 9]
0,0,17,0.375,8.002165794372559,0.375,"[0, 0, 9, 0, 0, 8, 0, 0]",[0 0 2 5 4 5 5 6]
0,0,18,0.0,12.423749923706055,0.0,"[9, 0, 7, 0, 0, 5, 0, 0]",[5 4 0 4 6 8 3 7]
0,0,19,0.125,5.325408458709717,0.375,"[0, 0, 0, 0, 0, 0, 0, 0]",[3 6 6 2 6 0 2 5]
