,Epoch,Iteration,Accuracy,Loss,Top3,Prediction,Target
0,0,0,0.0,2.3025906085968018,0.125,"[0, 0, 0, 0, 0, 0, 0, 0]",[7 4 7 8 3 1 4 9]
0,0,1,0.0,2.5233075618743896,0.125,"[4, 4, 8, 3, 7, 7, 4, 7]",[2 5 1 8 7 5 1 8]
0,0,2,0.0,2.311292886734009,0.125,"[8, 4, 4, 8, 4, 4, 4, 8]",[9 5 6 1 3 1 3 1]
0,0,3,0.375,2.29632568359375,0.5,"[4, 4, 7, 7, 4, 7, 3, 7]",[4 0 7 9 6 7 8 9]
0,0,4,0.125,2.318225622177124,0.375,"[4, 4, 4, 4, 7, 8, 7, 4]",[6 0 6 9 5 1 7 3]
0,0,5,0.375,2.280566692352295,0.375,"[7, 4, 7, 4, 1, 7, 7, 4]",[8 0 2 2 1 7 0 4]
0,0,6,0.375,2.251433849334717,0.5,"[4, 7, 1, 7, 4, 1, 4, 1]",[9 7 3 0 4 5 6 1]
0,0,7,0.25,2.288816213607788,0.5,"[4, 0, 1, 7, 7, 4, 1, 1]",[0 2 3 9 7 0 1 6]
0,0,8,0.25,2.2695815563201904,0.375,"[9, 9, 1, 1, 9, 9, 1, 7]",[4 9 9 1 0 0 6 5]
0,0,9,0.0,2.32527756690979,0.0,"[1, 9, 1, 9, 9, 7, 1, 1]",[2 6 6 8 4 5 4 0]
0,0,10,0.25,2.2464358806610107,0.5,"[9, 1, 9, 9, 1, 1, 9, 9]",[0 1 4 4 1 6 4 5]
0,0,11,0.375,2.224567413330078,0.375,"[9, 1, 0, 9, 9, 1, 1, 1]",[7 1 5 0 3 1 5 1]
0,0,12,0.5,2.229459285736084,0.625,"[1, 0, 9, 9, 1, 1, 9, 1]",[2 0 9 8 1 1 3 8]
0,0,13,0.125,2.2663559913635254,0.625,"[1, 0, 1, 4, 1, 1, 1, 9]",[2 2 2 2 5 6 1 6]
0,0,14,0.0,2.3216278553009033,0.0,"[1, 7, 1, 1, 4, 1, 1, 4]",[8 4 3 5 0 3 8 5]
0,0,15,0.25,2.184860944747925,0.625,"[9, 1, 4, 1, 9, 4, 1, 1]",[4 1 2 1 4 0 6 0]
0,0,16,0.0,2.3301284313201904,0.0,"[9, 4, 9, 1, 1, 4, 1, 1]",[5 8 2 5 0 6 8 5]
0,0,17,0.125,2.2787628173828125,0.375,"[1, 1, 1, 1, 9, 1, 1, 9]",[2 0 8 5 4 6 1 7]
0,0,18,0.375,2.208808660507202,0.5,"[1, 1, 0, 4, 1, 4, 4, 4]",[2 8 0 5 1 9 6 4]
0,0,19,0.125,2.280632495880127,0.375,"[4, 4, 4, 4, 4, 4, 4, 4]",[6 3 5 2 4 9 3 5]
0,0,20,0.375,2.191107988357544,0.5,"[4, 4, 4, 4, 7, 4, 1, 0]",[9 8 0 2 7 4 1 3]
0,0,21,0.25,2.214066982269287,0.375,"[4, 1, 4, 4, 1, 4, 4, 4]",[9 1 5 9 1 6 0 7]
0,0,22,0.0,2.315263509750366,0.25,"[4, 4, 4, 4, 1, 4, 4, 4]",[3 7 0 5 3 9 8 1]
0,0,23,0.25,2.200577735900879,0.5,"[4, 1, 1, 4, 0, 1, 4, 4]",[9 0 1 0 2 1 0 5]
0,0,24,0.125,2.2794783115386963,0.375,"[1, 1, 4, 0, 4, 4, 1, 0]",[8 8 4 2 9 8 7 3]
0,0,25,0.125,2.2540321350097656,0.25,"[1, 4, 4, 7, 1, 4, 4, 4]",[3 7 9 5 0 3 5 4]
0,0,26,0.25,2.210575819015503,0.5,"[1, 0, 1, 4, 1, 1, 4, 1]",[1 8 0 7 5 8 4 6]
0,0,27,0.375,2.182652235031128,0.375,"[0, 4, 1, 4, 1, 1, 1, 0]",[0 9 5 4 8 1 3 3]
0,0,28,0.375,2.1234233379364014,0.375,"[1, 8, 1, 0, 8, 1, 0, 4]",[1 7 6 3 5 1 0 7]
0,0,29,0.0,2.295671224594116,0.25,"[1, 1, 0, 1, 4, 1, 0, 0]",[6 4 2 5 6 6 5 9]
0,0,30,0.5,2.1020500659942627,0.5,"[0, 4, 1, 1, 0, 4, 4, 1]",[8 4 6 1 5 4 3 1]
0,0,31,0.25,2.2504632472991943,0.5,"[1, 1, 4, 7, 0, 1, 4, 4]",[0 9 0 7 0 7 9 6]
0,0,32,0.25,2.247931480407715,0.375,"[1, 7, 4, 4, 1, 1, 4, 1]",[6 7 9 9 0 3 4 0]
0,0,33,0.125,2.2310972213745117,0.625,"[1, 1, 4, 1, 4, 4, 4, 1]",[0 0 9 1 2 7 9 6]
0,0,34,0.375,2.077695846557617,0.75,"[7, 1, 1, 7, 4, 1, 4, 4]",[3 8 1 7 6 0 4 2]
0,0,35,0.75,2.0546979904174805,0.75,"[7, 7, 7, 4, 4, 0, 0, 1]",[7 7 9 4 8 0 0 1]
0,0,36,0.375,2.05391263961792,0.5,"[7, 7, 1, 7, 7, 1, 4, 4]",[7 3 1 0 9 1 6 2]
0,0,37,0.0,2.2987096309661865,0.375,"[4, 7, 7, 7, 7, 7, 7, 4]",[2 0 5 0 8 6 1 7]
0,0,38,0.375,2.112299919128418,0.625,"[1, 1, 7, 7, 4, 7, 1, 7]",[1 1 8 9 6 3 1 2]
0,0,39,0.0,2.4088027477264404,0.125,"[7, 7, 4, 7, 7, 7, 7, 7]",[3 3 2 3 3 9 5 9]
0,0,40,0.25,2.14277982711792,0.375,"[7, 1, 7, 7, 4, 4, 7, 7]",[9 6 7 9 2 4 4 3]
0,0,41,0.375,2.064383029937744,0.5,"[7, 4, 7, 4, 7, 1, 7, 1]",[9 4 6 6 7 1 3 0]
0,0,42,0.375,2.027735948562622,0.5,"[7, 0, 7, 4, 4, 7, 4, 7]",[9 5 7 6 0 7 4 4]
0,0,43,0.375,2.0470831394195557,0.625,"[0, 1, 1, 1, 7, 1, 7, 7]",[3 1 1 1 8 0 9 8]
0,0,44,0.125,2.214858055114746,0.375,"[7, 4, 4, 1, 1, 7, 4, 7]",[4 5 5 1 6 3 2 9]
0,0,45,0.0,2.3696517944335938,0.0,"[4, 4, 1, 4, 7, 4, 4, 7]",[6 8 5 9 9 9 6 8]
0,0,46,0.25,2.274570941925049,0.5,"[4, 1, 4, 4, 4, 0, 0, 4]",[7 0 3 9 4 0 5 0]
0,0,47,0.0,2.30564546585083,0.125,"[0, 4, 0, 1, 0, 7, 0, 0]",[5 6 3 6 3 8 8 2]
0,0,48,0.25,2.208465576171875,0.375,"[1, 1, 4, 0, 0, 4, 4, 4]",[5 1 7 0 3 5 9 1]
0,0,49,0.5,2.105376720428467,0.625,"[1, 1, 1, 0, 1, 7, 7, 0]",[1 5 1 2 9 7 7 5]
0,0,50,0.125,2.2413110733032227,0.25,"[4, 4, 0, 0, 0, 4, 0, 0]",[4 9 9 9 6 0 3 2]
0,0,51,0.375,2.1773908138275146,0.75,"[0, 0, 4, 0, 1, 4, 1, 7]",[2 6 9 2 1 4 2 7]
0,0,52,0.375,2.144148111343384,0.5,"[0, 4, 8, 4, 1, 4, 4, 1]",[0 4 1 6 1 5 9 9]
0,0,53,0.375,2.2834010124206543,0.375,"[1, 7, 1, 0, 7, 1, 0, 9]",[6 7 1 3 3 8 7 9]
0,0,54,0.125,2.2504172325134277,0.75,"[1, 9, 9, 9, 4, 9, 1, 9]",[8 2 2 0 9 9 3 3]
0,0,55,0.375,2.171325445175171,0.5,"[1, 1, 9, 3, 9, 9, 9, 9]",[8 8 8 2 9 6 9 9]
0,0,56,0.25,2.2583792209625244,0.25,"[9, 9, 9, 1, 9, 9, 9, 1]",[6 5 7 5 9 0 2 1]
0,0,57,0.375,2.110818386077881,0.75,"[9, 9, 9, 9, 9, 9, 1, 9]",[2 7 5 4 8 9 1 9]
0,0,58,0.125,2.251508951187134,0.25,"[9, 9, 9, 9, 9, 9, 1, 9]",[6 2 5 6 8 3 1 8]
0,0,59,0.0,2.295893669128418,0.25,"[1, 9, 9, 9, 9, 9, 3, 1]",[9 2 4 5 5 7 2 6]
0,0,60,0.375,2.0547220706939697,0.5,"[9, 9, 9, 9, 1, 9, 9, 9]",[5 0 9 0 1 9 7 3]
0,0,61,0.0,2.329916000366211,0.125,"[9, 1, 9, 3, 1, 9, 6, 9]",[4 2 8 0 8 3 2 5]
0,0,62,0.375,2.1733956336975098,0.5,"[6, 6, 9, 9, 6, 4, 6, 2]",[5 2 7 9 6 4 0 0]
0,0,63,0.5,2.1504647731781006,0.625,"[2, 1, 2, 1, 1, 4, 4, 2]",[0 2 2 1 1 4 6 5]
