,Epoch,Iteration,Accuracy,Loss,Top3,Prediction,Target
0,0,0,0.25,208.5961151123047,0.375,"[0, 0, 0, 0, 0, 0, 0, 0]",[6 3 1 5 9 8 0 0]
0,0,1,0.0,5.67767858505249,0.25,"[5, 9, 5, 0, 5, 9, 5, 5]",[6 3 2 5 4 6 3 4]
0,0,2,0.25,5.099264621734619,0.375,"[6, 0, 5, 4, 2, 0, 5, 5]",[6 6 9 0 2 9 3 2]
0,0,3,0.125,3.21832537651062,0.5,"[5, 7, 5, 0, 3, 5, 5, 5]",[7 1 5 9 0 1 6 5]
0,0,4,0.0,128.27938842773438,0.375,"[4, 4, 0, 9, 5, 0, 5, 5]",[1 3 1 7 8 1 9 1]
0,0,5,0.25,3.8724679946899414,0.5,"[5, 3, 3, 5, 5, 5, 5, 5]",[4 2 9 0 7 8 1 5]
0,0,6,0.125,4.371631622314453,0.375,"[9, 5, 5, 5, 6, 5, 0, 5]",[6 0 3 9 6 5 7 1]
0,0,7,0.0,4.702021598815918,0.25,"[5, 9, 9, 0, 5, 0, 5, 5]",[4 9 6 4 4 1 2 9]
0,0,8,0.375,5.835008144378662,0.375,"[3, 5, 5, 0, 3, 5, 5, 9]",[7 0 1 0 3 0 7 3]
0,0,9,0.125,7.373173713684082,0.5,"[5, 0, 3, 5, 5, 5, 5, 0]",[2 0 6 4 4 2 8 5]
0,0,10,0.375,7.789168834686279,0.875,"[6, 5, 9, 3, 3, 5, 5, 4]",[8 2 9 3 2 5 5 4]
0,0,11,0.125,8.307247161865234,0.5,"[5, 6, 0, 3, 0, 0, 5, 5]",[9 0 5 3 2 0 4 3]
0,0,12,0.125,8.373543739318848,0.25,"[0, 4, 5, 3, 4, 5, 3, 5]",[6 8 4 8 4 3 9 6]
0,0,13,0.125,7.387784004211426,0.375,"[3, 0, 0, 5, 6, 4, 5, 5]",[0 7 1 1 0 0 6 6]
0,0,14,0.5,7.8905029296875,0.5,"[5, 4, 0, 8, 0, 5, 0, 0]",[2 5 3 3 1 2 0 0]
0,0,15,0.25,8.031451225280762,0.5,"[0, 0, 0, 0, 0, 3, 0, 5]",[0 6 7 4 5 3 2 5]
0,0,16,0.125,8.386326789855957,0.375,"[0, 5, 5, 9, 9, 9, 0, 0]",[5 8 9 3 3 4 9 8]
0,0,17,0.125,7.834212779998779,0.25,"[5, 0, 5, 0, 5, 0, 5, 5]",[9 0 7 3 4 1 0 7]
0,0,18,0.125,6.374307632446289,0.375,"[5, 3, 5, 0, 4, 3, 4, 0]",[9 2 1 6 4 1 7 5]
0,0,19,0.375,4.550930500030518,0.625,"[3, 3, 3, 0, 3, 3, 0, 2]",[7 2 8 0 3 9 5 6]
0,0,20,0.625,4.335968017578125,0.875,"[9, 0, 4, 3, 4, 5, 1, 6]",[9 0 9 3 4 8 0 6]
0,0,21,0.25,4.799516201019287,0.75,"[1, 2, 1, 1, 1, 1, 1, 1]",[6 2 3 2 4 2 1 8]
0,0,22,0.625,2.7031757831573486,0.75,"[1, 1, 1, 1, 4, 3, 4, 1]",[2 9 1 1 4 3 4 5]
0,0,23,0.125,2.762091636657715,0.625,"[1, 1, 1, 4, 1, 1, 1, 1]",[5 9 8 4 2 5 8 7]
0,0,24,0.125,2.6004083156585693,0.25,"[1, 8, 1, 1, 8, 1, 8, 1]",[0 1 0 7 6 1 6 2]
0,0,25,0.125,1.7617695331573486,0.5,"[1, 1, 8, 8, 1, 1, 8, 1]",[8 9 1 4 1 5 6 0]
0,0,26,0.25,2.092019557952881,0.5,"[1, 1, 8, 8, 1, 8, 1, 4]",[5 0 8 7 1 2 5 1]
0,0,27,0.0,1.7823387384414673,0.375,"[8, 8, 8, 8, 8, 8, 8, 1]",[4 4 5 3 7 0 0 7]
0,0,28,0.0,1.5048202276229858,0.375,"[8, 8, 8, 8, 8, 8, 8, 8]",[3 9 0 3 1 1 3 6]
0,0,29,0.125,1.3097401857376099,0.625,"[8, 8, 8, 8, 8, 8, 8, 8]",[9 3 9 5 0 0 8 5]
0,0,30,0.375,1.140192985534668,0.5,"[8, 8, 8, 1, 8, 1, 7, 8]",[8 4 8 5 5 1 7 3]
0,0,31,0.125,1.3116158246994019,0.5,"[3, 0, 8, 3, 3, 8, 3, 8]",[6 9 4 5 0 2 3 0]
0,0,32,0.5,1.1807409524917603,0.5,"[7, 1, 9, 3, 9, 8, 3, 8]",[7 5 1 5 6 8 3 6]
