,Epoch,Iteration,Accuracy,Top3,Prediction,Target
0,0,1.0,0.0,0.375,[4 1 2 5 6 5 5 1],"tensor([0, 0, 0, 0, 0, 0, 0, 0])"
0,0,2.0,0.0,0.375,[6 8 4 1 9 8 1 1],"tensor([5, 5, 5, 5, 5, 5, 5, 5])"
0,0,3.0,0.375,0.625,[0 0 2 2 6 6 6 7],"tensor([6, 6, 6, 6, 6, 6, 6, 6])"
0,0,4.0,0.125,0.5,[0 7 2 6 7 1 7 2],"tensor([6, 6, 6, 6, 6, 6, 6, 6])"
0,0,5.0,0.25,0.5,[7 3 6 6 4 1 4 2],"tensor([6, 6, 6, 6, 6, 6, 6, 6])"
0,0,6.0,0.0,0.5,[7 2 1 5 4 0 1 7],"tensor([6, 6, 6, 6, 2, 6, 6, 1])"
0,0,7.0,0.0,0.5,[7 2 9 0 2 9 2 6],"tensor([2, 4, 4, 4, 4, 4, 4, 4])"
0,0,8.0,0.125,0.25,[3 9 1 6 4 2 6 6],"tensor([2, 2, 2, 2, 2, 2, 2, 2])"
0,0,9.0,0.125,0.25,[9 3 1 9 5 3 5 2],"tensor([2, 2, 2, 2, 2, 2, 2, 2])"
0,0,10.0,0.125,0.125,[3 2 8 5 3 5 6 6],"tensor([2, 2, 2, 2, 7, 2, 2, 2])"
0,0,11.0,0.125,0.625,[8 1 6 2 0 0 2 7],"tensor([3, 6, 3, 3, 3, 3, 3, 7])"
0,0,12.0,0.25,0.5,[6 2 7 6 1 9 0 7],"tensor([2, 2, 2, 2, 2, 2, 2, 7])"
0,0,13.0,0.125,0.5,[6 1 8 0 3 0 7 2],"tensor([2, 6, 2, 2, 2, 2, 2, 2])"
0,0,14.0,0.25,0.375,[1 6 7 8 3 9 8 6],"tensor([6, 6, 7, 6, 2, 7, 6, 0])"
0,0,15.0,0.25,0.5,[2 1 9 9 4 3 7 6],"tensor([2, 6, 7, 7, 7, 7, 7, 7])"
0,0,16.0,0.0,0.25,[1 4 0 6 5 4 3 3],"tensor([6, 7, 7, 7, 7, 7, 2, 2])"
0,0,17.0,0.125,0.375,[4 5 4 4 9 1 3 7],"tensor([7, 3, 3, 3, 3, 3, 3, 3])"
0,0,18.0,0.125,0.5,[5 2 3 7 2 1 8 9],"tensor([3, 3, 3, 3, 3, 3, 3, 3])"
0,0,19.0,0.375,0.375,[8 3 0 2 1 6 2 9],"tensor([3, 3, 3, 2, 3, 3, 2, 7])"
0,0,20.0,0.125,0.375,[1 9 7 3 9 1 5 0],"tensor([6, 2, 7, 6, 2, 3, 2, 3])"
0,0,21.0,0.25,0.75,[1 7 6 7 9 2 9 0],"tensor([6, 9, 9, 9, 9, 9, 9, 9])"
0,0,22.0,0.25,0.375,[7 7 9 1 9 4 1 8],"tensor([9, 9, 9, 3, 9, 9, 3, 9])"
0,0,23.0,0.25,0.25,[7 3 6 5 0 5 0 3],"tensor([7, 6, 9, 9, 9, 3, 9, 3])"
0,0,24.0,0.125,0.25,[4 4 5 7 8 6 8 5],"tensor([9, 9, 9, 7, 6, 9, 3, 6])"
0,0,25.0,0.125,0.375,[7 8 0 4 1 4 1 4],"tensor([7, 3, 9, 9, 3, 9, 6, 9])"
0,0,26.0,0.125,0.375,[0 4 9 7 3 2 2 8],"tensor([6, 9, 7, 7, 6, 1, 6, 3])"
0,0,27.0,0.125,0.375,[4 0 3 3 6 2 4 5],"tensor([9, 2, 6, 2, 9, 2, 2, 2])"
0,0,28.0,0.125,0.5,[0 5 1 4 3 9 2 5],"tensor([2, 2, 2, 2, 2, 2, 2, 2])"
0,0,29.0,0.0,0.25,[6 7 1 1 3 9 3 3],"tensor([2, 6, 2, 2, 2, 2, 2, 0])"
0,0,30.0,0.125,0.25,[7 6 2 0 3 8 8 2],"tensor([3, 3, 3, 3, 3, 3, 3, 3])"
0,0,31.0,0.125,0.125,[8 3 6 6 6 8 6 0],"tensor([3, 3, 2, 3, 3, 3, 3, 3])"
0,0,32.0,0.125,0.375,[0 9 6 8 0 3 7 1],"tensor([3, 3, 3, 3, 3, 3, 3, 6])"
0,0,33.0,0.125,0.5,[7 6 9 3 6 4 1 0],"tensor([3, 3, 3, 3, 4, 3, 3, 3])"
0,0,34.0,0.125,0.5,[1 2 1 4 9 7 5 7],"tensor([6, 3, 6, 6, 3, 7, 3, 3])"
0,0,35.0,0.0,0.125,[8 0 4 2 2 5 9 1],"tensor([3, 3, 6, 7, 6, 7, 2, 7])"
0,0,36.0,0.125,0.5,[2 5 1 7 7 9 9 5],"tensor([5, 5, 5, 5, 5, 5, 5, 6])"
0,0,37.0,0.0,0.375,[8 9 5 6 4 0 1 9],"tensor([2, 2, 2, 2, 2, 2, 6, 2])"
0,0,38.0,0.125,0.25,[1 5 8 3 1 1 7 9],"tensor([5, 5, 5, 5, 5, 5, 5, 5])"
0,0,39.0,0.25,0.375,[7 4 8 1 3 4 5 9],"tensor([5, 5, 3, 5, 5, 4, 5, 5])"
0,0,40.0,0.25,0.5,[3 5 0 3 0 8 4 7],"tensor([5, 5, 5, 3, 5, 5, 5, 5])"
0,0,41.0,0.375,0.5,[6 3 8 1 8 8 7 4],"tensor([8, 8, 8, 8, 8, 8, 8, 8])"
0,0,42.0,0.125,0.625,[2 7 1 8 9 7 0 2],"tensor([8, 8, 8, 8, 8, 8, 8, 8])"
0,0,43.0,0.125,0.25,[5 0 1 4 8 2 1 9],"tensor([8, 8, 6, 5, 8, 8, 5, 5])"
0,0,44.0,0.125,0.875,[1 3 4 3 0 3 9 4],"tensor([3, 8, 8, 3, 8, 8, 3, 5])"
0,0,45.0,0.125,0.25,[7 0 6 7 0 3 4 0],"tensor([7, 8, 5, 8, 6, 8, 3, 3])"
0,0,46.0,0.125,0.25,[0 6 4 3 5 0 1 8],"tensor([8, 5, 3, 6, 5, 8, 5, 5])"
0,0,47.0,0.125,0.5,[6 0 5 3 5 6 0 0],"tensor([5, 6, 6, 5, 5, 5, 6, 7])"
0,0,48.0,0.375,0.5,[8 4 4 6 3 9 1 1],"tensor([6, 4, 4, 3, 3, 0, 3, 0])"
0,0,49.0,0.0,0.125,[1 8 0 9 9 8 9 5],"tensor([3, 3, 3, 3, 3, 3, 3, 3])"
0,0,50.0,0.0,0.25,[0 6 4 0 9 1 0 2],"tensor([8, 8, 8, 8, 8, 8, 8, 8])"
0,0,51.0,0.125,0.375,[0 8 3 4 5 2 6 6],"tensor([6, 3, 5, 4, 0, 4, 0, 5])"
0,0,52.0,0.125,0.25,[5 5 1 6 8 1 5 4],"tensor([7, 6, 0, 5, 6, 3, 7, 4])"
0,0,53.0,0.125,0.625,[5 0 4 7 6 3 0 0],"tensor([6, 6, 3, 7, 5, 5, 6, 6])"
0,0,54.0,0.125,0.5,[8 1 2 5 9 3 5 4],"tensor([6, 3, 6, 3, 3, 6, 6, 4])"
0,0,55.0,0.25,0.5,[0 0 2 9 5 6 7 9],"tensor([5, 6, 4, 9, 7, 5, 7, 0])"
0,0,56.0,0.375,0.5,[5 6 1 9 9 8 9 0],"tensor([9, 9, 9, 9, 9, 9, 9, 9])"
0,0,57.0,0.125,0.125,[7 0 0 0 9 8 7 8],"tensor([9, 9, 9, 9, 9, 9, 9, 9])"
0,0,58.0,0.25,0.75,[2 3 4 9 8 3 7 3],"tensor([9, 9, 4, 9, 9, 9, 9, 9])"
0,0,59.0,0.25,0.75,[3 4 7 7 3 2 3 2],"tensor([9, 9, 9, 9, 9, 9, 3, 2])"
