,Epoch,Iteration,Accuracy,Loss,Top3
0,0,0,0.625,2.1690826416015625,0.75
0,0,1,0.25,2.284480333328247,0.5
0,0,2,0.375,2.238647699356079,0.75
0,0,3,0.5,2.2835869789123535,0.5
0,0,4,0.375,2.1751182079315186,0.625
0,0,5,0.25,2.2499687671661377,0.5
0,0,6,0.625,2.0615293979644775,0.75
0,0,7,0.625,2.1238462924957275,0.75
0,0,8,0.375,2.198090076446533,0.5
0,0,9,0.5,2.158461093902588,0.625
0,0,10,0.375,2.192708969116211,0.625
0,0,11,0.625,2.0835540294647217,0.75
0,0,12,0.375,2.285747528076172,0.5
0,0,13,0.625,2.082787036895752,0.75
0,0,14,0.5,2.2224538326263428,0.625
0,0,15,0.5,2.151827812194824,0.625
0,1,0,0.25,2.207024574279785,0.75
0,1,1,0.375,2.226518392562866,0.625
0,1,2,0.25,2.2106199264526367,0.875
0,1,3,0.25,2.2548422813415527,0.625
0,1,4,0.25,2.1730778217315674,0.625
0,1,5,0.25,2.1724295616149902,0.5
0,1,6,0.5,2.0345771312713623,0.75
0,1,7,0.625,2.0380969047546387,0.75
0,1,8,0.5,2.172553777694702,0.5
0,1,9,0.625,2.0762131214141846,0.625
0,1,10,0.375,2.1781044006347656,0.625
0,1,11,0.75,2.032578945159912,0.75
0,1,12,0.375,2.2109134197235107,0.625
0,1,13,0.625,2.0584588050842285,0.75
0,1,14,0.375,2.1510488986968994,0.625
0,1,15,0.5,2.1738197803497314,0.5
0,2,0,0.25,2.1769492626190186,0.75
0,2,1,0.625,2.130938768386841,0.75
0,2,2,0.5,2.0679519176483154,1.0
0,2,3,0.25,2.162590265274048,0.75
0,2,4,0.375,2.1658520698547363,0.75
0,2,5,0.625,2.0784413814544678,0.75
0,2,6,0.5,2.003054618835449,1.0
0,2,7,0.5,2.0744783878326416,0.75
0,2,8,0.375,2.0992119312286377,0.625
0,2,9,0.75,1.971925973892212,0.875
0,2,10,0.375,2.0984914302825928,0.875
0,2,11,0.5,2.085073232650757,0.75
0,2,12,0.75,2.098264694213867,0.75
0,2,13,0.875,1.906189203262329,1.0
0,2,14,0.5,2.0960564613342285,0.75
0,2,15,0.5,2.099440574645996,0.75
0,3,0,0.25,2.1042189598083496,0.875
0,3,1,0.5,2.03818941116333,0.875
0,3,2,0.5,2.0243256092071533,0.875
0,3,3,0.375,2.0869405269622803,0.875
0,3,4,0.375,2.1030240058898926,0.875
