,Epoch,Iteration,Accuracy,Loss,Top3
0,0,0,0.375,1.9609733819961548,1.0
0,0,1,0.375,2.104421377182007,0.625
0,0,2,0.25,2.1838297843933105,0.625
0,0,3,0.25,2.105241537094116,0.75
0,0,4,0.5,1.9355428218841553,0.875
0,0,5,0.5,2.0064642429351807,0.625
0,0,6,0.25,2.075085401535034,0.75
0,0,7,0.75,1.8838979005813599,1.0
0,0,8,0.75,2.022500991821289,0.75
0,0,9,0.375,2.066575050354004,0.625
0,0,10,0.125,2.0639846324920654,0.625
0,0,11,0.625,1.8215969800949097,1.0
0,0,12,0.625,2.116473913192749,0.75
0,0,13,0.25,2.0785176753997803,0.625
0,0,14,0.375,2.115210771560669,0.75
0,0,15,0.375,2.0017576217651367,0.875
0,1,0,0.625,1.9093079566955566,1.0
0,1,1,0.5,2.0221314430236816,0.75
0,1,2,0.25,2.150350570678711,0.75
0,1,3,0.625,1.9896093606948853,0.875
0,1,4,0.375,1.9449325799942017,0.875
0,1,5,0.375,2.02785587310791,0.75
0,1,6,0.5,1.9756640195846558,0.75
0,1,7,0.875,1.7905112504959106,1.0
0,1,8,0.75,2.023801803588867,0.75
0,1,9,0.5,2.0140743255615234,0.75
0,1,10,0.375,2.1006486415863037,0.625
0,1,11,0.75,1.8103108406066895,1.0
0,1,12,0.625,2.0658798217773438,0.75
0,1,13,0.5,2.0309576988220215,0.75
0,1,14,0.625,2.059981346130371,0.75
0,1,15,0.5,2.0284953117370605,0.875
0,2,0,0.5,1.8814235925674438,0.875
0,2,1,0.5,2.0197837352752686,0.75
0,2,2,0.125,2.1349456310272217,0.625
0,2,3,0.375,2.003880739212036,0.75
0,2,4,0.375,1.946150302886963,0.875
0,2,5,0.375,2.063948631286621,0.75
0,2,6,0.5,1.9728577136993408,0.75
0,2,7,0.875,1.7756702899932861,1.0
0,2,8,0.5,2.0584802627563477,0.75
0,2,9,0.5,1.971534013748169,0.75
0,2,10,0.125,2.0315396785736084,0.625
0,2,11,0.625,1.8092312812805176,1.0
0,2,12,0.5,2.0447428226470947,0.75
0,2,13,0.375,1.9917333126068115,0.875
0,2,14,0.375,2.0519800186157227,0.75
0,2,15,0.375,2.0634078979492188,0.875
0,3,0,0.375,2.0476040840148926,0.625
0,3,1,0.125,2.235647678375244,0.25
0,3,2,0.375,2.126166582107544,0.625
0,3,3,0.375,2.039313316345215,0.5
0,3,4,0.375,2.1938846111297607,0.375
