,Epoch,Iteration,Accuracy,Loss,Top3
0,0,0,0.125,24.509965896606445,0.375
0,0,1,0.0,24.509965896606445,0.0
0,0,2,0.125,24.509965896606445,0.375
0,0,3,0.125,24.509965896606445,0.375
0,0,4,0.125,24.509965896606445,0.25
0,0,5,0.0,24.509965896606445,0.125
0,0,6,0.125,24.509965896606445,0.375
0,0,7,0.125,24.509965896606445,0.375
0,0,8,0.0,24.509965896606445,0.125
0,0,9,0.125,24.509965896606445,0.25
0,0,10,0.125,24.509965896606445,0.375
0,0,11,0.125,24.509965896606445,0.375
0,0,12,0.0,24.509965896606445,0.0
0,0,13,0.125,24.509965896606445,0.375
0,0,14,0.125,24.509965896606445,0.375
0,0,15,0.125,24.509965896606445,0.25
0,1,0,0.125,24.509965896606445,0.375
0,1,1,0.0,24.509965896606445,0.0
0,1,2,0.125,24.509965896606445,0.375
0,1,3,0.0,24.428524017333984,0.25
0,1,4,0.125,24.509965896606445,0.25
0,1,5,0.0,24.509965896606445,0.125
0,1,6,0.125,24.509965896606445,0.375
0,1,7,0.125,24.509965896606445,0.375
0,1,8,0.0,24.509965896606445,0.125
0,1,9,0.125,24.509965896606445,0.25
0,1,10,0.125,24.509965896606445,0.375
0,1,11,0.125,24.509965896606445,0.375
0,1,12,0.0,24.509965896606445,0.0
0,1,13,0.125,24.50092124938965,0.25
0,1,14,0.125,24.437158584594727,0.375
0,1,15,0.125,24.314956665039062,0.25
0,2,0,0.125,24.509965896606445,0.375
0,2,1,0.0,24.509965896606445,0.0
0,2,2,0.125,24.509965896606445,0.375
0,2,3,0.125,24.509965896606445,0.375
0,2,4,0.125,24.509965896606445,0.25
0,2,5,0.0,24.509965896606445,0.125
0,2,6,0.125,24.509965896606445,0.375
0,2,7,0.125,24.509965896606445,0.375
0,2,8,0.0,24.509965896606445,0.125
0,2,9,0.125,24.509965896606445,0.25
0,2,10,0.125,24.509965896606445,0.375
0,2,11,0.125,24.509965896606445,0.375
0,2,12,0.0,24.509965896606445,0.0
0,2,13,0.125,24.865768432617188,0.375
0,2,14,0.125,24.509965896606445,0.375
0,2,15,0.125,24.49256134033203,0.25
0,3,0,0.125,23.865991592407227,0.375
0,3,1,0.0,24.473962783813477,0.0
0,3,2,0.125,24.017454147338867,0.375
0,3,3,0.125,23.81859016418457,0.375
0,3,4,0.125,24.509965896606445,0.25
0,3,5,0.0,24.47827911376953,0.125
0,3,6,0.125,24.473724365234375,0.375
