,Epoch,Iteration,Accuracy,Loss,Top3
0,0,0,0.375,2.0613815784454346,0.625
0,0,1,0.375,1.9911532402038574,0.625
0,0,2,0.25,2.0932862758636475,0.625
0,0,3,0.375,1.874275803565979,0.875
0,0,4,0.625,1.9806716442108154,0.75
0,0,5,0.5,1.965218186378479,0.625
0,0,6,0.625,2.034186601638794,0.625
0,0,7,0.625,1.9626808166503906,0.625
0,0,8,0.75,1.7864015102386475,0.875
0,0,9,0.375,2.0213634967803955,0.5
0,0,10,0.625,1.9265273809432983,0.625
0,0,11,0.625,2.021042585372925,0.625
0,0,12,0.375,2.0678393840789795,0.625
0,1,0,0.25,1.9575055837631226,0.75
0,1,1,0.375,1.8430376052856445,0.875
0,1,2,0.375,2.0112051963806152,0.875
0,1,3,0.5,1.8727699518203735,1.0
0,1,4,0.25,1.958892583847046,0.75
0,1,5,0.25,1.921382188796997,0.75
0,1,6,0.75,1.8788814544677734,0.875
0,1,7,0.625,1.795780897140503,0.875
0,1,8,0.5,1.7350071668624878,0.875
0,1,9,0.375,1.8686636686325073,0.75
0,1,10,0.25,1.8448281288146973,0.875
0,1,11,0.5,1.8383450508117676,0.875
0,1,12,0.625,1.913551688194275,0.875
0,2,0,0.25,1.974365234375,0.875
0,2,1,0.5,1.8941872119903564,0.875
0,2,2,0.5,1.9555585384368896,0.875
0,2,3,0.5,1.8320587873458862,1.0
0,2,4,0.375,1.9219094514846802,0.875
0,2,5,0.5,1.896740198135376,0.875
0,2,6,0.875,1.8681970834732056,0.875
0,2,7,0.625,1.7910910844802856,0.875
0,2,8,0.625,1.7348734140396118,1.0
0,2,9,0.375,1.927671194076538,0.875
0,2,10,0.5,1.8744367361068726,0.875
0,2,11,0.625,1.8340880870819092,0.875
0,2,12,0.5,1.7991458177566528,0.875
0,3,0,0.625,1.9296807050704956,0.75
0,3,1,0.5,2.010892868041992,0.625
0,3,2,0.375,2.105689764022827,0.5
0,3,3,0.375,2.0359086990356445,0.625
0,3,4,0.25,2.004019021987915,0.5
0,3,5,0.25,1.9685980081558228,0.75
0,3,6,0.375,1.993353009223938,0.625
0,3,7,0.25,2.031994342803955,0.5
0,3,8,0.375,1.9635308980941772,0.625
0,3,9,0.5,2.0070741176605225,0.5
0,3,10,0.5,1.9037057161331177,0.75
0,3,11,0.5,1.949462652206421,0.625
0,3,12,0.375,2.105340003967285,0.5
0,4,0,0.625,1.86773681640625,0.875
0,4,1,0.5,1.9674668312072754,0.625
0,4,2,0.5,2.019188642501831,0.625
0,4,3,0.375,1.9489060640335083,0.625
0,4,4,0.25,2.027900218963623,0.5
0,4,5,0.375,1.922849416732788,0.875
0,4,6,0.5,1.974479079246521,0.625
0,4,7,0.375,2.0057613849639893,0.5
0,4,8,0.5,1.9368149042129517,0.75
0,4,9,0.125,2.092334747314453,0.625
0,4,10,0.5,1.8765438795089722,0.875
0,4,11,0.5,1.947224736213684,0.625
0,4,12,0.375,2.045278310775757,0.5
0,5,0,0.625,1.8452974557876587,0.875
0,5,1,0.5,1.9621397256851196,0.625
0,5,2,0.375,2.089354991912842,0.625
0,5,3,0.375,2.018651008605957,0.625
0,5,4,0.5,2.002289056777954,0.5
0,5,5,0.5,1.8432061672210693,0.75
0,5,6,0.375,1.9313602447509766,0.625
0,5,7,0.5,1.990900993347168,0.625
