,Epoch,Iteration,Accuracy,Loss,Top3
0,0,0,0.0,6.754840850830078,0.375
0,0,1,0.25,6.755296230316162,0.25
0,0,2,0.0,6.756936550140381,0.5
0,0,3,0.375,6.7536516189575195,0.75
0,0,4,0.125,6.754484176635742,0.625
0,0,5,0.0,6.755251407623291,0.25
0,0,6,0.0,6.754891872406006,0.25
0,0,7,0.125,6.754054069519043,0.375
0,0,8,0.0,6.756056308746338,0.375
0,0,9,0.125,6.7544379234313965,0.5
0,0,10,0.125,6.755243301391602,0.5
0,0,11,0.25,6.756455898284912,0.375
0,0,12,0.25,6.753190517425537,0.75
0,0,13,0.0,6.753670692443848,0.625
0,0,14,0.0,6.755250453948975,0.25
0,0,15,0.125,6.754477024078369,0.5
0,0,16,0.25,6.754451751708984,0.625
0,0,17,0.125,6.7548627853393555,0.25
0,0,18,0.0,6.754076957702637,0.375
0,0,19,0.25,6.7548980712890625,0.375
0,0,20,0.5,6.753195762634277,0.625
0,0,21,0.125,6.7548699378967285,0.75
0,0,22,0.0,6.753269195556641,0.25
0,0,23,0.25,6.754080295562744,0.5
0,0,24,0.0,6.754464626312256,0.5
0,0,25,0.25,6.754476070404053,0.5
0,0,26,0.0,6.753612518310547,0.375
0,0,27,0.5,6.755222797393799,0.75
0,0,28,0.25,6.75326681137085,0.625
0,0,29,0.25,6.755692958831787,0.5
0,0,30,0.0,6.754871845245361,0.125
0,1,0,0.0,6.754363536834717,0.125
0,1,1,0.0,6.754077434539795,0.125
0,1,2,0.125,6.7532219886779785,0.25
0,1,3,0.0,6.75363826751709,0.375
0,1,4,0.0,6.753633499145508,0.25
0,1,5,0.0,6.75482702255249,0.125
0,1,6,0.125,6.753566265106201,0.5
0,1,7,0.125,6.753572463989258,0.5
0,1,8,0.125,6.754876136779785,0.375
0,1,9,0.0,6.7560715675354,0.0
0,1,10,0.125,6.754048824310303,0.25
0,1,11,0.25,6.754421710968018,0.5
0,1,12,0.125,6.755191326141357,0.25
0,1,13,0.125,6.754027843475342,0.5
0,1,14,0.125,6.753645420074463,0.5
0,1,15,0.125,6.753612995147705,0.5
0,1,16,0.0,6.753613471984863,0.125
0,1,17,0.125,6.7531867027282715,0.625
0,1,18,0.0,6.754889011383057,0.25
0,1,19,0.125,6.754415988922119,0.375
0,1,20,0.125,6.754053592681885,0.5
0,1,21,0.125,6.753203868865967,0.5
0,1,22,0.125,6.75323486328125,0.5
0,1,23,0.25,6.753572463989258,0.375
0,1,24,0.0,6.753647804260254,0.625
0,1,25,0.0,6.75445032119751,0.25
0,1,26,0.125,6.753243446350098,0.625
