,Epoch,Iteration,Accuracy,Loss,Top3
0,0,0,0.75,1.8391005992889404,0.75
0,0,1,0.75,1.9681270122528076,0.75
0,0,2,0.5,1.9756238460540771,0.875
0,0,3,0.25,2.032604217529297,0.75
0,0,4,0.5,2.142791509628296,0.5
0,0,5,0.5,1.9863207340240479,0.75
0,0,6,0.625,1.9097578525543213,0.75
0,0,7,0.5,2.0319952964782715,0.625
0,0,8,0.375,2.062303304672241,0.75
0,0,9,0.75,1.7754168510437012,0.875
0,0,10,0.375,2.2041053771972656,0.5
0,0,11,0.5,2.0166618824005127,0.625
0,0,12,0.5,2.0497491359710693,0.625
0,0,13,0.75,1.877597689628601,0.75
0,0,14,0.625,1.8458369970321655,0.875
0,0,15,0.75,1.7135424613952637,1.0
0,0,16,0.625,1.96959388256073,0.75
0,0,17,0.75,1.8772510290145874,0.75
0,0,18,0.625,1.7960395812988281,0.875
0,0,19,0.625,1.8633136749267578,0.875
0,0,20,0.625,1.8994486331939697,0.75
0,0,21,0.75,1.9044432640075684,0.75
0,0,22,0.625,1.8482047319412231,0.875
0,0,23,0.75,1.8983738422393799,0.75
0,0,24,0.625,1.8597880601882935,0.75
0,0,25,0.5,2.082322597503662,0.625
0,0,26,0.625,1.9579224586486816,0.75
0,0,27,0.625,1.8422555923461914,0.875
0,0,28,0.375,2.1032636165618896,0.625
0,0,29,0.375,2.157463550567627,0.5
0,0,30,0.625,1.9891448020935059,0.75
0,1,0,0.625,1.8579583168029785,0.875
0,1,1,0.875,1.5704760551452637,1.0
0,1,2,0.875,1.8029862642288208,0.875
0,1,3,0.75,1.70761239528656,1.0
0,1,4,0.625,1.9060922861099243,0.75
0,1,5,0.625,1.9631731510162354,0.625
0,1,6,0.625,1.8262255191802979,0.625
0,1,7,0.625,1.8247987031936646,0.75
0,1,8,0.75,1.8278367519378662,0.75
0,1,9,0.5,1.9048482179641724,0.75
0,1,10,0.75,1.8237062692642212,0.875
0,1,11,0.625,1.7631936073303223,0.875
0,1,12,0.75,1.8518104553222656,0.875
0,1,13,0.875,1.7155585289001465,0.875
0,1,14,0.625,1.8195455074310303,0.75
0,1,15,0.5,1.9344607591629028,0.75
0,1,16,0.75,1.8377257585525513,0.875
0,1,17,0.875,1.7024476528167725,0.875
0,1,18,0.75,1.7978838682174683,0.875
0,1,19,0.5,2.0060508251190186,0.625
0,1,20,0.875,1.6972373723983765,0.875
0,1,21,0.625,1.8887666463851929,0.75
0,1,22,0.5,1.9862695932388306,0.5
0,1,23,0.75,1.9053945541381836,0.75
0,1,24,0.625,1.939860463142395,0.625
0,1,25,0.875,1.7127596139907837,0.875
0,1,26,0.375,2.1537814140319824,0.5
0,1,27,0.625,1.8112481832504272,0.875
0,1,28,0.75,1.8511042594909668,0.75
0,1,29,0.5,2.0423922538757324,0.625
0,1,30,1.0,1.6691876649856567,1.0
0,2,0,0.125,2.3025240898132324,0.25
0,2,1,0.125,2.302557945251465,0.375
0,2,2,0.25,2.302122116088867,0.625
0,2,3,0.375,2.301539421081543,0.5
0,2,4,0.0,2.3027334213256836,0.125
0,2,5,0.375,2.301706314086914,0.625
0,2,6,0.5,2.3009281158447266,0.75
0,2,7,0.125,2.3024110794067383,0.25
0,2,8,0.25,2.301701068878174,0.75
0,2,9,0.25,2.301347255706787,0.625
0,2,10,0.25,2.3019373416900635,0.5
0,2,11,0.25,2.3014113903045654,0.5
0,2,12,0.125,2.3033387660980225,0.125
0,2,13,0.0,2.3027091026306152,0.125
0,2,14,0.0,2.302022933959961,0.5
0,2,15,0.25,2.3020949363708496,0.625
0,2,16,0.125,2.302367687225342,0.375
0,2,17,0.375,2.3018622398376465,0.5
0,2,18,0.125,2.302617073059082,0.25
0,2,19,0.375,2.3016951084136963,0.5
0,2,20,0.5,2.300356149673462,0.75
0,2,21,0.125,2.3021786212921143,0.25
0,2,22,0.0,2.3027007579803467,0.5
0,2,23,0.0,2.3029332160949707,0.375
0,2,24,0.0,2.30281400680542,0.375
0,2,25,0.125,2.302731990814209,0.375
0,2,26,0.125,2.302677869796753,0.25
0,2,27,0.0,2.302777051925659,0.125
0,2,28,0.125,2.302565097808838,0.375
0,2,29,0.125,2.3020572662353516,0.5
0,2,30,0.0,2.303414821624756,0.0
0,3,0,0.25,2.301359176635742,0.625
0,3,1,0.25,2.302374839782715,0.5
0,3,2,0.25,2.3016791343688965,0.5
0,3,3,0.0,2.3033297061920166,0.375
0,3,4,0.125,2.3021419048309326,0.25
0,3,5,0.25,2.301542282104492,0.5
0,3,6,0.125,2.301898717880249,0.625
0,3,7,0.0,2.3032121658325195,0.25
0,3,8,0.125,2.3026294708251953,0.25
0,3,9,0.125,2.3023972511291504,0.375
0,3,10,0.25,2.302001953125,0.375
0,3,11,0.125,2.302589178085327,0.375
0,3,12,0.5,2.3010666370391846,0.625
0,3,13,0.25,2.302170515060425,0.5
0,3,14,0.125,2.3028030395507812,0.375
0,3,15,0.25,2.3021066188812256,0.875
0,3,16,0.125,2.3027303218841553,0.25
0,3,17,0.25,2.302222967147827,0.25
0,3,18,0.25,2.3028814792633057,0.25
0,3,19,0.375,2.301471471786499,0.625
0,3,20,0.25,2.301673412322998,0.5
0,3,21,0.375,2.3014824390411377,0.625
0,3,22,0.125,2.3028507232666016,0.375
0,3,23,0.0,2.3023695945739746,0.25
0,3,24,0.125,2.3023898601531982,0.625
0,3,25,0.0,2.3033523559570312,0.125
0,3,26,0.375,2.302300214767456,0.5
0,3,27,0.25,2.301388740539551,0.625
0,3,28,0.0,2.302824020385742,0.25
0,3,29,0.0,2.303027629852295,0.25
0,3,30,0.0,2.3027901649475098,0.375
0,4,0,0.125,2.3025007247924805,0.375
0,4,1,0.25,2.3018136024475098,0.625
0,4,2,0.125,2.302065134048462,0.625
0,4,3,0.25,2.302395820617676,0.375
0,4,4,0.25,2.3023440837860107,0.375
0,4,5,0.125,2.301870346069336,0.75
0,4,6,0.125,2.3026175498962402,0.25
0,4,7,0.125,2.3022220134735107,0.375
0,4,8,0.0,2.303323745727539,0.25
0,4,9,0.0,2.3031585216522217,0.5
0,4,10,0.25,2.301623821258545,0.625
0,4,11,0.25,2.301750659942627,0.375
0,4,12,0.0,2.301875591278076,0.5
0,4,13,0.25,2.3023135662078857,0.875
0,4,14,0.0,2.303140163421631,0.25
0,4,15,0.25,2.301923990249634,0.5
0,4,16,0.125,2.302057981491089,0.75
0,4,17,0.125,2.3025712966918945,0.25
0,4,18,0.375,2.302050828933716,0.5
0,4,19,0.125,2.3026626110076904,0.25
