,Epoch,Iteration,Accuracy,Loss,Top3
0,0,0,1.0,0.7780637145042419,1.0
0,0,1,0.625,0.961363673210144,0.75
0,0,2,0.625,0.950080931186676,1.0
0,0,3,0.625,1.06763756275177,0.875
0,0,4,0.75,0.9961851239204407,1.0
0,0,5,0.5,1.0998355150222778,0.625
0,0,6,0.75,0.8416666984558105,0.875
0,0,7,0.875,1.097508192062378,0.875
0,0,8,0.5,0.946864664554596,0.875
0,0,9,1.0,0.6590163707733154,1.0
0,0,10,0.75,1.4636362791061401,0.875
0,0,11,0.375,1.6868526935577393,0.5
0,0,12,0.375,1.1333733797073364,0.5
0,0,13,1.0,0.9112294912338257,1.0
0,0,14,0.75,1.2233766317367554,0.75
0,0,15,0.75,0.8681412935256958,1.0
0,0,16,0.5,0.9917476177215576,0.625
0,0,17,0.625,1.2270902395248413,0.875
0,0,18,0.625,1.0260313749313354,1.0
0,0,19,0.625,0.955032467842102,0.875
0,0,20,0.875,0.9158197045326233,1.0
0,0,21,0.625,0.789720356464386,0.875
0,0,22,0.625,1.320738673210144,0.875
0,0,23,0.625,3.3944263458251953,0.75
0,0,24,0.625,0.853043794631958,0.875
0,0,25,0.75,0.9747149348258972,0.875
0,0,26,0.5,1.2199193239212036,0.75
0,0,27,0.625,1.4496312141418457,0.875
0,0,28,0.625,1.0104098320007324,0.75
0,0,29,0.875,0.7559232115745544,1.0
0,0,30,0.625,0.9853827953338623,0.875
0,1,0,0.25,19.435457229614258,0.375
0,1,1,0.375,24.001907348632812,0.5
0,1,2,0.375,24.26807403564453,0.625
0,1,3,0.625,27.735525131225586,0.75
0,1,4,0.25,30.142810821533203,0.25
0,1,5,0.125,27.582761764526367,0.125
0,1,6,0.125,25.58663558959961,0.375
0,1,7,0.25,32.214820861816406,0.625
0,1,8,0.125,27.41197395324707,0.375
0,1,9,0.0,25.945995330810547,0.25
0,1,10,0.0,25.905866622924805,0.375
0,1,11,0.125,25.05970001220703,0.625
0,1,12,0.25,24.865201950073242,0.5
0,1,13,0.5,26.08782386779785,0.75
0,1,14,0.25,27.708520889282227,0.25
0,1,15,0.125,20.90296173095703,0.25
0,1,16,0.125,26.592897415161133,0.25
0,1,17,0.375,25.828611373901367,0.5
0,1,18,0.125,23.840938568115234,0.375
0,1,19,0.125,20.377460479736328,0.125
0,1,20,0.125,26.639616012573242,0.375
0,1,21,0.125,27.796213150024414,0.375
0,1,22,0.375,24.041019439697266,0.5
0,1,23,0.125,23.190675735473633,0.25
0,1,24,0.375,22.541805267333984,0.625
0,1,25,0.25,24.291048049926758,0.75
0,1,26,0.25,25.38065528869629,0.375
0,1,27,0.0,26.723529815673828,0.375
0,1,28,0.25,26.866613388061523,0.375
0,1,29,0.0,24.330398559570312,0.25
0,1,30,0.125,23.679515838623047,0.75
0,2,0,0.125,8.121935844421387,0.75
0,2,1,0.0,8.984231948852539,0.25
0,2,2,0.125,9.574118614196777,0.375
0,2,3,0.125,8.487016677856445,0.25
0,2,4,0.125,9.283934593200684,0.25
0,2,5,0.0,8.81225299835205,0.375
0,2,6,0.0,8.978083610534668,0.5
0,2,7,0.0,8.534561157226562,0.375
0,2,8,0.125,9.027483940124512,0.375
0,2,9,0.0,9.132251739501953,0.125
0,2,10,0.0,8.588311195373535,0.5
0,2,11,0.125,8.673452377319336,0.375
0,2,12,0.125,8.815309524536133,0.5
0,2,13,0.0,10.163395881652832,0.5
0,2,14,0.125,8.530187606811523,0.375
0,2,15,0.0,8.698538780212402,0.25
0,2,16,0.125,8.592840194702148,0.25
0,2,17,0.0,8.302096366882324,0.125
0,2,18,0.0,8.238761901855469,0.25
0,2,19,0.25,7.870779037475586,0.75
0,2,20,0.0,9.04625415802002,0.25
0,2,21,0.0,8.881230354309082,0.25
0,2,22,0.25,8.398897171020508,0.5
0,2,23,0.0,8.819811820983887,0.375
0,2,24,0.125,8.954967498779297,0.25
0,2,25,0.125,9.638640403747559,0.125
0,2,26,0.125,8.860429763793945,0.375
0,2,27,0.0,8.540534019470215,0.25
0,2,28,0.0,8.523665428161621,0.25
0,2,29,0.125,8.502036094665527,0.375
