,Epoch,Iteration,Accuracy,Loss,Top3
0,0,0,0.25,54.45051956176758,0.375
0,0,1,0.0,54.57966613769531,0.0
0,0,2,0.125,54.55246353149414,0.375
0,0,3,0.25,54.54562759399414,0.375
0,0,4,0.125,54.56608200073242,0.25
0,0,5,0.0,54.55927276611328,0.125
0,0,6,0.125,54.49136734008789,0.375
0,0,7,0.25,54.484405517578125,0.375
0,0,8,0.0,54.3214111328125,0.125
0,0,9,0.125,54.22636795043945,0.375
0,0,10,0.125,54.55246353149414,0.5
0,0,11,0.25,54.34185028076172,0.375
0,0,12,0.0,54.375579833984375,0.25
0,0,13,0.125,54.328285217285156,0.375
0,0,14,0.125,54.33510971069336,0.375
0,0,15,0.25,54.34860610961914,0.25
0,0,16,0.0,54.199066162109375,0.125
0,0,17,0.125,54.4165153503418,0.375
0,0,18,0.125,54.42318344116211,0.5
0,0,19,0.0,54.49800491333008,0.375
0,0,20,0.25,54.37566375732422,0.25
0,0,21,0.375,54.40281295776367,0.625
0,0,22,0.25,54.484405517578125,0.5
0,0,23,0.0,54.32147216796875,0.125
0,0,24,0.25,54.53207778930664,0.625
0,0,25,0.125,54.54566192626953,0.375
0,0,26,0.125,54.30105209350586,0.125
0,0,27,0.0,54.41649627685547,0.25
0,0,28,0.25,54.457393646240234,0.25
0,0,29,0.125,54.552398681640625,0.5
0,0,30,0.0,54.44367599487305,0.125
0,1,0,0.25,43.152130126953125,0.25
0,1,1,0.0,44.1777229309082,0.25
0,1,2,0.125,52.31784439086914,0.375
0,1,3,0.125,50.534481048583984,0.25
0,1,4,0.125,47.72085952758789,0.375
0,1,5,0.0,49.867610931396484,0.5
0,1,6,0.125,51.34682846069336,0.375
0,1,7,0.125,46.167110443115234,0.25
0,1,8,0.125,43.44973373413086,0.25
0,1,9,0.125,45.50969314575195,0.5
0,1,10,0.25,57.34500503540039,0.375
0,1,11,0.0,45.13092041015625,0.125
0,1,12,0.0,43.032779693603516,0.375
0,1,13,0.125,50.554771423339844,0.375
0,1,14,0.125,53.33461380004883,0.125
0,1,15,0.25,45.92641067504883,0.375
0,1,16,0.0,48.33539962768555,0.25
0,1,17,0.125,53.49991226196289,0.75
0,1,18,0.125,49.496604919433594,0.125
0,1,19,0.125,44.76815414428711,0.25
0,1,20,0.25,46.99563217163086,0.5
0,1,21,0.375,47.04939651489258,0.625
0,1,22,0.125,44.539310455322266,0.25
0,1,23,0.0,44.03052520751953,0.25
0,1,24,0.375,46.198387145996094,0.625
0,1,25,0.25,46.92052459716797,0.25
0,1,26,0.25,45.50442123413086,0.375
0,1,27,0.0,44.958370208740234,0.125
0,1,28,0.375,52.549415588378906,0.75
0,1,29,0.125,49.26866912841797,0.25
0,1,30,0.0,49.27883529663086,0.125
0,2,0,0.625,39.58882522583008,0.625
0,2,1,0.125,38.03886795043945,0.375
0,2,2,0.0,43.375083923339844,0.125
0,2,3,0.125,45.92316818237305,0.25
0,2,4,0.0,45.58891296386719,0.125
0,2,5,0.125,49.73737335205078,0.625
0,2,6,0.0,47.242305755615234,0.25
0,2,7,0.5,39.47665786743164,0.5
0,2,8,0.25,37.07184982299805,0.5
0,2,9,0.125,41.052330017089844,0.5
0,2,10,0.25,45.3907470703125,0.5
0,2,11,0.25,38.44413757324219,0.25
0,2,12,0.0,36.093692779541016,0.5
0,2,13,0.75,48.98167419433594,0.75
0,2,14,0.125,44.33311080932617,0.5
0,2,15,0.25,46.79553985595703,0.5
0,2,16,0.125,45.949153900146484,0.375
0,2,17,0.125,43.55021667480469,0.5
0,2,18,0.0,44.19440841674805,0.25
0,2,19,0.125,43.358585357666016,0.5
0,2,20,0.5,51.171321868896484,0.625
0,2,21,0.25,52.20674514770508,0.625
0,2,22,0.25,45.509334564208984,0.5
0,2,23,0.125,44.065128326416016,0.375
0,2,24,0.375,48.19113540649414,0.625
0,2,25,0.125,47.768272399902344,0.625
0,2,26,0.5,38.466949462890625,0.5
0,2,27,0.0,42.477684020996094,0.25
0,2,28,0.375,46.300045013427734,0.75
0,2,29,0.5,44.22455978393555,0.625
0,2,30,0.0,37.31697082519531,0.5
0,3,0,0.125,39.97858428955078,0.375
0,3,1,0.0,34.74278259277344,0.25
0,3,2,0.0,40.22510528564453,0.125
0,3,3,0.25,41.77103805541992,0.5
0,3,4,0.0,43.92052459716797,0.375
0,3,5,0.25,47.989593505859375,0.75
0,3,6,0.0,49.34553146362305,0.25
0,3,7,0.375,37.042518615722656,0.625
0,3,8,0.125,33.23230743408203,0.375
0,3,9,0.25,42.330039978027344,0.5
0,3,10,0.375,51.940128326416016,0.625
0,3,11,0.125,34.857582092285156,0.375
0,3,12,0.0,33.32666015625,0.5
0,3,13,0.25,41.71633529663086,0.75
0,3,14,0.375,41.587135314941406,0.5
0,3,15,0.25,41.23459243774414,0.75
0,3,16,0.0,36.906700134277344,0.25
0,3,17,0.25,37.340003967285156,0.625
0,3,18,0.0,44.13753890991211,0.5
0,3,19,0.0,37.62660598754883,0.625
0,3,20,0.375,44.72386169433594,0.625
0,3,21,0.375,48.491912841796875,0.75
0,3,22,0.25,39.809547424316406,0.5
