,Epoch,Iteration,Accuracy,Loss,Top3
0,0,0,0.25,26.605224609375,0.375
0,0,1,0.125,21.85667610168457,0.5
0,0,2,0.125,20.79427719116211,0.75
0,0,3,0.25,18.98280143737793,0.625
0,0,4,0.125,22.877763748168945,0.25
0,0,5,0.0,23.471010208129883,0.125
0,0,6,0.125,20.61865234375,0.25
0,0,7,0.5,17.06951332092285,0.625
0,0,8,0.125,16.46415138244629,0.5
0,0,9,0.25,17.532691955566406,0.375
0,0,10,0.25,23.65003204345703,0.5
0,0,11,0.5,15.205279350280762,0.5
0,0,12,0.125,18.45551872253418,0.5
0,0,13,0.25,13.676870346069336,0.375
0,0,14,0.25,17.051511764526367,0.375
0,0,15,0.125,19.74464225769043,0.25
0,0,16,0.0,20.455995559692383,0.375
0,0,17,0.25,16.36223793029785,0.375
0,0,18,0.25,13.145627975463867,0.375
0,0,19,0.0,20.528459548950195,0.25
0,0,20,0.25,19.544139862060547,0.375
0,0,21,0.125,19.01854705810547,0.625
0,0,22,0.25,21.39632797241211,0.5
0,0,23,0.0,21.070213317871094,0.125
0,0,24,0.25,18.32198715209961,0.375
0,0,25,0.25,20.11467742919922,0.5
0,0,26,0.25,15.487902641296387,0.75
0,0,27,0.25,16.24506950378418,0.625
0,0,28,0.25,16.82949447631836,0.5
0,0,29,0.375,20.448352813720703,0.75
0,0,30,0.375,17.66038703918457,0.5
0,1,0,0.375,11.656020164489746,0.5
0,1,1,0.25,7.5764570236206055,0.5
0,1,2,0.375,8.381756782531738,0.5
0,1,3,0.5,9.131568908691406,0.5
0,1,4,0.25,10.10094165802002,0.5
0,1,5,0.125,12.66446590423584,0.375
0,1,6,0.625,15.969679832458496,0.75
0,1,7,0.5,7.805896282196045,0.875
0,1,8,0.375,8.619830131530762,0.75
0,1,9,0.25,6.373327732086182,0.625
0,1,10,0.375,16.5625,0.625
0,1,11,0.25,6.76953649520874,0.75
0,1,12,0.375,9.3317289352417,0.5
0,1,13,0.5,8.86805534362793,0.625
0,1,14,0.25,6.626040935516357,0.25
0,1,15,0.125,17.332122802734375,0.5
0,1,16,0.125,9.679616928100586,0.25
0,1,17,0.125,7.7404961585998535,0.375
0,1,18,0.125,12.183354377746582,0.375
0,1,19,0.375,8.179173469543457,0.375
0,1,20,0.25,10.898444175720215,0.5
0,1,21,0.375,7.149194717407227,0.5
0,1,22,0.5,7.174259185791016,0.625
0,1,23,0.0,10.809531211853027,0.25
0,1,24,0.5,4.202310085296631,0.625
0,1,25,0.5,8.90545654296875,0.5
0,1,26,0.25,9.905013084411621,0.5
0,1,27,0.25,9.779244422912598,0.375
0,1,28,0.375,7.2258734703063965,0.5
0,1,29,0.25,12.381244659423828,0.625
0,1,30,0.125,9.330927848815918,0.375
0,2,0,0.375,12.011619567871094,0.75
0,2,1,0.375,8.605241775512695,0.625
0,2,2,0.25,10.612100601196289,0.625
0,2,3,0.625,8.04804801940918,0.75
0,2,4,0.25,11.377747535705566,0.5
0,2,5,0.125,8.855650901794434,0.25
0,2,6,0.375,12.681987762451172,0.625
0,2,7,0.625,4.636380672454834,0.875
0,2,8,0.375,6.225788116455078,0.625
0,2,9,0.5,7.143820285797119,0.625
0,2,10,0.5,12.988466262817383,0.625
0,2,11,0.625,5.50559663772583,0.75
0,2,12,0.125,7.657657623291016,0.625
0,2,13,0.375,8.603313446044922,0.625
0,2,14,0.375,7.822600841522217,0.5
0,2,15,0.25,9.621672630310059,0.625
0,2,16,0.25,8.582889556884766,0.375
0,2,17,0.25,6.508309364318848,0.5
0,2,18,0.375,9.915130615234375,0.75
0,2,19,0.375,10.432995796203613,0.5
0,2,20,0.25,7.427552700042725,0.5
0,2,21,0.5,5.371996879577637,0.625
0,2,22,0.625,6.0491228103637695,0.75
0,2,23,0.375,11.332873344421387,0.375
0,2,24,0.375,7.302757263183594,0.5
0,2,25,0.625,7.171870708465576,0.625
0,2,26,0.625,6.265322208404541,0.75
0,2,27,0.125,6.583094120025635,0.625
0,2,28,0.25,7.573556900024414,0.5
0,2,29,0.5,7.146379470825195,0.75
0,2,30,0.25,8.348433494567871,0.375
0,3,0,0.25,8.891669273376465,0.625
0,3,1,0.5,7.845362186431885,0.625
0,3,2,0.125,9.208230972290039,0.375
0,3,3,0.5,6.486076831817627,0.875
0,3,4,0.125,10.223979949951172,0.5
0,3,5,0.125,9.26806926727295,0.375
0,3,6,0.25,13.067346572875977,0.625
0,3,7,0.5,4.2667555809021,0.75
0,3,8,0.5,5.54705810546875,0.625
0,3,9,0.25,7.363738536834717,0.75
0,3,10,0.375,12.052638053894043,0.625
0,3,11,0.625,5.491093158721924,0.75
0,3,12,0.25,5.970123767852783,0.75
0,3,13,0.375,7.450160026550293,0.75
0,3,14,0.25,5.351487636566162,0.75
0,3,15,0.5,10.17840576171875,0.5
0,3,16,0.25,8.101112365722656,0.5
0,3,17,0.375,5.270816326141357,0.875
0,3,18,0.625,8.26218318939209,0.625
0,3,19,0.375,6.658544540405273,0.75
0,3,20,0.0,5.128753662109375,0.625
0,3,21,0.375,3.635425090789795,0.625
0,3,22,0.375,4.866724491119385,0.75
0,3,23,0.25,10.2376127243042,0.625
0,3,24,0.25,5.558660984039307,0.5
0,3,25,0.375,5.05499267578125,0.75
0,3,26,0.375,5.264008522033691,0.75
0,3,27,0.25,5.5035834312438965,0.75
0,3,28,0.25,6.210329532623291,0.75
0,3,29,0.375,6.2959489822387695,0.75
0,3,30,0.125,5.404313564300537,0.625
0,4,0,0.5,6.830654621124268,0.625
0,4,1,0.5,5.706661224365234,0.625
0,4,2,0.125,8.09295654296875,0.625
0,4,3,0.5,4.876296520233154,0.75
0,4,4,0.25,7.134640216827393,0.875
0,4,5,0.125,8.32468318939209,0.75
0,4,6,0.25,7.3920111656188965,0.75
0,4,7,0.875,4.030303001403809,0.875
0,4,8,0.625,4.28096866607666,0.625
0,4,9,0.375,5.8111348152160645,0.75
0,4,10,0.375,10.347325325012207,0.75
0,4,11,0.625,4.675249099731445,0.75
0,4,12,0.5,5.297245979309082,0.75
0,4,13,0.625,5.201695919036865,0.75
0,4,14,0.375,5.592000961303711,0.625
0,4,15,0.25,8.232101440429688,0.625
0,4,16,0.25,5.36375617980957,0.75
0,4,17,0.375,5.329869747161865,0.5
0,4,18,0.625,6.06190299987793,0.625
0,4,19,0.375,7.6612749099731445,0.75
0,4,20,0.5,5.695860385894775,0.625
0,4,21,0.375,3.701934814453125,0.625
0,4,22,0.5,5.920829772949219,0.75
0,4,23,0.375,8.198044776916504,0.5
0,4,24,0.375,5.502269268035889,0.625
0,4,25,0.25,4.544823169708252,0.625
0,4,26,0.75,4.996996879577637,0.75
0,4,27,0.625,4.595499038696289,0.75
0,4,28,0.625,4.638547420501709,0.75
0,4,29,0.5,5.545352458953857,0.5
0,4,30,0.375,5.07719087600708,0.75
0,5,0,0.375,8.91356086730957,0.5
0,5,1,0.625,4.881091594696045,0.75
0,5,2,0.25,9.928730010986328,0.5
0,5,3,0.375,5.8356194496154785,0.625
0,5,4,0.25,8.330790519714355,0.625
0,5,5,0.375,5.641107082366943,0.75
0,5,6,0.5,8.793440818786621,0.625
0,5,7,0.875,3.7385852336883545,0.875
0,5,8,0.5,3.8824052810668945,0.75
0,5,9,0.625,5.3592000007629395,0.875
0,5,10,0.5,9.419379234313965,0.625
0,5,11,0.5,4.56516170501709,0.75
0,5,12,0.375,4.421785354614258,0.75
0,5,13,0.625,5.077736854553223,0.875
0,5,14,0.375,5.7246623039245605,0.75
0,5,15,0.375,8.130050659179688,0.625
0,5,16,0.5,6.0142130851745605,0.75
0,5,17,0.5,4.9958882331848145,0.75
0,5,18,0.375,7.430009365081787,0.75
0,5,19,0.75,6.360019207000732,0.75
0,5,20,0.625,4.75023889541626,0.625
0,5,21,0.375,3.365530252456665,0.5
0,5,22,0.5,4.8013410568237305,0.625
0,5,23,0.625,9.136124610900879,0.625
0,5,24,0.625,4.826730251312256,0.625
0,5,25,0.25,3.7360939979553223,0.625
0,5,26,0.5,5.702822208404541,0.625
0,5,27,0.625,3.867748260498047,0.75
0,5,28,0.75,3.87353253364563,0.875
0,5,29,0.5,5.799856662750244,0.75
0,5,30,0.5,5.482067584991455,0.625
0,6,0,0.25,6.945178508758545,0.5
0,6,1,0.375,4.935588836669922,0.75
0,6,2,0.25,8.100122451782227,0.625
0,6,3,0.5,5.468536853790283,0.75
0,6,4,0.25,7.263701438903809,0.5
0,6,5,0.375,4.467495918273926,0.75
0,6,6,0.5,7.327754020690918,0.625
0,6,7,0.75,3.5617151260375977,0.875
0,6,8,0.625,3.489011764526367,0.875
0,6,9,0.625,4.453828811645508,0.875
0,6,10,0.625,8.657026290893555,0.625
0,6,11,0.75,4.050282955169678,0.75
0,6,12,0.625,3.6197619438171387,0.75
0,6,13,0.75,3.958111524581909,0.875
0,6,14,0.5,5.357852458953857,0.625
0,6,15,0.375,7.367509365081787,0.5
0,6,16,0.625,4.526122570037842,0.625
0,6,17,0.5,4.209698677062988,0.875
0,6,18,0.625,5.673014163970947,0.75
0,6,19,0.625,5.833520889282227,0.75
0,6,20,0.375,4.85070276260376,0.625
0,6,21,0.5,3.657299518585205,0.5
0,6,22,0.625,5.7853193283081055,0.75
0,6,23,0.375,8.709783554077148,0.625
0,6,24,0.5,4.428013324737549,0.75
0,6,25,0.25,3.932039737701416,0.625
0,6,26,0.625,4.590022087097168,0.75
0,6,27,0.75,2.7464680671691895,0.75
0,6,28,0.75,3.3845207691192627,0.875
0,6,29,0.75,4.97462797164917,0.75
0,6,30,0.5,4.357459545135498,0.625
0,7,0,0.25,6.232579708099365,0.75
0,7,1,0.5,5.036735534667969,0.75
0,7,2,0.125,8.049003601074219,0.875
0,7,3,0.625,4.879981994628906,0.875
0,7,4,0.25,6.74174165725708,0.625
0,7,5,0.25,5.856845378875732,0.5
0,7,6,0.375,5.778016567230225,0.875
0,7,7,0.75,2.74916410446167,0.875
0,7,8,0.5,3.195434093475342,0.5
0,7,9,0.5,4.343332290649414,0.875
0,7,10,0.625,7.538766384124756,0.875
0,7,11,0.625,3.6841044425964355,0.75
0,7,12,0.625,3.2953691482543945,0.75
0,7,13,0.5,4.150577068328857,0.875
0,7,14,0.75,5.022335052490234,0.875
0,7,15,0.625,5.331388473510742,0.75
0,7,16,0.5,4.062158584594727,0.75
0,7,17,0.625,4.027777671813965,0.875
0,7,18,0.75,4.53895378112793,0.875
0,7,19,0.5,6.742082595825195,0.75
0,7,20,0.375,5.111793518066406,0.625
0,7,21,0.5,3.4752423763275146,0.75
0,7,22,0.5,6.046444416046143,0.625
0,7,23,0.375,8.773324966430664,0.75
0,7,24,0.625,4.889264106750488,0.75
0,7,25,0.375,4.811254501342773,0.625
0,7,26,0.5,4.707275390625,0.75
0,7,27,0.75,2.985496997833252,0.75
0,7,28,0.875,3.7221882343292236,0.875
0,7,29,0.625,4.50849723815918,0.75
0,7,30,0.375,4.021481990814209,0.625
0,8,0,0.5,7.1125102043151855,0.75
0,8,1,0.625,3.9295830726623535,0.75
0,8,2,0.125,7.649502277374268,0.625
0,8,3,0.5,4.95000696182251,0.75
0,8,4,0.25,6.779757499694824,0.75
0,8,5,0.25,5.538151741027832,0.625
0,8,6,0.25,7.307296276092529,0.75
0,8,7,0.875,2.081627130508423,0.875
0,8,8,0.625,3.2059273719787598,0.625
0,8,9,0.625,3.696713924407959,0.875
0,8,10,0.5,6.2914276123046875,1.0
0,8,11,0.75,3.778614044189453,0.75
0,8,12,0.625,3.077054262161255,0.75
0,8,13,0.75,3.720123529434204,0.875
0,8,14,0.5,4.124181270599365,0.875
0,8,15,0.5,5.1208367347717285,0.75
0,8,16,0.5,3.451491117477417,0.75
0,8,17,0.5,4.7976555824279785,0.875
0,8,18,0.625,5.042571067810059,0.75
0,8,19,0.5,6.604456901550293,0.75
0,8,20,0.625,3.9655168056488037,0.625
0,8,21,0.625,3.2742631435394287,0.625
0,8,22,0.625,5.143410682678223,0.75
0,8,23,0.5,9.101198196411133,0.5
0,8,24,0.625,4.208077430725098,0.75
0,8,25,0.5,3.294942855834961,0.625
0,8,26,0.625,4.396055221557617,0.875
0,8,27,0.75,3.309121608734131,0.75
0,8,28,0.875,2.732835292816162,0.875
0,8,29,0.75,3.458555221557617,0.75
0,8,30,0.375,5.083043575286865,0.625
0,9,0,0.625,7.079783916473389,0.75
0,9,1,0.625,3.943045139312744,0.625
0,9,2,0.375,7.882542133331299,0.625
0,9,3,0.5,5.007473468780518,0.75
0,9,4,0.25,6.2673869132995605,0.75
0,9,5,0.25,4.891414165496826,0.5
0,9,6,0.375,6.298526287078857,0.875
0,9,7,0.875,2.479797840118408,0.875
0,9,8,0.625,2.710841417312622,0.75
0,9,9,0.625,3.856760263442993,0.875
0,9,10,0.5,6.928593635559082,0.75
0,9,11,0.75,3.7752015590667725,0.75
0,9,12,0.625,2.6095755100250244,0.75
0,9,13,0.625,3.7065927982330322,0.875
0,9,14,0.625,3.9807536602020264,0.75
0,9,15,0.625,5.3494062423706055,0.625
0,9,16,0.5,3.5261740684509277,0.625
0,9,17,0.5,3.924788475036621,0.75
0,9,18,0.5,4.291632652282715,0.75
0,9,19,0.625,5.757319927215576,0.75
0,9,20,0.625,4.001262664794922,0.625
0,9,21,0.625,2.939223289489746,0.625
0,9,22,0.625,4.495939254760742,0.75
0,9,23,0.5,8.178200721740723,0.5
0,9,24,0.5,3.530900239944458,0.625
0,9,25,0.625,3.2624728679656982,0.625
0,9,26,0.75,4.5292277336120605,0.75
0,9,27,0.75,2.8961405754089355,0.75
0,9,28,0.75,2.721317768096924,0.875
0,9,29,0.5,3.7242696285247803,0.875
0,9,30,0.25,4.550573348999023,0.5
