,Epoch,Iteration,Accuracy,Loss,Top3
0,0,0,0.125,2.1530563831329346,0.625
0,0,1,0.125,2.2931408882141113,0.375
0,0,2,0.125,2.3946902751922607,0.375
0,0,3,0.0,2.337339401245117,0.5
0,0,4,0.25,2.2335364818573,0.5
0,0,5,0.0,2.3681740760803223,0.375
0,0,6,0.125,2.325709104537964,0.375
0,0,7,0.25,2.126091480255127,0.625
0,0,8,0.125,2.2214744091033936,0.5
0,0,9,0.25,2.3085241317749023,0.375
0,0,10,0.0,2.4223098754882812,0.375
0,0,11,0.125,2.127835750579834,0.625
0,0,12,0.125,2.3338863849639893,0.375
0,0,13,0.25,2.3190555572509766,0.375
0,0,14,0.0,2.3432469367980957,0.5
0,0,15,0.125,2.2655997276306152,0.5
0,0,16,0.125,2.4435935020446777,0.375
0,0,17,0.0,2.5146689414978027,0.375
0,0,18,0.125,2.260247230529785,0.625
0,0,19,0.125,2.2026283740997314,0.5
0,0,20,0.125,2.3278353214263916,0.375
0,0,21,0.25,2.3674163818359375,0.375
0,0,22,0.25,2.0986831188201904,0.625
0,0,23,0.125,2.3279361724853516,0.375
0,0,24,0.25,2.3272674083709717,0.375
0,0,25,0.0,2.227583169937134,0.5
0,0,26,0.125,2.2479312419891357,0.5
0,0,27,0.125,2.3125479221343994,0.375
0,0,28,0.0,2.4583499431610107,0.375
0,0,29,0.125,2.155775308609009,0.625
0,0,30,0.125,2.3156726360321045,0.5
0,1,0,0.125,2.1395204067230225,0.625
0,1,1,0.125,2.327981472015381,0.375
0,1,2,0.125,2.351747512817383,0.375
0,1,3,0.125,2.281219005584717,0.5
0,1,4,0.125,2.225551128387451,0.5
0,1,5,0.25,2.3482539653778076,0.375
0,1,6,0.0,2.3366687297821045,0.375
0,1,7,0.375,2.139408826828003,0.625
0,1,8,0.125,2.235539436340332,0.5
0,1,9,0.25,2.3129234313964844,0.375
0,1,10,0.0,2.4164376258850098,0.375
0,1,11,0.125,2.1375887393951416,0.625
0,1,12,0.125,2.368455171585083,0.375
0,1,13,0.25,2.309560537338257,0.375
0,1,14,0.0,2.3054757118225098,0.5
0,1,15,0.125,2.2993204593658447,0.5
0,1,16,0.125,2.3189797401428223,0.375
0,1,17,0.0,2.5136754512786865,0.375
0,1,18,0.125,2.1683261394500732,0.625
0,1,19,0.125,2.239525079727173,0.5
0,1,20,0.25,2.327436685562134,0.375
0,1,21,0.25,2.3955748081207275,0.375
0,1,22,0.375,2.136636734008789,0.625
0,1,23,0.125,2.356003761291504,0.375
0,1,24,0.375,2.322352409362793,0.375
0,1,25,0.125,2.2405264377593994,0.5
0,1,26,0.125,2.274637222290039,0.5
0,1,27,0.125,2.3023159503936768,0.375
0,1,28,0.0,2.49662709236145,0.375
0,1,29,0.125,2.1747419834136963,0.625
0,1,30,0.125,2.394528388977051,0.5
0,2,0,0.25,2.0998144149780273,0.5
0,2,1,0.25,2.3363025188446045,0.25
0,2,2,0.0,2.3450706005096436,0.25
0,2,3,0.25,2.1134941577911377,0.5
0,2,4,0.375,2.2557320594787598,0.375
0,2,5,0.125,2.3901357650756836,0.25
0,2,6,0.25,2.2340142726898193,0.375
0,2,7,0.25,2.1352193355560303,0.5
0,2,8,0.25,2.238100528717041,0.375
0,2,9,0.25,2.327507972717285,0.25
0,2,10,0.125,2.3125078678131104,0.375
0,2,11,0.25,2.1218886375427246,0.5
0,2,12,0.25,2.345974922180176,0.25
0,2,13,0.125,2.3620550632476807,0.25
0,2,14,0.375,2.1553597450256348,0.5
0,2,15,0.25,2.277597665786743,0.375
0,2,16,0.25,2.351041793823242,0.25
0,2,17,0.25,2.298943519592285,0.375
0,2,18,0.25,2.186467409133911,0.5
0,2,19,0.25,2.2393999099731445,0.375
0,2,20,0.25,2.353541135787964,0.25
0,2,21,0.25,2.2673141956329346,0.375
0,2,22,0.25,2.1273276805877686,0.5
0,2,23,0.25,2.357985496520996,0.25
0,2,24,0.125,2.3753268718719482,0.25
0,2,25,0.25,2.130546808242798,0.5
0,2,26,0.125,2.2612171173095703,0.375
0,2,27,0.125,2.3265457153320312,0.25
0,2,28,0.0,2.3332722187042236,0.375
0,2,29,0.125,2.1838908195495605,0.5
0,2,30,0.125,2.3330910205841064,0.375
0,3,0,0.375,2.158752918243408,0.5
0,3,1,0.25,2.2544243335723877,0.375
0,3,2,0.125,2.170201063156128,0.5
0,3,3,0.25,2.0125441551208496,0.875
0,3,4,0.375,2.2427854537963867,0.375
0,3,5,0.25,2.3385672569274902,0.375
0,3,6,0.375,2.078477621078491,0.625
0,3,7,0.5,2.097054958343506,0.75
0,3,8,0.25,2.2250332832336426,0.5
0,3,9,0.25,2.1298413276672363,0.5
0,3,10,0.25,2.228787422180176,0.625
0,3,11,0.5,2.123692274093628,0.625
0,3,12,0.25,2.322664260864258,0.375
0,3,13,0.375,2.1609621047973633,0.5
0,3,14,0.375,2.0578362941741943,0.75
0,3,15,0.25,2.211866855621338,0.5
0,3,16,0.25,2.349193811416626,0.375
0,3,17,0.125,2.301448106765747,0.625
0,3,18,0.25,2.1737334728240967,0.625
0,3,19,0.25,2.160529136657715,0.5
0,3,20,0.25,2.209268808364868,0.5
0,3,21,0.375,2.140573024749756,0.625
0,3,22,0.375,2.0191924571990967,0.625
0,3,23,0.25,2.283885955810547,0.375
0,3,24,0.25,2.175086498260498,0.5
0,3,25,0.25,2.0374643802642822,0.75
0,3,26,0.25,2.263167381286621,0.5
0,3,27,0.125,2.2512404918670654,0.5
0,3,28,0.25,2.1850533485412598,0.75
0,3,29,0.25,2.1321778297424316,0.625
0,3,30,0.125,2.4745211601257324,0.375
0,4,0,0.375,2.133427619934082,0.5
0,4,1,0.25,2.2879769802093506,0.375
0,4,2,0.25,2.2350666522979736,0.5
0,4,3,0.5,2.01741361618042,0.75
0,4,4,0.25,2.237881898880005,0.375
0,4,5,0.25,2.3365631103515625,0.375
0,4,6,0.375,2.1033551692962646,0.75
0,4,7,0.75,1.9978920221328735,0.75
0,4,8,0.375,2.1768064498901367,0.5
0,4,9,0.375,2.0988664627075195,0.625
0,4,10,0.125,2.1710739135742188,0.625
0,4,11,0.625,2.03070068359375,0.625
0,4,12,0.25,2.2758195400238037,0.5
0,4,13,0.375,2.1874709129333496,0.5
0,4,14,0.5,2.074383497238159,0.875
0,4,15,0.5,2.1630454063415527,0.5
0,4,16,0.125,2.4205126762390137,0.375
0,4,17,0.375,2.248025894165039,0.5
0,4,18,0.5,2.1207313537597656,0.625
0,4,19,0.375,2.2147316932678223,0.5
0,4,20,0.25,2.2470483779907227,0.375
0,4,21,0.375,2.1649904251098633,0.5
0,4,22,0.5,1.9984372854232788,0.625
0,4,23,0.25,2.3430051803588867,0.25
0,4,24,0.25,2.235264301300049,0.375
0,4,25,0.5,2.016176223754883,0.625
0,4,26,0.5,2.1564247608184814,0.5
0,4,27,0.375,2.1880805492401123,0.5
0,4,28,0.625,2.0312561988830566,0.75
0,4,29,0.625,1.9695789813995361,0.75
0,4,30,0.25,2.321293354034424,0.375
0,5,0,0.5,2.1250762939453125,0.5
0,5,1,0.25,2.297196865081787,0.5
0,5,2,0.375,2.216388702392578,0.625
0,5,3,0.5,2.053065061569214,0.875
0,5,4,0.125,2.2750399112701416,0.5
0,5,5,0.25,2.288618326187134,0.5
0,5,6,0.25,2.1829171180725098,0.75
0,5,7,0.5,2.0667474269866943,0.75
0,5,8,0.375,2.154496192932129,0.5
0,5,9,0.25,2.133056163787842,0.625
0,5,10,0.125,2.292246103286743,0.625
0,5,11,0.5,2.0999491214752197,0.625
0,5,12,0.25,2.255399227142334,0.5
0,5,13,0.25,2.2422537803649902,0.625
0,5,14,0.5,2.0510520935058594,0.875
0,5,15,0.5,2.1908130645751953,0.5
0,5,16,0.25,2.3263490200042725,0.5
0,5,17,0.375,2.2023165225982666,0.625
0,5,18,0.375,2.0934364795684814,0.75
0,5,19,0.375,2.202514171600342,0.5
0,5,20,0.25,2.2447047233581543,0.375
0,5,21,0.375,2.1996724605560303,0.5
0,5,22,0.5,2.0678999423980713,0.625
0,5,23,0.25,2.3454203605651855,0.375
0,5,24,0.375,2.211014986038208,0.375
0,5,25,0.5,2.0663461685180664,0.625
0,5,26,0.5,2.1650476455688477,0.5
0,5,27,0.375,2.1333136558532715,0.5
0,5,28,0.5,2.0374763011932373,0.75
0,5,29,0.375,1.9905989170074463,0.75
0,5,30,0.25,2.309256076812744,0.5
0,6,0,0.375,2.137645721435547,0.5
0,6,1,0.5,2.1466851234436035,0.5
0,6,2,0.5,2.0929229259490967,0.625
0,6,3,0.75,1.8581876754760742,0.875
0,6,4,0.125,2.2750937938690186,0.5
0,6,5,0.375,2.2494161128997803,0.375
0,6,6,0.375,2.1340272426605225,0.75
0,6,7,0.625,2.0200846195220947,0.75
0,6,8,0.5,2.1577460765838623,0.5
0,6,9,0.5,2.0804755687713623,0.625
0,6,10,0.125,2.153259515762329,0.625
0,6,11,0.5,2.0423786640167236,0.625
0,6,12,0.375,2.2577295303344727,0.5
0,6,13,0.5,2.0563268661499023,0.625
0,6,14,0.625,1.9723258018493652,0.75
0,6,15,0.5,2.186580181121826,0.5
0,6,16,0.25,2.242288112640381,0.5
0,6,17,0.5,2.11576771736145,0.625
0,6,18,0.5,2.0663297176361084,0.75
0,6,19,0.5,2.126582384109497,0.5
0,6,20,0.375,2.1633224487304688,0.5
0,6,21,0.5,2.117496967315674,0.625
0,6,22,0.625,2.022172689437866,0.625
0,6,23,0.25,2.2814576625823975,0.375
0,6,24,0.375,2.190713882446289,0.5
0,6,25,0.625,1.9724246263504028,0.75
0,6,26,0.375,2.2080883979797363,0.5
0,6,27,0.5,2.1203038692474365,0.5
0,6,28,0.75,1.9694302082061768,0.75
0,6,29,0.625,1.9625047445297241,0.75
0,6,30,0.25,2.2111940383911133,0.5
0,7,0,0.25,2.168858051300049,0.5
0,7,1,0.5,2.135802745819092,0.5
0,7,2,0.125,2.138584613800049,0.5
0,7,3,0.5,1.939153790473938,0.875
0,7,4,0.125,2.276580810546875,0.5
0,7,5,0.125,2.2595973014831543,0.375
0,7,6,0.375,2.1077349185943604,0.75
0,7,7,0.75,1.9843696355819702,0.75
0,7,8,0.5,2.160219669342041,0.5
0,7,9,0.5,2.0657846927642822,0.625
0,7,10,0.125,2.198733329772949,0.75
0,7,11,0.625,2.054661273956299,0.625
0,7,12,0.375,2.2440216541290283,0.5
0,7,13,0.5,2.050511360168457,0.625
0,7,14,0.75,1.984710931777954,0.875
0,7,15,0.5,2.2011585235595703,0.5
0,7,16,0.25,2.303471565246582,0.375
0,7,17,0.375,2.227806568145752,0.75
0,7,18,0.625,2.025452136993408,0.75
0,7,19,0.375,2.191689968109131,0.5
0,7,20,0.375,2.227138042449951,0.5
0,7,21,0.5,2.131519317626953,0.75
0,7,22,0.625,1.9908733367919922,0.625
0,7,23,0.25,2.332612991333008,0.5
0,7,24,0.375,2.179168701171875,0.375
0,7,25,0.625,2.008491277694702,0.875
0,7,26,0.5,2.1856980323791504,0.5
0,7,27,0.375,2.1210780143737793,0.5
0,7,28,0.5,2.010366201400757,0.75
0,7,29,0.625,1.9612480401992798,0.75
0,7,30,0.125,2.326746940612793,0.5
0,8,0,0.25,2.18502140045166,0.5
0,8,1,0.5,2.139683246612549,0.5
0,8,2,0.125,2.1781039237976074,0.625
0,8,3,0.625,1.960288643836975,0.875
0,8,4,0.25,2.2655270099639893,0.5
0,8,5,0.125,2.268198251724243,0.375
0,8,6,0.375,2.089224100112915,0.75
0,8,7,0.75,1.9848757982254028,0.75
0,8,8,0.5,2.128563404083252,0.5
0,8,9,0.5,2.07137131690979,0.625
0,8,10,0.125,2.1765663623809814,0.625
0,8,11,0.625,2.039642333984375,0.625
0,8,12,0.375,2.2360196113586426,0.5
0,8,13,0.5,2.0819091796875,0.625
0,8,14,0.625,1.9989737272262573,0.875
0,8,15,0.5,2.1710329055786133,0.5
0,8,16,0.125,2.3429999351501465,0.5
0,8,17,0.375,2.2230031490325928,0.75
0,8,18,0.5,2.096428155899048,0.75
0,8,19,0.375,2.166677951812744,0.5
0,8,20,0.375,2.2366886138916016,0.5
0,8,21,0.5,2.1364095211029053,0.75
0,8,22,0.625,1.9779772758483887,0.625
0,8,23,0.25,2.2999379634857178,0.375
0,8,24,0.375,2.185636043548584,0.375
0,8,25,0.5,2.0125930309295654,0.875
0,8,26,0.5,2.1564769744873047,0.5
0,8,27,0.375,2.114011287689209,0.5
0,8,28,0.625,1.9563742876052856,0.75
0,8,29,0.75,1.9298077821731567,0.75
0,8,30,0.125,2.247947931289673,0.5
0,9,0,0.25,2.1042001247406006,0.625
0,9,1,0.375,2.1586720943450928,0.5
0,9,2,0.25,2.1275148391723633,0.625
0,9,3,0.625,1.9204189777374268,0.875
0,9,4,0.25,2.2029922008514404,0.5
0,9,5,0.375,2.2643215656280518,0.375
0,9,6,0.375,2.104278802871704,0.625
0,9,7,0.75,2.009831190109253,0.75
0,9,8,0.5,2.1410744190216064,0.5
0,9,9,0.5,2.0685830116271973,0.625
0,9,10,0.125,2.1667401790618896,0.625
0,9,11,0.625,2.0332565307617188,0.625
0,9,12,0.375,2.259263038635254,0.5
0,9,13,0.625,2.052081346511841,0.625
0,9,14,0.5,2.015601873397827,0.875
0,9,15,0.5,2.1662240028381348,0.5
0,9,16,0.25,2.317283868789673,0.5
0,9,17,0.375,2.245445728302002,0.625
0,9,18,0.5,2.0840275287628174,0.75
0,9,19,0.375,2.136354446411133,0.5
0,9,20,0.375,2.225144863128662,0.5
0,9,21,0.5,2.1436421871185303,0.625
0,9,22,0.625,1.9790762662887573,0.625
0,9,23,0.25,2.300356388092041,0.375
0,9,24,0.375,2.198406934738159,0.375
0,9,25,0.625,2.0123510360717773,0.75
0,9,26,0.375,2.1789960861206055,0.5
0,9,27,0.5,2.116476058959961,0.5
0,9,28,0.625,1.990582823753357,0.75
0,9,29,0.625,1.967768907546997,0.75
0,9,30,0.25,2.2308733463287354,0.5
