,Epoch,Iteration,Accuracy,Loss,Top3
0,0,0,0.25,2.3197004795074463,0.5
0,0,1,0.5,2.162191390991211,0.625
0,0,2,0.125,2.3871212005615234,0.5
0,0,3,0.5,2.2178382873535156,0.625
0,0,4,0.125,2.2886393070220947,0.5
0,0,5,0.25,2.1848318576812744,0.625
0,0,6,0.25,2.146691083908081,0.625
0,0,7,0.625,2.056697130203247,0.75
0,0,8,0.625,2.157355546951294,0.625
0,0,9,0.25,2.1653966903686523,0.625
0,0,10,0.0,2.2478978633880615,0.625
0,0,11,0.5,2.156470537185669,0.625
0,0,12,0.25,2.234117269515991,0.625
0,0,13,0.5,2.134390354156494,0.625
0,0,14,0.125,2.1995151042938232,0.75
0,0,15,0.125,2.3518247604370117,0.5
0,0,16,0.125,2.2997303009033203,0.625
0,0,17,0.0,2.352165460586548,0.625
0,0,18,0.375,2.1790695190429688,0.75
0,0,19,0.5,2.1590166091918945,0.625
0,0,20,0.125,2.341778516769409,0.5
0,0,21,0.375,2.3168375492095947,0.5
0,0,22,0.25,2.1721243858337402,0.625
0,0,23,0.25,2.3473713397979736,0.5
0,0,24,0.375,2.2824418544769287,0.625
0,0,25,0.5,2.2161471843719482,0.625
0,0,26,0.375,2.2861971855163574,0.625
0,0,27,0.625,2.122445821762085,0.625
0,0,28,0.25,2.203793525695801,0.5
0,0,29,0.25,2.1168196201324463,0.75
0,0,30,0.25,2.3157665729522705,0.625
0,1,0,0.125,2.262850284576416,0.5
0,1,1,0.5,2.188021183013916,0.625
0,1,2,0.0,2.315843105316162,0.625
0,1,3,0.375,2.187700033187866,0.75
0,1,4,0.125,2.215547800064087,0.625
0,1,5,0.125,2.251526355743408,0.625
0,1,6,0.25,2.092312812805176,0.75
0,1,7,0.625,1.9673441648483276,0.875
0,1,8,0.625,2.1501431465148926,0.625
0,1,9,0.375,2.0596742630004883,0.75
0,1,10,0.125,2.142181396484375,0.625
0,1,11,0.625,2.0564634799957275,0.75
0,1,12,0.25,2.2300188541412354,0.625
0,1,13,0.375,2.0468223094940186,0.75
0,1,14,0.125,2.1309406757354736,0.875
0,1,15,0.25,2.245499610900879,0.625
0,1,16,0.125,2.317408323287964,0.625
0,1,17,0.125,2.273878574371338,0.5
0,1,18,0.375,2.076636552810669,0.875
0,1,19,0.375,2.1808009147644043,0.625
0,1,20,0.375,2.227177619934082,0.625
0,1,21,0.375,2.2338385581970215,0.5
0,1,22,0.375,2.069223165512085,0.75
0,1,23,0.25,2.356635808944702,0.375
0,1,24,0.5,2.183964729309082,0.5
0,1,25,0.5,2.1256208419799805,0.625
0,1,26,0.375,2.214287519454956,0.75
0,1,27,0.5,2.1378731727600098,0.625
0,1,28,0.375,2.1154322624206543,0.625
0,1,29,0.5,2.0271384716033936,0.875
0,1,30,0.25,2.327296257019043,0.5
0,2,0,0.375,2.1705033779144287,0.625
0,2,1,0.5,2.165483236312866,0.625
0,2,2,0.125,2.2443716526031494,0.75
0,2,3,0.5,2.095964193344116,0.875
0,2,4,0.125,2.209469795227051,0.625
0,2,5,0.125,2.260836362838745,0.625
0,2,6,0.25,2.0748937129974365,0.75
0,2,7,0.625,1.972467064857483,0.875
0,2,8,0.625,2.1480917930603027,0.625
0,2,9,0.375,2.078441858291626,0.75
0,2,10,0.125,2.145761251449585,0.625
0,2,11,0.625,2.0646777153015137,0.75
0,2,12,0.25,2.221630573272705,0.625
0,2,13,0.5,2.06734037399292,0.75
0,2,14,0.125,2.108109474182129,0.875
0,2,15,0.125,2.229818820953369,0.625
0,2,16,0.125,2.300877571105957,0.625
0,2,17,0.125,2.255786657333374,0.75
0,2,18,0.5,2.0660037994384766,0.875
0,2,19,0.5,2.1608169078826904,0.625
0,2,20,0.375,2.216243267059326,0.625
0,2,21,0.375,2.2118747234344482,0.5
0,2,22,0.375,2.050474166870117,0.75
0,2,23,0.375,2.3412299156188965,0.375
0,2,24,0.5,2.159274101257324,0.5
0,2,25,0.5,2.112452507019043,0.625
0,2,26,0.375,2.2018179893493652,0.75
0,2,27,0.5,2.125516414642334,0.625
0,2,28,0.375,2.0997278690338135,0.625
0,2,29,0.375,1.9948842525482178,0.875
0,2,30,0.125,2.312877655029297,0.5
0,3,0,0.5,2.1639013290405273,0.625
0,3,1,0.625,2.161013126373291,0.625
0,3,2,0.125,2.2227890491485596,0.75
0,3,3,0.625,2.0867209434509277,0.875
0,3,4,0.125,2.19357967376709,0.625
0,3,5,0.125,2.2354485988616943,0.625
0,3,6,0.25,2.0989928245544434,0.625
0,3,7,0.75,1.9593801498413086,0.875
0,3,8,0.625,2.1468875408172607,0.625
0,3,9,0.375,2.0644218921661377,0.75
0,3,10,0.25,2.154263734817505,0.75
0,3,11,0.625,2.0699164867401123,0.75
0,3,12,0.25,2.1965863704681396,0.75
0,3,13,0.5,2.059232473373413,0.75
0,3,14,0.125,2.1084837913513184,0.875
0,3,15,0.125,2.2307827472686768,0.5
0,3,16,0.125,2.2927098274230957,0.625
0,3,17,0.125,2.252971887588501,0.625
0,3,18,0.5,2.061262845993042,0.875
0,3,19,0.5,2.1796088218688965,0.625
0,3,20,0.375,2.198437213897705,0.625
0,3,21,0.375,2.212750196456909,0.5
0,3,22,0.5,2.0423738956451416,0.75
0,3,23,0.375,2.313978672027588,0.5
0,3,24,0.5,2.1348140239715576,0.75
0,3,25,0.5,2.1129117012023926,0.625
0,3,26,0.375,2.200958728790283,0.75
0,3,27,0.625,2.1193583011627197,0.625
0,3,28,0.375,2.0887253284454346,0.75
0,3,29,0.625,1.9966843128204346,0.875
0,3,30,0.25,2.2839701175689697,0.625
0,4,0,0.375,2.1667561531066895,0.625
0,4,1,0.5,2.160381555557251,0.625
0,4,2,0.125,2.220836639404297,0.625
0,4,3,0.5,2.0777575969696045,0.75
0,4,4,0.125,2.1996939182281494,0.5
0,4,5,0.125,2.229081392288208,0.5
0,4,6,0.25,2.1276557445526123,0.5
0,4,7,0.625,1.947745442390442,0.875
0,4,8,0.625,2.1333422660827637,0.625
0,4,9,0.5,2.0216965675354004,0.875
0,4,10,0.125,2.1549031734466553,0.75
