,Epoch,Iteration,Accuracy,Loss
0,0,0,0.125,2.397965669631958
0,0,1,0.375,2.1175715923309326
0,0,2,0.125,2.245889186859131
0,0,3,0.125,2.259974479675293
0,0,4,0.25,2.010697364807129
0,0,5,0.5,2.0455586910247803
0,0,6,0.375,2.206746816635132
0,0,7,0.625,2.0909206867218018
0,0,8,0.5,2.1337649822235107
0,0,9,0.25,2.1669132709503174
0,0,10,0.375,2.1065032482147217
0,0,11,0.625,2.04352068901062
0,0,12,0.625,2.070965528488159
0,0,13,0.375,2.2244656085968018
0,0,14,0.125,2.2548532485961914
0,0,15,0.375,2.0724611282348633
0,0,16,0.375,2.1752452850341797
0,0,17,0.375,2.14772629737854
0,0,18,0.625,2.0599613189697266
0,0,19,0.5,2.008988857269287
0,0,20,0.625,1.976543664932251
0,0,21,0.25,2.2019777297973633
0,0,22,0.5,2.018775701522827
0,0,23,0.625,2.0156610012054443
0,0,24,0.5,2.1416609287261963
0,0,25,0.25,2.2299959659576416
0,0,26,0.625,1.961241364479065
0,0,27,0.5,2.0848593711853027
0,0,28,0.5,2.1784448623657227
0,0,29,0.375,2.045070171356201
0,0,30,0.375,2.031157970428467
0,0,31,0.375,2.177359104156494
0,0,32,0.5,2.1115052700042725
0,0,33,0.625,1.9062871932983398
0,0,34,0.625,1.9967387914657593
0,0,35,0.375,2.1928083896636963
0,0,36,0.125,2.3087589740753174
0,0,37,0.5,2.064958333969116
0,0,38,0.5,1.9772051572799683
0,0,39,0.625,2.00258469581604
0,0,40,0.5,1.937049150466919
0,0,41,0.625,1.9430944919586182
0,0,42,0.625,1.9263510704040527
0,0,43,0.625,2.004607677459717
0,0,44,0.625,1.8799772262573242
0,0,45,0.5,1.9260666370391846
0,0,46,0.625,2.0111942291259766
0,0,47,0.75,1.912153720855713
0,0,48,0.625,1.8566958904266357
0,0,49,0.75,1.9608062505722046
0,0,50,0.375,2.0390892028808594
0,1,0,0.625,1.8653258085250854
0,1,1,0.5,1.8746732473373413
0,1,2,0.625,1.9089525938034058
0,1,3,0.375,1.9743283987045288
0,1,4,0.375,1.949773907661438
0,1,5,0.75,1.8006181716918945
0,1,6,0.625,1.9873936176300049
0,1,7,0.5,2.0259530544281006
0,1,8,0.625,1.9816325902938843
0,1,9,0.5,2.047530174255371
0,1,10,0.5,1.9845577478408813
0,1,11,0.5,1.9738837480545044
0,1,12,0.625,1.9840458631515503
0,1,13,0.5,2.1475536823272705
0,1,14,0.625,1.964768409729004
0,1,15,0.75,1.9588267803192139
0,1,16,0.625,1.980104684829712
0,1,17,0.625,1.9829939603805542
0,1,18,0.625,1.898052453994751
0,1,19,0.5,1.997380018234253
0,1,20,0.625,1.852168083190918
0,1,21,0.5,2.0216188430786133
0,1,22,0.625,1.858707308769226
0,1,23,0.5,1.8795394897460938
0,1,24,0.5,1.9534621238708496
0,1,25,0.75,1.938469648361206
0,1,26,0.75,1.83284592628479
0,1,27,0.625,1.868776559829712
0,1,28,0.5,2.020753860473633
0,1,29,0.625,1.8396228551864624
0,1,30,0.625,1.9595555067062378
0,1,31,0.5,1.999528169631958
0,1,32,0.5,2.02616286277771
0,1,33,0.625,1.921032190322876
0,1,34,0.5,1.9712153673171997
0,1,35,0.5,2.116636276245117
0,1,36,0.25,2.2365572452545166
0,1,37,0.75,2.01930570602417
0,1,38,0.5,1.8990113735198975
0,1,39,0.625,1.9001448154449463
0,1,40,0.75,1.8099896907806396
0,1,41,0.75,1.9283698797225952
0,1,42,0.625,1.8307652473449707
0,1,43,0.75,1.9366060495376587
0,1,44,0.875,1.827993631362915
0,1,45,0.875,1.8320118188858032
0,1,46,0.5,1.9440361261367798
0,1,47,0.75,1.8757662773132324
0,1,48,0.875,1.816459059715271
0,1,49,0.75,1.917518973350525
0,1,50,0.375,2.0218398571014404
0,2,0,0.75,1.8263150453567505
0,2,1,0.75,1.8479573726654053
0,2,2,0.625,1.8918030261993408
0,2,3,0.625,2.011338233947754
0,2,4,0.625,1.9064375162124634
0,2,5,0.875,1.8120837211608887
0,2,6,0.5,1.9863795042037964
0,2,7,0.75,1.9535703659057617
0,2,8,0.75,1.9524099826812744
0,2,9,0.625,1.9866397380828857
0,2,10,0.625,1.9592013359069824
0,2,11,0.75,1.9234446287155151
0,2,12,0.75,1.950920820236206
0,2,13,0.625,2.1194748878479004
0,2,14,0.75,1.9285032749176025
0,2,15,0.875,1.9113596677780151
0,2,16,0.75,1.9439541101455688
0,2,17,0.75,1.9697394371032715
0,2,18,0.875,1.8643748760223389
0,2,19,0.75,1.9522504806518555
0,2,20,0.75,1.8213982582092285
0,2,21,0.75,1.9750264883041382
0,2,22,0.875,1.8184646368026733
0,2,23,0.875,1.8802658319473267
0,2,24,0.75,1.9187523126602173
0,2,25,0.75,1.877448320388794
0,2,26,0.875,1.8181146383285522
0,2,27,0.75,1.8178133964538574
0,2,28,0.625,1.9781194925308228
0,2,29,0.875,1.7992219924926758
0,2,30,0.625,1.9516452550888062
0,2,31,0.5,1.9997743368148804
0,2,32,0.5,2.0081756114959717
0,2,33,0.875,1.902231216430664
0,2,34,0.5,1.9256553649902344
0,2,35,0.5,2.0919084548950195
0,2,36,0.375,2.200489044189453
0,2,37,0.75,1.9927457571029663
0,2,38,0.75,1.8817505836486816
0,2,39,0.75,1.8768187761306763
0,2,40,0.875,1.8032716512680054
0,2,41,0.875,1.8956258296966553
0,2,42,0.875,1.8264565467834473
0,2,43,0.625,1.94962477684021
0,2,44,0.875,1.8488458395004272
0,2,45,0.875,1.8363415002822876
0,2,46,0.75,1.9359544515609741
0,2,47,0.75,1.8681789636611938
0,2,48,0.875,1.8178311586380005
0,2,49,0.875,1.892327070236206
0,2,50,0.375,1.9981635808944702
0,3,0,0.875,1.7886271476745605
0,3,1,0.75,1.8367016315460205
0,3,2,0.625,1.8524930477142334
0,3,3,0.5,1.9600359201431274
0,3,4,0.75,1.8570921421051025
0,3,5,1.0,1.7525044679641724
0,3,6,0.625,1.9194813966751099
0,3,7,0.875,1.964049220085144
0,3,8,1.0,1.93028724193573
0,3,9,0.75,1.909110426902771
0,3,10,0.875,1.9268995523452759
0,3,11,0.875,1.8579152822494507
0,3,12,0.875,1.9102299213409424
0,3,13,0.875,1.9917547702789307
0,3,14,0.75,1.9074780941009521
0,3,15,0.875,1.9402447938919067
0,3,16,1.0,1.9138145446777344
0,3,17,0.875,1.9104502201080322
0,3,18,0.75,1.9179742336273193
0,3,19,1.0,1.863832950592041
0,3,20,0.5,1.8175932168960571
0,3,21,0.5,1.8422353267669678
0,3,22,0.625,1.8137478828430176
0,3,23,1.0,1.8534191846847534
0,3,24,0.625,1.7975211143493652
0,3,25,0.875,1.7207984924316406
0,3,26,0.875,1.7636138200759888
0,3,27,0.75,1.7954622507095337
0,3,28,0.875,1.805049180984497
