,Epoch,Iteration,Accuracy,Loss,Top3
0,0,0,0.0,424.43914794921875,0.0
0,0,1,0.0,17.33599281311035,0.0
0,0,2,0.0,16.426401138305664,0.125
0,0,3,0.125,24.147855758666992,0.25
0,0,4,0.25,17.367748260498047,0.75
0,0,5,0.125,15.029301643371582,0.25
0,0,6,0.25,14.900544166564941,0.25
0,0,7,0.0,26.180818557739258,0.0
0,0,8,0.25,24.24311065673828,0.375
0,0,9,0.375,17.031932830810547,0.5
0,0,10,0.5,13.269158363342285,0.5
0,0,11,0.25,12.625486373901367,0.5
0,0,12,0.125,13.58161449432373,0.125
0,0,13,0.25,13.431872367858887,0.25
0,0,14,0.25,16.35723114013672,0.375
0,0,15,0.25,16.975841522216797,0.25
0,0,16,0.125,19.199825286865234,0.25
0,0,17,0.125,24.995380401611328,0.125
0,0,18,0.25,36.958675384521484,0.25
0,0,19,0.125,46.22450256347656,0.25
0,0,20,0.125,45.954803466796875,0.125
0,0,21,0.125,15.731452941894531,0.25
0,0,22,0.125,17.117507934570312,0.125
0,0,23,0.25,17.94622802734375,0.25
0,0,24,0.125,17.101451873779297,0.25
0,0,25,0.25,14.60371208190918,0.25
0,0,26,0.0,15.754762649536133,0.125
0,0,27,0.125,15.995074272155762,0.375
0,0,28,0.25,19.073022842407227,0.375
0,0,29,0.25,18.226940155029297,0.375
0,0,30,0.125,21.516380310058594,0.375
0,0,31,0.0,16.01366424560547,0.125
0,0,32,0.0,17.793424606323242,0.0
0,0,33,0.125,17.201526641845703,0.375
0,0,34,0.125,11.32043170928955,0.25
0,0,35,0.125,8.827674865722656,0.25
0,0,36,0.0,9.870168685913086,0.0
0,0,37,0.125,12.387965202331543,0.25
0,0,38,0.25,17.404218673706055,0.25
0,0,39,0.25,11.525278091430664,0.5
0,0,40,0.125,11.479761123657227,0.25
0,0,41,0.0,13.019919395446777,0.125
0,0,42,0.125,18.920684814453125,0.125
0,0,43,0.125,15.281669616699219,0.25
0,0,44,0.25,12.87522029876709,0.25
0,0,45,0.125,16.7553768157959,0.25
0,0,46,0.0,17.314321517944336,0.25
0,0,47,0.0,16.24859046936035,0.0
0,0,48,0.25,18.839929580688477,0.25
0,0,49,0.25,17.989299774169922,0.375
0,0,50,0.125,19.269641876220703,0.125
0,0,51,0.0,49.224082946777344,0.0
0,0,52,0.0,13.62703800201416,0.125
0,0,53,0.25,43.53113555908203,0.25
0,0,54,0.125,56.523719787597656,0.25
0,0,55,0.0,34.720848083496094,0.0
0,0,56,0.0,24.263713836669922,0.25
0,0,57,0.0,13.119563102722168,0.125
0,0,58,0.125,27.352815628051758,0.125
0,0,59,0.0,18.680736541748047,0.125
0,0,60,0.25,14.271520614624023,0.375
0,0,61,0.0,15.702629089355469,0.0
0,0,62,0.0,14.167036056518555,0.25
0,0,63,0.125,12.280662536621094,0.125
0,0,64,0.0,13.484225273132324,0.125
0,0,65,0.25,15.475296020507812,0.25
0,0,66,0.0,14.681181907653809,0.0
0,0,67,0.25,16.917814254760742,0.375
0,0,68,0.125,15.216529846191406,0.25
0,0,69,0.0,16.294343948364258,0.25
0,0,70,0.125,18.114303588867188,0.25
0,0,71,0.0,20.51646614074707,0.125
0,0,72,0.0,17.346271514892578,0.0
0,0,73,0.125,13.847301483154297,0.25
0,0,74,0.125,10.68093490600586,0.25
0,0,75,0.125,12.30713176727295,0.25
0,0,76,0.0,12.060098648071289,0.125
0,0,77,0.25,17.83283233642578,0.375
0,0,78,0.0,11.103492736816406,0.25
0,0,79,0.0,8.584479331970215,0.0
0,0,80,0.125,10.583761215209961,0.25
0,0,81,0.125,16.446107864379883,0.25
0,0,82,0.25,12.628497123718262,0.25
0,0,83,0.25,11.617020606994629,0.25
0,0,84,0.125,15.380414009094238,0.25
0,0,85,0.125,17.37642478942871,0.125
0,0,86,0.0,17.638202667236328,0.25
0,0,87,0.125,23.98904800415039,0.125
0,0,88,0.0,19.453710556030273,0.25
0,0,89,0.125,24.467161178588867,0.5
0,0,90,0.0,13.842745780944824,0.125
0,0,91,0.0,12.573296546936035,0.0
0,0,92,0.125,11.990591049194336,0.125
0,0,93,0.25,11.343740463256836,0.375
0,0,94,0.125,14.435794830322266,0.125
0,0,95,0.125,15.123635292053223,0.125
0,0,96,0.125,14.18457317352295,0.375
0,0,97,0.0,28.521305084228516,0.0
0,0,98,0.125,40.911617279052734,0.25
0,0,99,0.125,20.611186981201172,0.125
0,0,100,0.25,17.962366104125977,0.25
0,0,101,0.375,13.929556846618652,0.5
0,0,102,0.0,19.38393783569336,0.125
0,0,103,0.125,14.938828468322754,0.25
0,0,104,0.375,12.687202453613281,0.375
0,0,105,0.375,18.930767059326172,0.625
0,0,106,0.125,13.724959373474121,0.125
0,0,107,0.0,14.048966407775879,0.125
0,0,108,0.0,13.701135635375977,0.125
0,0,109,0.125,16.940406799316406,0.125
0,0,110,0.375,19.032642364501953,0.375
0,0,111,0.0,13.681586265563965,0.0
0,0,112,0.25,32.093971252441406,0.25
0,0,113,0.25,33.39052200317383,0.25
0,0,114,0.0,28.44991683959961,0.0
0,0,115,0.125,54.351409912109375,0.375
0,0,116,0.25,7.356259822845459,0.25
0,0,117,0.125,40.52787399291992,0.375
0,0,118,0.125,25.054841995239258,0.25
0,0,119,0.25,22.223773956298828,0.375
0,0,120,0.25,26.18340301513672,0.25
0,1,0,0.5,15.685586929321289,0.625
0,1,1,0.25,13.211668014526367,0.375
0,1,2,0.375,13.26813793182373,0.5
0,1,3,0.5,18.173059463500977,0.625
0,1,4,0.125,17.366077423095703,0.5
0,1,5,0.25,13.808634757995605,0.5
0,1,6,0.125,12.373207092285156,0.375
0,1,7,0.5,13.418659210205078,0.5
0,1,8,0.625,12.283989906311035,0.625
0,1,9,0.375,18.413593292236328,0.5
0,1,10,0.25,15.37453556060791,0.625
0,1,11,0.25,13.607874870300293,0.375
0,1,12,0.25,11.711519241333008,0.5
0,1,13,0.375,13.675508499145508,0.5
0,1,14,0.375,17.911209106445312,0.375
0,1,15,0.125,15.627676010131836,0.25
0,1,16,0.25,14.903386116027832,0.75
0,1,17,0.25,16.302841186523438,0.5
0,1,18,0.375,15.261818885803223,0.375
0,1,19,0.375,13.270873069763184,0.5
0,1,20,0.125,10.902862548828125,0.25
0,1,21,0.125,15.788681030273438,0.375
0,1,22,0.0,12.801885604858398,0.25
0,1,23,0.25,12.225013732910156,0.375
0,1,24,0.375,13.286471366882324,0.375
0,1,25,0.25,14.604798316955566,0.25
0,1,26,0.25,9.422371864318848,0.375
0,1,27,0.125,14.349411010742188,0.375
0,1,28,0.125,17.900264739990234,0.375
0,1,29,0.125,17.436607360839844,0.125
0,1,30,0.0,22.356372833251953,0.0
0,1,31,0.375,12.124602317810059,0.375
0,1,32,0.0,15.103780746459961,0.0
0,1,33,0.125,22.941606521606445,0.375
0,1,34,0.125,11.172712326049805,0.25
0,1,35,0.25,9.985013961791992,0.375
0,1,36,0.25,9.365376472473145,0.25
0,1,37,0.375,9.782444953918457,0.5
0,1,38,0.375,16.33403205871582,0.625
0,1,39,0.25,9.818177223205566,0.5
0,1,40,0.25,8.929296493530273,0.375
0,1,41,0.125,7.8795485496521,0.125
0,1,42,0.0,15.659745216369629,0.25
0,1,43,0.125,11.976890563964844,0.5
0,1,44,0.25,8.60178279876709,0.375
0,1,45,0.125,23.79952621459961,0.125
0,1,46,0.125,12.86465072631836,0.125
0,1,47,0.125,13.11770248413086,0.25
