,Epoch,Iteration,Accuracy,Loss,Top3
0,0,0,0.125,2.3026022911071777,0.375
0,0,1,0.125,2.302286148071289,0.25
0,0,2,0.125,2.1755311489105225,0.75
0,0,3,0.375,2.2400014400482178,0.625
0,0,4,0.25,2.2399532794952393,0.375
0,0,5,0.5,2.101437568664551,0.625
0,0,6,0.25,2.1214683055877686,0.625
0,0,7,0.375,2.081646203994751,0.625
0,0,8,0.5,2.037004232406616,0.625
0,0,9,0.375,2.0644898414611816,0.625
0,0,10,0.5,2.1145782470703125,0.5
0,0,11,0.5,2.0570499897003174,0.625
0,0,12,0.5,2.034214735031128,0.625
0,0,13,0.375,2.059913158416748,0.75
0,0,14,0.25,2.157778739929199,0.5
0,0,15,0.375,2.1291990280151367,0.5
0,0,16,0.375,2.0957748889923096,0.625
0,0,17,0.625,1.9929389953613281,0.625
0,0,18,0.625,1.9183909893035889,0.75
0,0,19,0.5,2.0941879749298096,0.5
0,0,20,0.375,2.118985176086426,0.5
0,0,21,0.625,2.0425240993499756,0.625
0,0,22,0.5,1.930040717124939,0.75
0,0,23,0.5,1.869643211364746,0.75
0,0,24,0.5,2.0447516441345215,0.5
0,0,25,0.375,2.0122368335723877,0.5
0,0,26,0.5,1.950764775276184,0.625
0,0,27,0.375,1.922052264213562,0.75
0,0,28,0.75,1.8753758668899536,0.875
0,0,29,0.25,2.123382568359375,0.5
0,0,30,0.5,2.046469211578369,0.625
0,0,31,0.375,2.1076784133911133,0.625
0,0,32,0.5,2.1053833961486816,0.5
0,0,33,0.25,2.0462887287139893,0.75
0,0,34,0.375,2.0355007648468018,0.625
0,0,35,0.5,1.9927923679351807,0.625
0,0,36,0.5,1.9837241172790527,0.625
0,0,37,0.625,1.8408005237579346,0.75
0,0,38,0.625,1.8138571977615356,1.0
0,0,39,0.375,1.9573702812194824,0.75
0,0,40,0.375,1.9676189422607422,0.75
0,0,41,0.5,1.9213331937789917,0.75
0,0,42,0.375,1.9003046751022339,0.75
0,0,43,0.625,1.7360656261444092,1.0
0,0,44,0.625,1.9299657344818115,0.75
0,0,45,0.5,2.0728683471679688,0.625
0,0,46,0.375,2.050675392150879,0.75
0,0,47,0.625,1.985591173171997,0.75
0,0,48,0.625,1.8525582551956177,0.875
0,0,49,0.375,2.0832767486572266,0.625
0,0,50,0.5,2.016315221786499,0.875
0,0,51,0.625,1.8765803575515747,0.875
0,0,52,0.25,1.9476252794265747,0.75
0,0,53,0.625,1.8335118293762207,0.875
0,0,54,0.5,1.9859888553619385,0.625
0,0,55,0.625,1.8439712524414062,0.875
0,0,56,0.5,2.033766746520996,0.75
0,0,57,0.25,2.1168432235717773,0.75
0,0,58,0.375,2.0098981857299805,0.875
0,0,59,0.375,2.0295603275299072,0.875
0,0,60,0.5,1.8859044313430786,0.875
0,0,61,0.375,2.005342721939087,1.0
0,0,62,0.625,1.7703514099121094,1.0
0,0,63,0.5,1.7459884881973267,1.0
0,0,64,0.5,1.809609293937683,0.875
0,0,65,0.5,1.825862169265747,0.875
0,0,66,0.375,1.74375319480896,1.0
0,0,67,0.75,1.7560653686523438,1.0
0,0,68,0.625,1.8662447929382324,1.0
0,0,69,0.625,1.904836893081665,0.875
0,0,70,0.625,1.8943272829055786,1.0
0,0,71,0.375,1.9812684059143066,0.75
0,0,72,0.5,1.9311667680740356,1.0
0,0,73,0.75,1.8115954399108887,1.0
0,0,74,0.375,2.1333377361297607,0.625
0,0,75,0.375,2.1005947589874268,0.625
0,0,76,0.375,2.0214157104492188,0.625
0,0,77,0.5,1.8804774284362793,0.875
0,0,78,0.5,1.9499590396881104,1.0
0,0,79,0.375,2.013380527496338,0.875
0,0,80,0.625,1.8941073417663574,1.0
0,0,81,0.5,1.9119447469711304,1.0
0,0,82,0.375,2.0120110511779785,0.875
0,0,83,0.5,1.9001191854476929,1.0
0,0,84,0.75,1.7443623542785645,1.0
0,0,85,0.5,1.8346714973449707,0.875
0,0,86,0.375,1.7479602098464966,1.0
0,0,87,0.375,1.8543943166732788,0.875
0,0,88,0.375,1.8628443479537964,0.875
0,0,89,0.5,1.8394747972488403,0.875
0,0,90,0.5,1.8093006610870361,0.875
0,0,91,0.5,1.847044587135315,1.0
0,0,92,0.5,1.8243765830993652,1.0
0,0,93,0.625,1.8519558906555176,1.0
0,0,94,0.625,1.8039305210113525,1.0
0,0,95,0.625,1.808194875717163,1.0
0,0,96,0.5,1.8839752674102783,1.0
0,0,97,0.75,1.7183923721313477,1.0
0,0,98,0.5,1.7896325588226318,1.0
0,0,99,0.625,1.7014455795288086,1.0
0,0,100,0.75,1.715383529663086,1.0
0,0,101,0.75,1.7560248374938965,1.0
0,0,102,0.625,1.8937748670578003,1.0
0,0,103,0.75,1.8227430582046509,1.0
0,0,104,0.875,1.7788989543914795,1.0
0,0,105,0.875,1.763686180114746,1.0
0,0,106,0.75,1.947515845298767,1.0
0,0,107,0.5,2.0214309692382812,0.875
0,0,108,0.5,1.8865699768066406,1.0
0,0,109,0.5,1.976669192314148,1.0
