,Epoch,Iteration,Accuracy,Loss,Top3
0,0,0,0.125,2.3979108333587646,0.375
0,0,1,0.0,2.3979651927948,0.0
0,0,2,0.375,2.2992801666259766,0.625
0,0,3,0.125,2.4426605701446533,0.25
0,0,4,0.375,2.249115228652954,0.375
0,0,5,0.25,2.260668992996216,0.375
0,0,6,0.375,2.2060136795043945,0.375
0,0,7,0.25,2.23392915725708,0.375
0,0,8,0.25,2.2759745121002197,0.375
0,0,9,0.375,2.2492425441741943,0.375
0,0,10,0.375,2.1950252056121826,0.375
0,0,11,0.5,2.2275283336639404,0.5
0,0,12,0.25,2.232182741165161,0.375
0,0,13,0.5,2.2293460369110107,0.5
0,0,14,0.125,2.352067708969116,0.25
0,0,15,0.375,2.2543258666992188,0.625
0,0,16,0.25,2.3485865592956543,0.25
0,0,17,0.375,2.201295852661133,0.5
0,0,18,0.125,2.3377573490142822,0.375
0,0,19,0.375,2.1341352462768555,0.5
0,0,20,0.375,2.1273741722106934,0.5
0,0,21,0.375,2.0972039699554443,0.625
0,0,22,0.5,2.089491367340088,0.625
0,0,23,0.375,2.2323341369628906,0.375
0,0,24,0.625,2.0531818866729736,0.625
0,0,25,0.375,2.2054474353790283,0.5
0,0,26,0.625,2.031233072280884,0.625
0,0,27,0.25,2.302187442779541,0.375
0,0,28,0.625,1.9691482782363892,0.75
0,0,29,0.375,2.196852684020996,0.5
0,0,30,0.5,2.1233506202697754,0.5
0,0,31,0.375,2.1782071590423584,0.5
0,0,32,0.375,2.2484309673309326,0.625
0,0,33,0.375,2.1685564517974854,0.625
0,0,34,0.375,2.205805778503418,0.375
0,0,35,0.375,2.274104595184326,0.625
0,0,36,0.125,2.420886278152466,0.375
0,0,37,0.25,2.1939048767089844,0.625
0,0,38,0.375,2.2234549522399902,0.375
0,0,39,0.625,1.9643408060073853,0.75
0,0,40,0.375,2.1908137798309326,0.5
0,0,41,0.375,2.1900553703308105,0.5
0,0,42,0.375,2.130192756652832,0.5
0,0,43,0.375,2.098013162612915,0.625
0,0,44,0.625,2.0596659183502197,0.625
0,0,45,0.25,2.253551959991455,0.375
0,0,46,0.375,2.107684373855591,0.625
0,0,47,0.5,2.1288869380950928,0.625
0,0,48,0.625,2.0232841968536377,0.75
0,0,49,0.375,2.2153451442718506,0.5
0,0,50,0.375,2.133172035217285,0.625
0,0,51,0.5,2.1496047973632812,0.5
0,0,52,0.375,2.229386329650879,0.5
0,0,53,0.25,2.215074062347412,0.5
0,0,54,0.375,2.1554911136627197,0.625
0,0,55,0.375,2.062958002090454,0.625
0,0,56,0.375,2.0868024826049805,0.5
0,0,57,0.5,2.0975282192230225,0.625
0,0,58,0.625,2.084959030151367,0.625
0,0,59,0.625,1.9695489406585693,0.75
0,0,60,0.375,2.1279022693634033,0.5
0,0,61,0.625,2.0439908504486084,0.75
0,0,62,0.375,2.2483110427856445,0.625
0,0,63,0.25,2.2909772396087646,0.625
0,0,64,0.375,2.2826125621795654,0.625
0,0,65,0.625,2.1762142181396484,0.75
0,0,66,0.5,1.9159958362579346,0.875
0,0,67,0.25,2.198455810546875,0.625
0,0,68,0.375,2.1209795475006104,0.625
0,0,69,0.375,2.053755760192871,0.75
0,0,70,0.25,2.0491793155670166,0.875
0,0,71,0.5,2.0715432167053223,0.625
0,0,72,0.375,1.998167634010315,0.75
0,0,73,0.75,2.025878429412842,0.75
0,0,74,0.5,2.071404457092285,0.75
0,0,75,0.25,2.242082118988037,0.625
0,0,76,0.75,2.099828004837036,0.75
0,0,77,0.625,2.008091926574707,0.875
0,0,78,0.25,2.2653005123138428,0.625
0,0,79,0.5,2.186666488647461,0.625
0,0,80,0.375,2.1029763221740723,0.75
0,0,81,0.25,2.2222321033477783,0.5
0,0,82,0.375,2.152215003967285,0.5
0,0,83,0.25,2.1399142742156982,0.625
0,0,84,0.125,2.2834291458129883,0.5
0,0,85,0.25,2.1851298809051514,0.625
0,0,86,0.375,2.233642101287842,0.375
0,0,87,0.375,2.1496384143829346,0.75
0,0,88,0.625,2.0074245929718018,0.75
0,0,89,0.25,2.263484239578247,0.5
0,0,90,0.375,2.20314359664917,0.5
0,0,91,0.5,2.097292184829712,0.625
0,0,92,0.5,2.022721767425537,0.75
0,0,93,0.25,2.2263381481170654,0.5
0,0,94,0.5,2.0486867427825928,0.75
0,0,95,0.5,2.0961222648620605,0.5
0,0,96,0.5,2.086376190185547,0.625
0,0,97,0.125,2.2958528995513916,0.375
0,0,98,0.5,2.0256893634796143,0.625
0,0,99,0.5,2.002291202545166,0.75
0,0,100,0.375,2.169909715652466,0.5
0,0,101,0.375,2.116575241088867,0.625
0,0,102,0.5,2.1178293228149414,0.625
0,0,103,0.5,1.9618632793426514,0.75
0,0,104,0.375,2.1551196575164795,0.5
0,0,105,0.5,2.0358221530914307,0.75
0,0,106,0.625,2.022148370742798,0.625
0,0,107,0.5,1.9946049451828003,0.625
0,0,108,0.375,2.151454210281372,0.5
0,0,109,0.625,1.9226136207580566,0.75
0,0,110,0.625,1.9128977060317993,0.75
0,0,111,0.375,2.115086793899536,0.5
0,0,112,0.5,2.08213472366333,0.625
0,0,113,0.625,2.049272298812866,0.625
0,0,114,0.75,2.0044314861297607,0.75
0,0,115,0.5,2.231811285018921,0.5
0,0,116,0.5,2.0351154804229736,0.75
0,0,117,0.5,2.1375322341918945,0.625
0,0,118,0.375,2.169163465499878,0.625
0,0,119,0.25,2.217118263244629,0.5
0,0,120,0.25,2.170750617980957,0.625
0,0,121,0.625,2.0451221466064453,0.75
0,0,122,0.375,2.17594575881958,0.5
0,0,123,0.375,2.2077748775482178,0.5
0,0,124,0.5,2.1018483638763428,0.625
0,0,125,0.375,2.0424110889434814,0.75
0,0,126,0.5,2.1146657466888428,0.5
0,0,127,0.625,1.9696099758148193,0.75
0,0,128,0.625,2.149054527282715,0.625
0,0,129,0.5,2.076578140258789,0.625
0,0,130,0.375,2.14982271194458,0.5
0,0,131,0.75,1.8767361640930176,0.75
0,0,132,0.625,1.9584693908691406,0.75
0,0,133,0.375,2.1849288940429688,0.5
0,1,0,0.625,1.9992464780807495,0.75
0,1,1,0.375,2.2351388931274414,0.5
0,1,2,0.625,2.061351776123047,0.75
0,1,3,0.125,2.213202476501465,0.625
0,1,4,0.5,2.120328903198242,0.625
0,1,5,0.375,2.159977436065674,0.5
0,1,6,0.75,1.9678691625595093,0.75
0,1,7,0.5,2.1465795040130615,0.75
0,1,8,0.375,2.2206978797912598,0.5
0,1,9,0.375,2.1314995288848877,0.625
0,1,10,0.5,2.116142511367798,0.625
0,1,11,0.625,2.018958330154419,0.75
