,Epoch,Iteration,Accuracy,Loss,Top3
0,0,0,0.125,446.87359619140625,0.375
0,0,1,0.25,18.032451629638672,0.25
0,0,2,0.125,446.87359619140625,0.375
0,0,3,0.125,431.55841064453125,0.375
0,0,4,0.0,410.3558044433594,0.125
0,0,5,0.125,407.1474609375,0.25
0,0,6,0.125,404.8379821777344,0.375
0,0,7,0.125,364.6047058105469,0.5
0,0,8,0.125,209.73109436035156,0.25
0,0,9,0.125,123.26741027832031,0.25
0,0,10,0.0,68.54978942871094,0.375
0,0,11,0.25,58.65829086303711,0.25
0,0,12,0.0,61.1294059753418,0.125
0,0,13,0.0,54.42753601074219,0.375
0,0,14,0.125,38.228485107421875,0.25
0,0,15,0.0,22.516414642333984,0.125
0,0,16,0.0,20.485958099365234,0.0
0,0,17,0.125,22.981964111328125,0.375
0,0,18,0.125,20.90175437927246,0.25
0,0,19,0.0,19.60860252380371,0.0
0,0,20,0.125,31.271772384643555,0.25
0,0,21,0.25,42.38561248779297,0.25
0,0,22,0.25,17.272096633911133,0.375
0,0,23,0.0,73.68464660644531,0.25
0,0,24,0.125,15.55495834350586,0.25
0,0,25,0.125,36.28026580810547,0.125
0,0,26,0.125,32.05152893066406,0.25
0,0,27,0.0,18.966882705688477,0.125
0,0,28,0.125,22.194820404052734,0.375
0,0,29,0.125,18.314786911010742,0.125
0,0,30,0.0,18.119403839111328,0.25
0,0,31,0.0,23.796205520629883,0.125
0,0,32,0.0,18.681306838989258,0.125
0,0,33,0.125,18.520423889160156,0.125
0,0,34,0.0,22.908733367919922,0.125
0,0,35,0.0,21.141498565673828,0.125
0,0,36,0.125,16.87225341796875,0.125
0,0,37,0.125,21.227136611938477,0.125
0,0,38,0.0,20.52337646484375,0.125
0,0,39,0.125,25.38743782043457,0.125
0,0,40,0.125,14.000289916992188,0.125
0,0,41,0.125,20.497081756591797,0.25
0,0,42,0.0,21.579442977905273,0.0
0,0,43,0.125,13.678303718566895,0.125
0,0,44,0.125,25.934429168701172,0.125
0,0,45,0.125,14.14596939086914,0.25
0,0,46,0.0,12.87508487701416,0.375
0,0,47,0.125,15.605498313903809,0.125
0,0,48,0.125,12.716933250427246,0.375
0,0,49,0.0,20.10780143737793,0.0
0,0,50,0.125,19.9359130859375,0.25
0,0,51,0.125,25.638174057006836,0.5
0,0,52,0.125,20.524398803710938,0.125
0,0,53,0.0,22.270612716674805,0.125
0,0,54,0.0,29.649927139282227,0.125
0,0,55,0.125,20.380748748779297,0.375
