,Epoch,Iteration,Accuracy,Loss,Top3
0,0,0,0.0,2.41178560256958,0.25
0,0,1,0.25,2.264875888824463,0.625
0,0,2,0.125,2.1990532875061035,0.625
0,0,3,0.0,2.282090663909912,0.625
0,0,4,0.375,1.9552268981933594,0.875
0,0,5,0.375,2.0522139072418213,0.625
0,0,6,0.0,2.1099812984466553,0.625
0,0,7,0.375,2.057109832763672,0.875
0,0,8,0.5,2.0791876316070557,0.75
0,0,9,0.25,2.1670913696289062,0.625
0,0,10,0.5,2.0895473957061768,0.625
0,0,11,0.5,1.9784252643585205,0.875
0,0,12,0.375,2.0897157192230225,0.75
0,0,13,0.375,2.1213531494140625,0.625
0,0,14,0.125,2.3257038593292236,0.5
0,0,15,0.25,2.1269748210906982,0.875
0,0,16,0.125,2.230334997177124,0.625
0,0,17,0.25,2.198838710784912,0.5
0,0,18,0.375,2.144543409347534,0.625
0,0,19,0.625,1.9189835786819458,0.875
0,0,20,0.5,2.0284500122070312,0.625
0,0,21,0.375,2.080638885498047,0.625
0,0,22,0.5,1.8983590602874756,0.875
0,0,23,0.375,1.9970417022705078,0.75
0,0,24,0.25,2.1284875869750977,0.625
0,0,25,0.25,2.1691348552703857,0.625
0,0,26,0.25,1.7909659147262573,1.0
0,0,27,0.25,2.067080497741699,0.625
0,0,28,0.25,2.093475103378296,0.625
0,0,29,0.25,1.9725966453552246,0.75
0,0,30,0.375,1.9888639450073242,0.75
0,0,31,0.5,2.177971363067627,0.625
0,0,32,0.125,2.180934190750122,0.625
0,0,33,0.5,2.0139968395233154,0.75
0,0,34,0.625,1.9709676504135132,0.75
0,0,35,0.125,2.3193302154541016,0.5
0,0,36,0.25,2.260664224624634,0.5
0,0,37,0.375,1.9806524515151978,0.875
0,0,38,0.375,1.9967726469039917,0.625
0,0,39,0.5,2.0896761417388916,0.625
0,0,40,0.375,2.0125513076782227,0.75
0,0,41,0.5,1.870853066444397,0.875
0,0,42,0.5,2.0055978298187256,0.625
0,0,43,0.25,2.0970442295074463,0.625
0,0,44,0.5,1.868412733078003,0.875
0,0,45,0.625,1.9794032573699951,0.75
0,0,46,0.5,2.0106377601623535,0.625
0,0,47,0.5,1.9953083992004395,0.625
0,0,48,0.5,1.7609835863113403,1.0
0,0,49,0.25,2.10683274269104,0.625
0,0,50,0.25,2.265133857727051,0.5
0,0,51,0.25,2.050246238708496,0.75
0,0,52,0.375,2.0577850341796875,0.75
0,0,53,0.5,2.062389850616455,0.625
0,0,54,0.125,2.27793550491333,0.5
0,0,55,0.25,2.05161714553833,0.75
0,0,56,0.375,2.0267210006713867,0.75
0,0,57,0.25,2.177713394165039,0.5
0,0,58,0.25,2.182993173599243,0.625
0,0,59,0.5,1.8348368406295776,0.875
0,0,60,0.25,2.06187105178833,0.625
0,0,61,0.25,2.2107620239257812,0.625
0,0,62,0.0,2.2118637561798096,0.75
0,0,63,0.375,2.1138410568237305,0.75
0,0,64,0.125,2.172248125076294,0.625
0,0,65,0.125,2.332993984222412,0.5
0,0,66,0.375,1.9090924263000488,0.875
0,0,67,0.5,2.089226722717285,0.75
0,0,68,0.375,2.056968927383423,0.625
0,0,69,0.375,2.0308470726013184,0.625
0,0,70,0.5,1.8925211429595947,1.0
0,0,71,0.375,1.9866093397140503,0.625
0,0,72,0.25,2.0036561489105225,0.625
0,0,73,0.5,1.9175418615341187,0.75
0,0,74,0.625,1.8510074615478516,0.875
0,0,75,0.25,2.151968002319336,0.625
0,0,76,0.5,2.1437177658081055,0.625
0,0,77,0.375,1.9826480150222778,0.875
0,0,78,0.625,2.1026124954223633,0.75
0,0,79,0.375,2.16373348236084,0.625
0,0,80,0.125,2.1217963695526123,0.625
0,0,81,0.25,2.1901798248291016,0.625
0,0,82,0.25,2.1295969486236572,0.5
0,0,83,0.0,2.265446186065674,0.5
0,0,84,0.0,2.307584285736084,0.75
0,0,85,0.25,2.153430938720703,0.625
0,0,86,0.125,2.256328582763672,0.375
0,0,87,0.25,2.321080446243286,0.5
0,0,88,0.625,1.913345456123352,0.875
0,0,89,0.375,2.104612112045288,0.75
0,0,90,0.25,2.1646525859832764,0.625
0,0,91,0.5,2.0582523345947266,0.625
0,0,92,0.625,1.8515148162841797,1.0
0,0,93,0.375,2.114478826522827,0.625
0,0,94,0.25,2.0414624214172363,0.625
0,0,95,0.625,1.945665717124939,0.75
0,0,96,0.625,1.8879475593566895,0.875
0,0,97,0.375,2.1086950302124023,0.625
0,0,98,0.5,2.038236141204834,0.625
0,0,99,0.375,1.8298581838607788,0.875
0,0,100,0.625,1.9396041631698608,0.75
0,0,101,0.25,2.074610471725464,0.625
0,0,102,0.125,2.1744954586029053,0.625
0,0,103,0.375,1.7425462007522583,1.0
0,0,104,0.375,2.0338144302368164,0.625
0,0,105,0.5,2.1191728115081787,0.625
0,0,106,0.25,1.971481204032898,0.75
0,0,107,0.5,1.8201290369033813,0.875
0,0,108,0.5,1.9970855712890625,0.625
0,0,109,0.5,2.03778338432312,0.625
0,0,110,0.5,1.857589602470398,0.875
0,0,111,0.625,1.9149445295333862,0.75
0,0,112,0.375,2.152874231338501,0.625
0,0,113,0.625,2.01789927482605,0.625
0,0,114,0.75,1.8164433240890503,1.0
0,0,115,0.5,2.0758860111236572,0.625
0,0,116,0.5,2.068561315536499,0.625
0,0,117,0.25,2.1479687690734863,0.75
0,0,118,0.25,2.003828287124634,0.875
0,0,119,0.375,2.1076714992523193,0.625
0,0,120,0.125,2.2005443572998047,0.5
0,0,121,0.375,2.015946626663208,0.875
0,0,122,0.5,2.0729944705963135,0.625
0,0,123,0.125,2.255995273590088,0.5
0,0,124,0.375,2.1065733432769775,0.625
0,0,125,0.25,1.9804538488388062,0.875
0,0,126,0.375,2.125065326690674,0.5
0,0,127,0.25,2.038762092590332,0.625
0,0,128,0.375,2.1332180500030518,0.625
