,Epoch,Iteration,Accuracy,Loss,Top3
0,0,0,0.125,2.3436896800994873,0.375
0,0,1,0.25,2.2662246227264404,0.625
0,0,2,0.125,2.208684206008911,0.625
0,0,3,0.125,2.394894599914551,0.5
0,0,4,0.375,2.2007482051849365,0.5
0,0,5,0.625,1.8821725845336914,0.75
0,0,6,0.25,2.156548261642456,0.625
0,0,7,0.375,2.1548688411712646,0.5
0,0,8,0.5,2.0063705444335938,0.625
0,0,9,0.5,2.019643545150757,0.625
0,0,10,0.25,2.125253200531006,0.625
0,0,11,0.375,2.08760404586792,0.625
0,0,12,0.25,2.1026527881622314,0.625
0,0,13,0.125,2.1815569400787354,0.375
0,0,14,0.375,2.0028791427612305,0.5
0,0,15,0.125,2.1059839725494385,0.375
0,0,16,0.25,2.155282974243164,0.5
0,0,17,0.375,2.101255416870117,0.5
0,0,18,0.125,2.1086416244506836,0.375
0,0,19,0.125,1.9851356744766235,0.625
0,0,20,0.25,2.1171998977661133,0.5
0,0,21,0.25,2.15806245803833,0.5
0,0,22,0.125,2.1270318031311035,0.375
0,0,23,0.25,2.11364483833313,0.5
0,0,24,0.375,1.9576548337936401,0.625
0,0,25,0.5,2.0969979763031006,0.5
0,0,26,0.375,2.0814170837402344,0.5
0,0,27,0.25,2.127315044403076,0.375
0,0,28,0.125,2.1402041912078857,0.5
0,0,29,0.375,1.991334080696106,0.625
0,0,30,0.375,2.135288715362549,0.375
0,0,31,0.5,2.0122487545013428,0.5
0,0,32,0.125,2.250610828399658,0.25
0,0,33,0.125,2.239192008972168,0.375
0,0,34,0.5,1.9635013341903687,0.625
0,0,35,0.5,1.993119716644287,0.5
0,0,36,0.5,2.036271095275879,0.5
0,0,37,0.375,2.0864617824554443,0.375
0,0,38,0.375,1.9975266456604004,0.5
0,0,39,0.5,1.8483542203903198,0.625
0,0,40,0.5,2.0367355346679688,0.5
0,0,41,0.375,2.025611162185669,0.5
0,0,42,0.25,2.1252739429473877,0.375
0,0,43,0.375,2.022907257080078,0.5
0,0,44,0.5,1.8845123052597046,0.625
0,0,45,0.25,2.198225259780884,0.375
0,0,46,0.375,2.114818572998047,0.375
0,0,47,0.375,2.102189302444458,0.375
0,0,48,0.25,2.0975639820098877,0.375
0,0,49,0.375,2.1191306114196777,0.5
0,0,50,0.25,2.1012673377990723,0.375
0,0,51,0.375,2.1052937507629395,0.5
0,0,52,0.125,2.133601427078247,0.375
0,0,53,0.25,2.144301652908325,0.375
0,0,54,0.5,1.8781423568725586,0.625
0,0,55,0.375,2.138495445251465,0.375
0,0,56,0.375,2.170227289199829,0.5
0,0,57,0.25,2.246979236602783,0.375
0,0,58,0.25,2.2281157970428467,0.375
0,0,59,0.375,2.129743814468384,0.625
0,0,60,0.375,2.0815272331237793,0.5
0,0,61,0.375,2.166743516921997,0.5
0,0,62,0.25,2.138127565383911,0.375
0,0,63,0.375,1.9908833503723145,0.5
0,0,64,0.5,1.898468255996704,0.625
0,0,65,0.5,1.985205888748169,0.5
0,0,66,0.5,1.9561173915863037,0.5
0,0,67,0.25,2.083885669708252,0.375
0,0,68,0.375,2.001068115234375,0.5
0,0,69,0.625,1.9789217710494995,0.625
0,0,70,0.375,2.1241331100463867,0.5
0,0,71,0.5,2.132633686065674,0.5
0,0,72,0.25,2.1141107082366943,0.375
0,0,73,0.375,2.023270606994629,0.5
0,0,74,0.25,2.1215403079986572,0.625
0,0,75,0.25,2.179685354232788,0.5
0,0,76,0.375,2.024089813232422,0.5
0,0,77,0.25,2.084028482437134,0.375
0,0,78,0.25,2.2261288166046143,0.5
0,0,79,0.375,2.002439498901367,0.625
0,0,80,0.5,1.9845024347305298,0.5
0,0,81,0.5,2.0411148071289062,0.5
0,0,82,0.25,2.1736953258514404,0.375
0,0,83,0.5,2.0250580310821533,0.5
0,0,84,0.5,1.9250658750534058,0.625
0,0,85,0.375,2.0402543544769287,0.5
0,0,86,0.25,2.0780961513519287,0.5
0,0,87,0.375,2.1824533939361572,0.375
0,0,88,0.375,2.1265370845794678,0.375
0,0,89,0.5,1.9974478483200073,0.625
0,0,90,0.5,2.036372423171997,0.5
0,0,91,0.5,2.0101709365844727,0.5
0,0,92,0.375,2.1486432552337646,0.375
0,0,93,0.25,2.091017723083496,0.5
0,0,94,0.625,1.9021025896072388,0.625
0,0,95,0.375,2.0340960025787354,0.5
0,0,96,0.5,2.0878286361694336,0.5
0,0,97,0.375,2.1502292156219482,0.375
0,0,98,0.5,2.023977756500244,0.5
0,0,99,0.625,1.9184178113937378,0.625
0,0,100,0.375,2.0349533557891846,0.5
0,0,101,0.5,2.0185153484344482,0.5
0,0,102,0.375,2.2018251419067383,0.375
0,0,103,0.625,1.8900184631347656,0.75
0,0,104,0.875,1.748670220375061,0.875
0,0,105,0.5,1.9485570192337036,0.625
0,0,106,0.625,1.9913748502731323,0.625
0,0,107,0.375,2.1336324214935303,0.625
0,0,108,0.625,1.844285249710083,0.75
0,0,109,0.625,1.8990281820297241,0.875
0,0,110,0.625,1.973454475402832,0.625
0,0,111,0.5,2.0561060905456543,0.5
0,0,112,0.5,1.9397002458572388,0.625
0,0,113,0.625,1.8546899557113647,0.75
0,0,114,0.5,1.913701057434082,0.875
0,0,115,0.5,1.9621953964233398,0.625
0,0,116,0.5,1.9832631349563599,0.625
0,0,117,0.5,1.9302536249160767,0.625
0,0,118,0.625,1.8285698890686035,0.75
0,0,119,0.75,1.6972233057022095,1.0
0,0,120,0.625,1.907784104347229,0.625
0,0,121,0.5,1.9270869493484497,0.625
0,1,0,0.5,1.8946359157562256,0.625
0,1,1,0.5,1.977917194366455,0.5
0,1,2,0.375,2.0034682750701904,0.5
0,1,3,0.25,1.9976216554641724,0.75
0,1,4,0.5,1.9215326309204102,0.625
0,1,5,0.5,1.9116082191467285,0.625
0,1,6,0.375,2.0337185859680176,0.5
0,1,7,0.25,2.069617748260498,0.5
0,1,8,0.625,1.825639009475708,0.875
0,1,9,0.5,1.9967255592346191,0.625
0,1,10,0.375,2.0062918663024902,0.625
0,1,11,0.625,1.9396867752075195,0.625
0,1,12,0.375,2.0746958255767822,0.625
0,1,13,0.5,2.0471651554107666,0.625
0,1,14,0.5,1.923368215560913,0.75
0,1,15,0.375,2.0751090049743652,0.5
0,1,16,0.375,2.1140358448028564,0.5
0,1,17,0.5,2.067514181137085,0.625
0,1,18,0.625,1.896712064743042,0.75
0,1,19,0.75,1.810528039932251,0.875
0,1,20,0.625,2.000173807144165,0.625
0,1,21,0.625,1.9637984037399292,0.625
0,1,22,0.25,2.0648751258850098,0.625
0,1,23,0.5,1.832172155380249,0.75
0,1,24,0.625,1.6994072198867798,0.875
0,1,25,0.5,2.002805709838867,0.625
0,1,26,0.5,2.04154109954834,0.5
0,1,27,0.375,2.0585362911224365,0.625
0,1,28,0.375,1.9522806406021118,0.75
0,1,29,0.375,1.845040202140808,0.75
0,1,30,0.375,2.0791640281677246,0.5
0,1,31,0.375,2.084794044494629,0.625
0,1,32,0.375,2.208660840988159,0.375
0,1,33,0.25,2.1647090911865234,0.5
0,1,34,0.625,1.7994505167007446,0.875
0,1,35,0.5,1.9758076667785645,0.625
