,Epoch,Iteration,Accuracy,Loss,Top3
0,0,0,0.0,2.3025906085968018,0.25
0,0,1,0.0,2.3025906085968018,0.25
0,0,2,0.125,2.3025906085968018,0.375
0,0,3,0.0,2.3025906085968018,0.0
0,0,4,0.375,2.3025906085968018,0.5
0,0,5,0.125,2.3025906085968018,0.125
0,0,6,0.125,2.302590847015381,0.375
0,0,7,0.125,2.302590847015381,0.5
0,0,8,0.0,2.3025906085968018,0.0
0,0,9,0.125,2.302590847015381,0.625
0,0,10,0.0,2.3025906085968018,0.375
0,0,11,0.0,2.3025906085968018,0.375
0,0,12,0.0,2.302590847015381,0.25
0,0,13,0.125,2.3025906085968018,0.25
0,0,14,0.0,2.3025906085968018,0.375
0,0,15,0.0,2.3025906085968018,0.125
0,0,16,0.0,2.3025906085968018,0.375
0,0,17,0.25,2.3025906085968018,0.5
0,0,18,0.25,2.3025906085968018,0.5
0,0,19,0.125,2.3025906085968018,0.375
0,0,20,0.125,2.3025906085968018,0.25
0,0,21,0.375,2.302590847015381,0.375
0,0,22,0.125,2.3025906085968018,0.125
0,0,23,0.25,2.3025903701782227,0.25
0,0,24,0.125,2.302590847015381,0.625
0,0,25,0.0,2.3025906085968018,0.125
0,0,26,0.125,2.3025906085968018,0.5
0,0,27,0.125,2.3025906085968018,0.25
0,0,28,0.125,2.3025906085968018,0.25
0,0,29,0.125,2.3025906085968018,0.375
0,0,30,0.0,2.3025906085968018,0.375
0,0,31,0.25,2.3025906085968018,0.375
0,0,32,0.25,2.302590847015381,0.25
0,0,33,0.25,2.3025906085968018,0.375
0,0,34,0.125,2.3025906085968018,0.25
0,0,35,0.0,2.3025906085968018,0.0
0,0,36,0.125,2.302590847015381,0.375
0,0,37,0.125,2.302590847015381,0.25
0,0,38,0.0,2.302590847015381,0.125
0,0,39,0.0,2.3025906085968018,0.125
0,0,40,0.25,2.3025903701782227,0.375
0,0,41,0.125,2.302590847015381,0.375
0,0,42,0.125,2.302590847015381,0.25
0,0,43,0.125,2.3025906085968018,0.5
0,0,44,0.25,2.302590847015381,0.25
0,0,45,0.0,2.302590847015381,0.375
0,0,46,0.125,2.3025906085968018,0.25
0,0,47,0.25,2.302590847015381,0.25
0,0,48,0.125,2.3025903701782227,0.5
0,0,49,0.125,2.3025903701782227,0.375
0,0,50,0.25,2.3002569675445557,0.5
0,0,51,0.0,2.310288429260254,0.25
0,0,52,0.25,2.2888216972351074,0.25
0,0,53,0.0,2.3164710998535156,0.125
0,0,54,0.125,2.288271903991699,0.625
0,0,55,0.125,2.287933588027954,0.25
0,0,56,0.0,2.3097140789031982,0.25
0,0,57,0.125,2.2755396366119385,0.25
0,0,58,0.0,2.305999517440796,0.375
0,0,59,0.125,2.2797224521636963,0.125
0,0,60,0.0,2.3044607639312744,0.375
0,0,61,0.0,2.304948329925537,0.375
0,0,62,0.0,2.3028485774993896,0.125
0,0,63,0.125,2.271310329437256,0.125
0,0,64,0.125,2.271639347076416,0.25
0,0,65,0.0,2.3039371967315674,0.125
0,0,66,0.0,2.3170676231384277,0.0
0,0,67,0.125,2.291696071624756,0.625
0,0,68,0.125,2.3016459941864014,0.25
0,0,69,0.25,2.215949535369873,0.5
0,0,70,0.125,2.2652134895324707,0.25
0,0,71,0.125,2.273655652999878,0.25
0,0,72,0.125,2.2658870220184326,0.375
0,0,73,0.125,2.2836813926696777,0.25
0,0,74,0.25,2.2174651622772217,0.625
0,0,75,0.0,2.315584897994995,0.375
0,0,76,0.25,2.209642171859741,0.5
0,0,77,0.25,2.2090611457824707,0.375
0,0,78,0.0,2.3120479583740234,0.125
0,0,79,0.125,2.273587226867676,0.5
0,0,80,0.375,2.2710161209106445,0.375
0,0,81,0.125,2.3117029666900635,0.25
0,0,82,0.25,2.197629451751709,0.375
0,0,83,0.0,2.3314218521118164,0.125
0,0,84,0.125,2.2815043926239014,0.125
0,0,85,0.0,2.324972629547119,0.0
0,0,86,0.0,2.317694664001465,0.375
0,0,87,0.0,2.3105568885803223,0.125
0,0,88,0.25,2.2515127658843994,0.25
0,0,89,0.0,2.3093254566192627,0.125
0,0,90,0.0,2.3107354640960693,0.25
0,0,91,0.125,2.2633631229400635,0.125
0,0,92,0.125,2.287116765975952,0.5
0,0,93,0.125,2.2581794261932373,0.375
0,0,94,0.0,2.3184359073638916,0.375
0,0,95,0.125,2.314910888671875,0.375
0,0,96,0.0,2.315694808959961,0.25
0,0,97,0.125,2.313420057296753,0.5
0,0,98,0.125,2.268329381942749,0.125
0,0,99,0.125,2.2768166065216064,0.25
0,0,100,0.0,2.3090033531188965,0.25
0,0,101,0.125,2.3065669536590576,0.375
0,0,102,0.5,2.1153297424316406,0.5
0,0,103,0.125,2.2612757682800293,0.25
0,0,104,0.125,2.2497963905334473,0.75
0,0,105,0.0,2.335601329803467,0.5
0,0,106,0.375,2.129408121109009,0.625
0,0,107,0.0,2.319103240966797,0.375
0,0,108,0.25,2.2293524742126465,0.5
0,0,109,0.125,2.2562267780303955,0.5
0,0,110,0.0,2.323286294937134,0.625
0,0,111,0.0,2.328608989715576,0.125
0,0,112,0.0,2.334409713745117,0.0
0,0,113,0.125,2.2538557052612305,0.25
0,0,114,0.375,2.1906068325042725,0.625
0,0,115,0.375,2.231975793838501,0.375
0,0,116,0.125,2.2503201961517334,0.25
0,0,117,0.25,2.2895708084106445,0.25
0,0,118,0.125,2.3085763454437256,0.5
0,0,119,0.0,2.325523614883423,0.0
0,0,120,0.125,2.2634849548339844,0.125
0,0,121,0.25,2.268932819366455,0.375
0,0,122,0.375,2.197269916534424,0.5
0,0,123,0.125,2.2822935581207275,0.25
0,0,124,0.25,2.2250614166259766,0.375
0,0,125,0.25,2.1843039989471436,0.375
0,0,126,0.125,2.326925754547119,0.125
0,0,127,0.25,2.2162723541259766,0.375
0,0,128,0.125,2.272488594055176,0.25
0,0,129,0.0,2.374298334121704,0.25
0,0,130,0.375,2.2028846740722656,0.375
0,0,131,0.125,2.2609453201293945,0.375
0,0,132,0.25,2.2303857803344727,0.375
0,0,133,0.25,2.270662784576416,0.375
0,0,134,0.5,2.2030389308929443,0.5
0,0,135,0.375,2.214935541152954,0.5
0,0,136,0.125,2.324601411819458,0.125
0,0,137,0.125,2.2772538661956787,0.125
0,0,138,0.25,2.278261184692383,0.375
0,0,139,0.375,2.2270278930664062,0.375
0,0,140,0.25,2.231863260269165,0.25
0,0,141,0.5,2.1679203510284424,0.5
0,0,142,0.125,2.3221583366394043,0.125
0,0,143,0.0,2.3375163078308105,0.25
0,0,144,0.25,2.2145726680755615,0.375
0,0,145,0.0,2.322572708129883,0.375
0,0,146,0.125,2.2848174571990967,0.375
0,0,147,0.0,2.348834991455078,0.375
0,0,148,0.625,2.0463438034057617,0.75
0,0,149,0.25,2.2112348079681396,0.5
0,0,150,0.375,2.1624503135681152,0.5
0,1,0,0.125,2.283261299133301,0.375
0,1,1,0.0,2.3648295402526855,0.25
0,1,2,0.0,2.357377529144287,0.0
0,1,3,0.375,2.2037463188171387,0.375
0,1,4,0.25,2.1834774017333984,0.625
0,1,5,0.375,2.1702420711517334,0.5
0,1,6,0.25,2.1996521949768066,0.25
0,1,7,0.0,2.322500467300415,0.125
0,1,8,0.375,2.192807674407959,0.375
0,1,9,0.125,2.3153231143951416,0.125
