,Epoch,Iteration,Accuracy,Loss,Top3
0,0,0,0.125,209.55999755859375,0.625
0,0,1,0.125,209.08584594726562,0.25
0,0,2,0.125,133.87051391601562,0.25
0,0,3,0.25,72.44107818603516,0.25
0,0,4,0.125,68.38399505615234,0.375
0,0,5,0.0,42.30978775024414,0.25
0,0,6,0.0,37.527530670166016,0.25
0,0,7,0.25,27.279861450195312,0.875
0,0,8,0.125,27.3115291595459,0.125
0,0,9,0.25,24.544418334960938,0.375
0,0,10,0.125,17.29096221923828,0.5
0,0,11,0.125,21.483579635620117,0.25
0,0,12,0.125,22.742311477661133,0.375
0,0,13,0.0,21.04113006591797,0.25
0,0,14,0.0,11.744498252868652,0.0
0,0,15,0.0,16.52794075012207,0.375
0,0,16,0.0,10.401861190795898,0.0
0,0,17,0.25,8.562092781066895,0.375
0,0,18,0.125,9.567167282104492,0.25
0,0,19,0.125,6.538595676422119,0.375
0,0,20,0.0,14.265564918518066,0.375
0,0,21,0.125,5.446639060974121,0.375
0,0,22,0.0,5.677298545837402,0.375
0,0,23,0.125,5.17524528503418,0.625
0,0,24,0.25,2.5479774475097656,0.25
0,0,25,0.125,3.9833602905273438,0.25
0,0,26,0.0,3.4591126441955566,0.25
0,0,27,0.25,3.8184854984283447,0.5
0,0,28,0.0,4.108951568603516,0.0
0,0,29,0.0,2.3504083156585693,0.125
0,0,30,0.125,4.0409674644470215,0.625
0,0,31,0.0,1.894444465637207,0.0
0,0,32,0.125,1.6044498682022095,0.375
0,0,33,0.25,2.8104031085968018,0.5
0,0,34,0.25,1.5485293865203857,0.375
0,0,35,0.0,1.527991771697998,0.25
0,0,36,0.0,1.7327922582626343,0.5
0,0,37,0.0,1.3760690689086914,0.625
0,0,38,0.125,1.4154722690582275,0.5
0,0,39,0.0,1.8256558179855347,0.125
0,0,40,0.0,1.7084282636642456,0.5
0,0,41,0.125,1.8562700748443604,0.5
0,0,42,0.25,2.249509811401367,0.5
0,0,43,0.125,2.0411646366119385,0.25
