,Epoch,Iteration,Accuracy,Loss,Top3
0,0,0,0.0,2.3025906085968018,0.125
0,0,1,0.125,2.175957679748535,0.75
0,0,2,0.125,2.2844901084899902,0.375
0,0,3,0.125,2.5757322311401367,0.25
0,0,4,0.0,2.301079273223877,0.5
0,0,5,0.125,2.440716505050659,0.25
0,0,6,0.25,2.286761999130249,0.375
0,0,7,0.0,2.564347505569458,0.25
0,0,8,0.0,2.4871089458465576,0.125
0,0,9,0.125,2.361100673675537,0.25
0,0,10,0.125,2.236618995666504,0.375
0,0,11,0.125,2.2234487533569336,0.375
0,0,12,0.25,2.218444585800171,0.375
0,0,13,0.25,2.221050977706909,0.375
0,0,14,0.375,2.3013575077056885,0.5
0,0,15,0.0,2.3402888774871826,0.375
0,0,16,0.125,2.3195724487304688,0.5
0,0,17,0.125,2.2388460636138916,0.5
0,0,18,0.125,2.3128159046173096,0.625
0,0,19,0.25,2.207571029663086,0.5
0,0,20,0.0,2.314283847808838,0.375
0,0,21,0.125,2.307481527328491,0.625
0,0,22,0.125,2.3090620040893555,0.375
0,0,23,0.25,2.2556374073028564,0.375
0,0,24,0.625,2.2820987701416016,0.625
0,0,25,0.5,2.2329673767089844,0.625
0,0,26,0.0,2.3079800605773926,0.25
0,0,27,0.25,2.279981851577759,0.625
0,0,28,0.375,2.147988796234131,0.5
0,0,29,0.125,2.28090763092041,0.375
0,0,30,0.375,2.089600086212158,0.75
0,0,31,0.375,2.2217156887054443,0.625
0,0,32,0.25,2.2327518463134766,0.375
0,0,33,0.5,2.1295244693756104,0.5
0,0,34,0.75,2.045354127883911,0.875
0,0,35,0.25,2.166330575942993,0.625
0,0,36,0.25,2.2489476203918457,0.375
0,0,37,0.5,2.032783031463623,0.625
0,0,38,0.625,1.9099239110946655,0.75
0,0,39,0.125,2.3044803142547607,0.5
0,0,40,0.75,1.8427863121032715,0.875
0,0,41,0.375,2.0898518562316895,0.75
0,0,42,0.375,2.1432406902313232,0.875
0,0,43,0.625,1.9755027294158936,1.0
0,0,44,0.25,2.234426975250244,0.625
0,0,45,0.75,1.921552062034607,0.75
0,0,46,0.375,2.0904436111450195,0.5
0,0,47,0.5,2.0302414894104004,0.75
0,0,48,0.5,1.9628232717514038,0.75
0,0,49,0.375,2.0702645778656006,0.5
0,0,50,0.625,1.8762750625610352,0.75
0,0,51,0.5,2.0112974643707275,0.875
0,0,52,0.625,1.8924487829208374,0.875
0,0,53,0.625,1.9132118225097656,0.875
0,0,54,0.125,2.26798677444458,0.375
0,0,55,0.375,2.175396203994751,0.5
0,0,56,0.5,1.963808536529541,0.875
0,0,57,0.625,1.8559296131134033,0.625
0,0,58,0.25,2.1180551052093506,0.5
0,0,59,0.25,2.1780343055725098,0.375
0,0,60,0.375,2.134711265563965,0.625
0,0,61,0.375,2.048800468444824,0.75
0,0,62,0.375,2.1692700386047363,0.625
0,0,63,0.5,2.08459210395813,0.5
0,0,64,0.25,2.188828945159912,0.375
0,0,65,0.5,2.0190443992614746,0.625
0,0,66,0.25,2.199597120285034,0.625
0,0,67,0.375,2.1093688011169434,0.625
0,0,68,0.75,1.7452528476715088,0.875
0,0,69,0.625,2.0151515007019043,0.875
0,0,70,0.625,1.8602101802825928,0.875
0,0,71,0.375,2.046928644180298,0.625
0,0,72,0.625,1.9669294357299805,0.75
0,0,73,0.5,1.885063648223877,0.875
0,0,74,0.5,2.0926220417022705,0.625
0,0,75,0.75,1.8146544694900513,0.875
0,0,76,0.25,2.2015743255615234,0.75
0,0,77,0.375,2.1780827045440674,0.5
0,0,78,0.875,1.7094463109970093,0.875
0,0,79,0.75,1.771353006362915,0.875
0,0,80,0.75,1.883370280265808,0.75
0,0,81,0.75,1.8914258480072021,0.75
0,0,82,0.625,1.886702060699463,0.875
0,0,83,0.75,1.8678512573242188,0.875
0,0,84,0.625,2.0265696048736572,0.625
0,0,85,0.625,1.9369821548461914,0.75
0,0,86,0.25,2.2149603366851807,0.25
0,0,87,0.25,2.216301679611206,0.5
0,0,88,0.375,2.1082100868225098,0.5
0,0,89,0.5,2.081526041030884,0.625
0,0,90,0.25,2.231109619140625,0.375
0,0,91,0.625,2.081507921218872,0.75
0,0,92,0.5,2.154939889907837,1.0
0,0,93,0.5,2.105726718902588,0.5
0,0,94,0.5,2.018519878387451,0.625
0,0,95,0.625,1.8877599239349365,0.875
0,0,96,0.5,2.1040263175964355,0.5
0,0,97,0.75,1.8594446182250977,0.75
0,0,98,0.625,2.065744638442993,0.75
0,0,99,0.625,1.9644670486450195,0.75
0,0,100,0.375,2.183851480484009,0.5
0,0,101,0.75,1.7713788747787476,1.0
0,0,102,0.625,2.0025570392608643,0.875
