,Epoch,Iteration,Accuracy,Loss,Top3
0,0,0,0.125,446.87359619140625,0.375
0,0,1,0.25,18.224184036254883,0.5
0,0,2,0.125,446.87359619140625,0.375
0,0,3,0.125,438.0682678222656,0.375
0,0,4,0.0,410.3184509277344,0.125
0,0,5,0.125,407.1133117675781,0.25
0,0,6,0.125,369.35321044921875,0.25
0,0,7,0.125,364.79095458984375,0.5
0,0,8,0.0,354.1816711425781,0.5
0,0,9,0.25,270.0054626464844,0.375
0,0,10,0.0,216.30133056640625,0.25
0,0,11,0.25,143.20751953125,0.375
0,0,12,0.125,17.66511344909668,0.125
0,0,13,0.125,12.905814170837402,0.375
0,0,14,0.0,22.166479110717773,0.125
0,0,15,0.25,17.553115844726562,0.25
0,0,16,0.25,19.100173950195312,0.25
0,0,17,0.25,21.184736251831055,0.25
0,0,18,0.0,19.514570236206055,0.25
0,0,19,0.125,19.336063385009766,0.25
0,0,20,0.125,36.69135665893555,0.125
0,0,21,0.125,45.821678161621094,0.375
0,0,22,0.25,16.661293029785156,0.375
0,0,23,0.0,74.03128814697266,0.125
0,0,24,0.375,14.876740455627441,0.75
0,0,25,0.125,50.66740036010742,0.125
0,0,26,0.375,43.78371810913086,0.5
0,0,27,0.25,17.774246215820312,0.25
0,0,28,0.375,24.331012725830078,0.25
0,0,29,0.125,21.71666145324707,0.25
0,0,30,0.125,18.533374786376953,0.375
0,0,31,0.125,25.242645263671875,0.125
0,0,32,0.125,18.76663589477539,0.25
0,0,33,0.125,18.583759307861328,0.375
0,0,34,0.0,22.80622100830078,0.125
0,0,35,0.125,19.84725570678711,0.25
0,0,36,0.125,18.00122833251953,0.375
0,0,37,0.125,18.582088470458984,0.25
0,0,38,0.0,19.186134338378906,0.0
0,0,39,0.125,18.239404678344727,0.5
0,0,40,0.0,20.6724853515625,0.25
0,0,41,0.25,19.348569869995117,0.375
0,0,42,0.125,21.85942268371582,0.5
0,0,43,0.375,15.329204559326172,0.5
0,0,44,0.125,16.19246482849121,0.375
0,0,45,0.375,14.994011878967285,0.375
0,0,46,0.25,13.22722053527832,0.375
0,0,47,0.25,17.31703758239746,0.375
0,0,48,0.375,9.367424011230469,0.625
0,0,49,0.125,20.627763748168945,0.5
0,0,50,0.25,23.827651977539062,0.625
0,0,51,0.125,31.191476821899414,0.5
0,0,52,0.25,15.872798919677734,0.375
0,0,53,0.125,17.13177490234375,0.25
0,0,54,0.375,28.930641174316406,0.5
0,0,55,0.25,21.510698318481445,0.375
0,0,56,0.0,17.637147903442383,0.375
0,0,57,0.0,17.94940948486328,0.25
0,0,58,0.0,18.69976806640625,0.125
0,0,59,0.25,15.440298080444336,0.25
0,0,60,0.0,17.328725814819336,0.0
0,0,61,0.125,13.439837455749512,0.25
0,0,62,0.125,19.04610252380371,0.25
0,0,63,0.125,13.856912612915039,0.125
0,0,64,0.25,11.591233253479004,0.25
0,0,65,0.25,18.598024368286133,0.375
0,0,66,0.0,26.22136878967285,0.25
0,0,67,0.125,18.209083557128906,0.5
0,0,68,0.125,21.49573516845703,0.5
0,0,69,0.125,17.065332412719727,0.5
0,0,70,0.125,11.512404441833496,0.5
0,0,71,0.25,13.714202880859375,0.625
0,0,72,0.125,14.916154861450195,0.375
0,0,73,0.25,10.274434089660645,0.625
0,0,74,0.125,10.423406600952148,0.25
0,0,75,0.25,12.968570709228516,0.5
0,0,76,0.5,18.44014549255371,0.5
0,0,77,0.25,15.757798194885254,0.25
0,0,78,0.125,14.74520492553711,0.125
0,0,79,0.25,12.47109603881836,0.5
0,0,80,0.375,13.94178295135498,0.375
0,0,81,0.125,15.174583435058594,0.375
0,0,82,0.125,11.562891960144043,0.5
0,0,83,0.125,11.888752937316895,0.375
0,0,84,0.125,16.184598922729492,0.375
0,0,85,0.125,10.380511283874512,0.375
0,0,86,0.25,7.357937335968018,0.625
0,0,87,0.125,9.863551139831543,0.375
0,0,88,0.125,9.418868064880371,0.25
0,0,89,0.125,12.956695556640625,0.5
0,0,90,0.25,13.900969505310059,0.625
0,0,91,0.25,11.115222930908203,0.5
0,0,92,0.25,8.043065071105957,0.375
0,0,93,0.0,19.901840209960938,0.125
0,0,94,0.25,14.923151016235352,0.375
0,0,95,0.25,14.567498207092285,0.375
0,0,96,0.125,11.551836013793945,0.25
0,0,97,0.0,16.264638900756836,0.25
0,0,98,0.25,10.598843574523926,0.5
0,0,99,0.125,11.26643180847168,0.375
0,0,100,0.0,9.700006484985352,0.25
0,0,101,0.125,14.485121726989746,0.375
0,0,102,0.125,25.096555709838867,0.375
0,0,103,0.25,10.327327728271484,0.375
0,0,104,0.25,10.765970230102539,0.625
0,0,105,0.125,20.474815368652344,0.375
0,0,106,0.375,30.353689193725586,0.375
0,0,107,0.375,11.262147903442383,0.875
0,0,108,0.125,16.623106002807617,0.5
