,Epoch,Iteration,Accuracy,Loss,Top3
0,0,0,0.125,2.4490702152252197,0.5
0,0,1,0.125,2.2270052433013916,0.625
0,0,2,0.125,2.440484046936035,0.25
0,0,3,0.125,2.336487054824829,0.375
0,0,4,0.375,2.042581558227539,0.75
0,0,5,0.125,2.2626290321350098,0.5
0,0,6,0.375,2.349158525466919,0.375
0,0,7,0.375,2.0209109783172607,0.75
0,0,8,0.25,2.000624179840088,0.75
0,0,9,0.25,2.219388961791992,0.5
0,0,10,0.375,2.1256110668182373,0.625
0,0,11,0.25,1.9844528436660767,0.75
0,0,12,0.375,1.957885980606079,0.75
0,0,13,0.25,2.1791493892669678,0.5
0,0,14,0.0,2.3242952823638916,0.5
0,0,15,0.125,1.8690301179885864,0.875
0,0,16,0.375,2.05256724357605,0.625
0,0,17,0.125,2.2580814361572266,0.5
0,0,18,0.125,2.2321815490722656,0.625
0,0,19,0.25,1.9773948192596436,0.75
0,0,20,0.25,2.076539993286133,0.625
0,0,21,0.375,2.2104060649871826,0.5
0,0,22,0.25,1.999104619026184,0.75
0,0,23,0.375,2.034370183944702,0.75
0,0,24,0.25,2.2191877365112305,0.5
0,0,25,0.375,2.213733673095703,0.5
0,0,26,0.375,1.872138500213623,0.875
0,0,27,0.125,2.0989558696746826,0.625
0,0,28,0.375,2.2284398078918457,0.5
0,0,29,0.375,2.0937929153442383,0.625
0,0,30,0.375,1.9959509372711182,0.75
0,0,31,0.25,2.0886526107788086,0.625
0,0,32,0.25,2.2076528072357178,0.5
0,0,33,0.25,1.9759691953659058,0.75
0,0,34,0.375,1.9698050022125244,0.75
0,0,35,0.25,2.2973086833953857,0.375
0,0,36,0.0,2.4548306465148926,0.25
0,0,37,0.25,1.940301775932312,0.875
0,0,38,0.375,2.0413482189178467,0.625
0,0,39,0.375,2.18941330909729,0.5
0,0,40,0.375,2.078547239303589,0.625
0,0,41,0.375,1.9296884536743164,0.75
0,0,42,0.25,2.084437370300293,0.625
0,0,43,0.375,2.2164366245269775,0.5
0,0,44,0.25,1.9634548425674438,0.75
0,0,45,0.25,1.9599579572677612,0.75
0,0,46,0.25,2.1979684829711914,0.5
0,0,47,0.125,2.177316188812256,0.5
0,0,48,0.375,1.848060965538025,0.875
0,0,49,0.25,2.0754470825195312,0.625
0,0,50,0.25,2.3793394565582275,0.5
0,0,51,0.0,2.1556270122528076,0.625
0,0,52,0.25,1.953790307044983,0.75
0,0,53,0.125,2.1728932857513428,0.625
0,0,54,0.125,2.3160910606384277,0.375
0,0,55,0.125,2.0351338386535645,0.75
0,0,56,0.375,1.933915376663208,0.75
0,0,57,0.125,2.223447322845459,0.5
0,0,58,0.25,2.2034924030303955,0.5
0,0,59,0.375,1.857854962348938,0.875
0,0,60,0.125,2.08957576751709,0.625
0,0,61,0.375,2.1966912746429443,0.5
0,0,62,0.125,2.1894779205322266,0.625
0,0,63,0.375,1.9999206066131592,0.75
0,0,64,0.25,2.107679843902588,0.625
0,0,65,0.25,2.2341034412384033,0.5
0,0,66,0.375,1.961230754852295,0.75
0,0,67,0.25,2.0371506214141846,0.75
0,0,68,0.125,2.1892054080963135,0.5
0,0,69,0.375,2.219618558883667,0.5
0,0,70,0.5,1.837093710899353,0.875
0,0,71,0.25,2.06801176071167,0.625
0,0,72,0.375,2.2033169269561768,0.5
0,0,73,0.25,2.085209846496582,0.625
0,0,74,0.25,1.9502471685409546,0.75
0,0,75,0.25,2.071631908416748,0.625
0,0,76,0.375,2.2284929752349854,0.5
0,0,77,0.125,2.0331902503967285,0.75
0,0,78,0.25,2.028433084487915,0.75
0,0,79,0.25,2.2295405864715576,0.5
0,0,80,0.0,2.207232713699341,0.5
0,0,81,0.25,2.2312169075012207,0.75
0,0,82,0.25,2.1776230335235596,0.625
0,0,83,0.25,2.3935844898223877,0.375
0,0,84,0.0,2.3199751377105713,0.5
0,0,85,0.25,2.0862245559692383,0.75
0,0,86,0.25,2.1706418991088867,0.5
0,0,87,0.125,2.425645351409912,0.375
0,0,88,0.25,1.9868184328079224,0.75
0,0,89,0.25,1.9688055515289307,0.75
