,Epoch,Iteration,Accuracy,Loss,Top3
0,0,0,0.25,2.3973565101623535,0.5
0,0,1,0.375,2.0804946422576904,0.625
0,0,2,0.125,2.2706246376037598,0.5
0,0,3,0.25,2.2207140922546387,0.625
0,0,4,0.375,2.022477149963379,0.75
0,0,5,0.375,2.0706396102905273,0.625
0,0,6,0.25,2.2085776329040527,0.5
0,0,7,0.5,2.095806121826172,0.75
0,0,8,0.625,2.140510320663452,0.75
0,0,9,0.125,2.220141887664795,0.5
0,0,10,0.625,2.0380287170410156,0.625
0,0,11,0.5,2.0388236045837402,0.75
0,0,12,0.5,2.076289653778076,0.75
0,0,13,0.375,2.238508462905884,0.5
0,0,14,0.25,2.246535301208496,0.5
0,0,15,0.625,1.9879484176635742,0.875
0,0,16,0.5,2.1670520305633545,0.625
0,0,17,0.375,2.196328639984131,0.5
0,0,18,0.5,2.089632272720337,0.625
0,0,19,0.5,2.036530017852783,0.75
0,0,20,0.375,2.052056074142456,0.625
0,0,21,0.375,2.2057902812957764,0.5
0,0,22,0.625,2.0010857582092285,0.75
0,0,23,0.5,2.0191524028778076,0.75
0,0,24,0.375,2.1905505657196045,0.5
0,0,25,0.25,2.2062368392944336,0.5
0,0,26,0.375,1.9698994159698486,0.875
0,0,27,0.375,2.081583023071289,0.625
0,0,28,0.375,2.1982808113098145,0.5
0,0,29,0.625,2.032646894454956,0.625
0,0,30,0.625,2.0054256916046143,0.75
0,0,31,0.375,2.0743048191070557,0.625
0,0,32,0.375,2.1964027881622314,0.625
0,0,33,0.625,1.9230618476867676,0.875
0,0,34,0.5,1.9544320106506348,0.75
0,0,35,0.25,2.228574275970459,0.625
0,0,36,0.25,2.2969679832458496,0.5
0,0,37,0.625,1.9205256700515747,0.875
0,0,38,0.625,1.9966883659362793,0.75
0,0,39,0.375,2.0781517028808594,0.625
0,0,40,0.625,1.9396976232528687,0.875
0,0,41,0.625,1.9503058195114136,0.75
0,0,42,0.625,1.993664264678955,0.75
0,0,43,0.375,2.1075150966644287,0.625
0,0,44,0.625,1.8836232423782349,0.875
0,0,45,0.5,2.008450746536255,0.75
0,0,46,0.25,2.107757568359375,0.625
0,0,47,0.625,2.0425403118133545,0.625
0,0,48,0.625,1.8424052000045776,0.875
0,0,49,0.625,2.037785768508911,0.75
0,0,50,0.0,2.175614595413208,0.625
0,0,51,0.625,1.9798201322555542,0.875
0,0,52,0.375,2.0491859912872314,0.75
0,0,53,0.375,2.0014824867248535,0.75
0,0,54,0.25,2.1953442096710205,0.625
0,0,55,0.75,1.9172757863998413,0.875
0,0,56,0.5,1.955385684967041,0.75
0,0,57,0.25,2.174624443054199,0.625
0,0,58,0.5,2.114671468734741,0.625
0,0,59,0.5,1.8971920013427734,0.875
0,0,60,0.375,2.0672013759613037,0.75
0,0,61,0.5,2.139899253845215,0.625
0,0,62,0.25,2.2550532817840576,0.75
0,0,63,0.5,2.1975247859954834,0.75
0,0,64,0.375,2.191333532333374,0.75
0,0,65,0.0,2.3638863563537598,0.625
0,0,66,0.625,1.8751050233840942,0.875
0,0,67,0.5,2.077012062072754,0.75
0,0,68,0.5,2.0752317905426025,0.625
0,0,69,0.625,2.065396785736084,0.625
0,0,70,0.75,1.9343479871749878,0.875
0,0,71,0.625,1.9786263704299927,0.75
0,0,72,0.625,2.104689836502075,0.625
0,0,73,0.75,1.9630992412567139,0.75
0,0,74,0.5,2.0073201656341553,0.75
0,0,75,0.5,2.053645610809326,0.75
0,0,76,0.375,2.119335651397705,0.625
0,0,77,0.375,2.0379016399383545,0.875
0,0,78,0.5,2.097105026245117,0.75
0,0,79,0.375,2.177517890930176,0.625
0,0,80,0.625,2.0677990913391113,0.625
0,0,81,0.125,2.1744158267974854,0.625
0,0,82,0.5,2.0321967601776123,0.75
0,0,83,0.125,2.3134498596191406,0.375
0,0,84,0.25,2.0980141162872314,0.75
