,Epoch,Iteration,Accuracy,Top3
0,0,0.0,1.0,1.0
0,0,0.125,2.0,1.0
0,0,0.25,500.0,1.0
0,0,0.375,0.0,0.0
0,0,0.5,500.0,1.0
0,0,0.625,0.0,1.0
0,0,0.75,7.0,1.0
0,0,0.875,0.0,0.0
0,0,1.0,0.0,0.0
0,0,1.125,10.0,1.0
0,0,1.25,0.0,0.0
0,0,1.375,12.0,1.0
0,0,1.5,487.0,1.0
0,0,1.625,0.0,1.0
0,0,1.75,0.0,0.0
0,0,1.875,0.0,1.0
0,0,2.0,0.0,1.0
0,0,2.125,0.0,0.0
0,0,2.25,0.0,0.0
0,0,2.375,20.0,1.0
0,0,2.5,0.0,1.0
0,0,2.625,0.0,0.0
0,0,2.75,0.0,0.0
0,0,2.875,0.0,0.0
0,0,3.0,0.0,0.0
0,0,3.125,0.0,0.0
0,0,3.25,0.0,0.0
0,0,3.375,0.0,0.0
0,0,3.5,0.0,0.0
0,0,3.625,0.0,0.0
0,0,3.75,469.0,1.0
0,0,3.875,0.0,0.0
0,0,4.0,0.0,0.0
0,0,4.125,0.0,0.0
0,0,4.25,0.0,0.0
0,0,4.375,36.0,1.0
0,0,4.5,0.0,0.0
0,0,4.625,0.0,0.0
0,0,4.75,0.0,0.0
0,0,4.875,0.0,0.0
0,0,5.0,0.0,0.0
0,0,5.125,0.0,1.0
0,0,5.25,0.0,0.0
0,0,5.375,0.0,0.0
0,0,5.5,45.0,1.0
0,0,5.625,454.0,1.0
0,0,5.75,0.0,0.0
0,0,5.875,0.0,0.0
0,0,6.0,0.0,0.0
0,0,6.125,0.0,0.0
0,0,6.25,0.0,0.0
0,0,6.375,52.0,1.0
0,0,6.5,0.0,0.0
0,0,6.625,54.0,1.0
0,0,6.75,0.0,0.0
0,0,6.875,56.0,1.0
0,0,7.0,57.0,1.0
0,0,7.125,442.0,1.0
0,0,7.25,0.0,0.0
0,0,7.375,0.0,0.0
0,0,7.5,61.0,1.0
0,0,7.625,0.0,0.0
0,0,7.75,0.0,0.0
0,0,7.875,0.0,0.0
0,0,8.0,435.0,1.0
0,0,8.125,0.0,0.0
0,0,8.25,433.0,1.0
0,0,8.375,432.0,1.0
0,0,8.5,0.0,0.0
0,0,8.625,0.0,1.0
0,0,8.75,0.0,0.0
0,0,8.875,0.0,0.0
0,0,9.0,427.0,1.0
0,0,9.125,0.0,0.0
0,0,9.25,75.0,1.0
0,0,9.375,0.0,0.0
0,0,9.5,0.0,0.0
0,0,9.625,0.0,0.0
0,0,9.75,0.0,1.0
0,0,9.875,0.0,1.0
0,0,10.0,81.0,1.0
0,0,10.125,0.0,1.0
0,0,10.25,83.0,1.0
0,0,10.375,0.0,0.0
0,0,10.5,0.0,0.0
0,0,10.625,0.0,1.0
0,0,10.75,0.0,0.0
0,0,10.875,0.0,0.0
0,0,11.0,0.0,1.0
0,0,11.125,0.0,0.0
0,0,11.25,409.0,1.0
0,0,11.375,408.0,1.0
0,0,11.5,0.0,1.0
0,0,11.625,0.0,1.0
0,0,11.75,0.0,0.0
0,0,11.875,500.0,1.0
0,0,12.0,0.0,0.0
0,0,12.125,98.0,1.0
0,0,12.25,99.0,1.0
0,0,12.375,0.0,0.0
0,0,12.5,0.0,0.0
0,0,12.625,0.0,0.0
0,0,12.75,0.0,0.0
0,0,12.875,0.0,0.0
0,0,13.0,0.0,0.0
0,0,13.125,106.0,1.0
0,0,13.25,107.0,1.0
0,0,13.375,0.0,0.0
0,0,13.5,0.0,0.0
0,0,13.625,0.0,0.0
0,0,13.75,111.0,1.0
0,0,13.875,0.0,0.0
0,0,14.0,0.0,0.0
0,0,14.125,0.0,0.0
0,0,14.25,0.0,0.0
0,0,14.375,0.0,0.0
0,0,14.5,0.0,0.0
0,0,14.625,0.0,0.0
0,0,14.75,381.0,1.0
0,0,14.875,0.0,0.0
0,0,15.0,379.0,1.0
0,0,15.125,0.0,0.0
0,0,15.25,0.0,0.0
0,0,15.375,0.0,0.0
0,0,15.5,500.0,1.0
0,0,15.625,0.0,0.0
0,0,15.75,0.0,1.0
0,0,15.875,0.0,0.0
0,0,16.0,0.0,0.0
0,0,16.125,130.0,1.0
0,0,16.25,500.0,1.0
0,0,16.375,132.0,1.0
0,0,16.5,0.0,0.0
0,0,16.625,134.0,1.0
0,0,16.75,135.0,1.0
0,0,16.875,136.0,1.0
0,0,17.0,137.0,1.0
0,0,17.125,0.0,0.0
0,0,17.25,0.0,0.0
0,0,17.375,140.0,1.0
0,0,17.5,0.0,0.0
0,0,17.625,358.0,1.0
0,0,17.75,0.0,0.0
0,0,17.875,0.0,0.0
0,0,18.0,0.0,0.0
0,0,18.125,0.0,0.0
0,0,18.25,0.0,0.0
0,0,18.375,0.0,1.0
0,0,18.5,0.0,0.0
0,0,18.625,0.0,0.0
0,0,18.75,0.0,0.0
0,0,18.875,348.0,1.0
0,0,19.0,0.0,0.0
0,0,19.125,0.0,0.0
0,0,19.25,0.0,0.0
0,0,19.375,0.0,0.0
0,0,19.5,0.0,0.0
0,0,19.625,342.0,1.0
0,0,19.75,0.0,1.0
0,0,19.875,0.0,0.0
0,0,20.0,0.0,0.0
0,0,20.125,0.0,0.0
0,0,20.25,0.0,0.0
0,0,20.375,0.0,0.0
0,0,20.5,165.0,1.0
0,0,20.625,334.0,1.0
0,0,20.75,0.0,0.0
0,0,20.875,0.0,0.0
0,0,21.0,0.0,1.0
0,0,21.125,0.0,0.0
0,0,21.25,0.0,0.0
0,0,21.375,328.0,1.0
0,0,21.5,0.0,0.0
0,0,21.625,0.0,0.0
0,0,21.75,0.0,0.0
0,0,21.875,0.0,0.0
0,0,22.0,0.0,0.0
0,0,22.125,0.0,0.0
0,0,22.25,0.0,0.0
0,0,22.375,0.0,0.0
0,0,22.5,0.0,0.0
0,0,22.625,0.0,0.0
0,0,22.75,0.0,0.0
0,0,22.875,316.0,1.0
0,0,23.0,0.0,0.0
0,0,23.125,0.0,0.0
0,0,23.25,500.0,1.0
0,0,23.375,0.0,0.0
0,0,23.5,0.0,1.0
0,0,23.625,500.0,1.0
0,0,23.75,0.0,0.0
0,0,23.875,0.0,1.0
0,0,24.0,500.0,1.0
0,0,24.125,500.0,1.0
0,0,24.25,0.0,0.0
0,0,24.375,0.0,1.0
0,0,24.5,0.0,0.0
0,0,24.625,0.0,0.0
0,0,24.75,500.0,1.0
0,0,24.875,0.0,0.0
0,0,25.0,0.0,0.0
0,0,25.125,0.0,1.0
0,0,25.25,0.0,0.0
0,0,25.375,0.0,1.0
0,0,25.5,500.0,1.0
0,0,25.625,0.0,0.0
0,0,25.75,0.0,1.0
0,0,25.875,0.0,0.0
0,0,26.0,0.0,0.0
0,0,26.125,0.0,0.0
0,0,26.25,500.0,1.0
0,0,26.375,0.0,0.0
0,0,26.5,0.0,1.0
0,0,26.625,0.0,1.0
0,0,26.75,0.0,0.0
0,0,26.875,0.0,0.0
0,0,27.0,0.0,0.0
0,0,27.125,0.0,0.0
0,0,27.25,0.0,0.0
0,0,27.375,0.0,1.0
0,0,27.5,500.0,1.0
0,0,27.625,0.0,0.0
0,0,27.75,500.0,1.0
0,0,27.875,0.0,0.0
0,0,28.0,0.0,0.0
0,0,28.125,0.0,0.0
0,0,28.25,500.0,1.0
0,0,28.375,0.0,0.0
0,0,28.5,0.0,0.0
0,0,28.625,0.0,0.0
0,0,28.75,0.0,0.0
0,0,28.875,0.0,0.0
0,0,29.0,0.0,1.0
0,0,29.125,500.0,1.0
0,0,29.25,0.0,0.0
0,0,29.375,0.0,0.0
0,0,29.5,0.0,0.0
0,0,29.625,500.0,1.0
0,0,29.75,0.0,1.0
0,0,29.875,500.0,1.0
0,0,30.0,0.0,0.0
0,0,30.125,0.0,0.0
0,0,30.25,0.0,0.0
0,0,30.375,0.0,0.0
0,0,30.5,500.0,1.0
0,0,30.625,0.0,0.0
0,0,30.75,0.0,0.0
0,0,30.875,500.0,1.0
0,0,31.0,500.0,1.0
0,0,31.125,500.0,1.0
0,0,31.25,0.0,0.0
0,0,31.375,0.0,0.0
0,0,31.5,0.0,0.0
0,0,31.625,0.0,1.0
0,0,31.75,500.0,1.0
0,0,31.875,0.0,1.0
0,0,32.0,0.0,1.0
0,0,32.125,0.0,1.0
0,0,32.25,0.0,0.0
